GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,155711.0,164791.0,161146.38,163847.0,95.0,97.0,96.12,96.5,64.0,74.0,68.25,66.5,2156.28,9909.49,8447.49,9893.74,19.14,87.97,75.0,87.84,0.0,99.0,69.44,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,69.0,105.0,86.08,83.0,58.0,64.0,59.77,59.0,52.0,56.0,53.23,52.0,2179.7,9875.79,8449.96,9824.04,19.35,87.68,75.02,87.22,1.0,100.0,54.55,70.0,
NVIDIA GeForce GTX 1080 Ti,dict4,192433.0,200011.0,196054.89,196264.5,97.0,100.0,97.56,97.0,78.0,91.0,86.61,88.5,1145.35,8814.09,7855.83,8814.09,10.17,78.25,69.74,78.25,0.0,100.0,80.92,97.0,
NVIDIA GeForce GTX 1080 Ti,force,10.0,165.0,120.8,161.0,51.0,64.0,57.67,57.0,50.0,54.0,51.2,50.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,153141.0,164952.0,158347.44,153141.0,95.0,100.0,97.33,97.0,56.0,70.0,61.11,57.0,1136.91,8868.21,7211.62,8868.21,10.09,78.73,64.02,78.73,0.0,96.0,63.71,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,92172.0,94728.0,93414.21,93615.0,53.0,58.0,56.57,57.0,83.0,85.0,84.21,84.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,66.0,47.39,57.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,161.0,161.0,161.0,161.0,41.0,41.0,41.0,41.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,119153.0,126351.0,119613.11,119167.0,91.0,93.0,91.5,91.0,84.0,90.0,86.83,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,119065.0,119416.0,119251.67,119157.0,91.0,93.0,91.56,91.0,84.0,91.0,87.89,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,16.0,23436.0,15444.88,19712.5,41.0,61.0,46.0,45.0,63.0,73.0,66.25,66.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,93849.0,96620.0,95345.44,95830.0,55.0,60.0,57.44,57.0,81.0,83.0,82.11,82.0,338.56,7310.46,6237.93,7310.46,4.13,89.24,76.15,89.24,0.0,86.0,66.92,84.0,
NVIDIA GeForce RTX 3070,combinator,207153.0,208776.0,207733.43,207617.5,83.0,89.0,84.57,83.0,80.0,83.0,81.57,81.5,356.11,7342.07,6195.46,7342.07,4.35,89.62,75.63,89.62,0.0,93.0,74.0,89.0,
NVIDIA GeForce RTX 3070,dict2,313.0,313.0,313.0,313.0,39.0,39.0,39.0,39.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,238816.0,241786.0,240861.18,241317.0,96.0,99.0,96.47,96.0,79.0,83.0,82.06,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,238672.0,241262.0,239807.22,239486.0,88.0,98.0,96.06,96.0,80.0,84.0,82.33,83.0,356.11,7276.07,6537.25,7276.07,4.35,88.82,79.8,88.82,0.0,99.0,78.35,95.0,
NVIDIA GeForce RTX 3070,force,519.0,157952.0,78836.26,10331.0,58.0,95.0,66.0,63.0,69.0,77.0,72.04,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,211454.0,213160.0,212284.12,212407.0,84.0,88.0,86.0,85.5,77.0,79.0,78.38,78.5,495.0,7480.96,6406.28,7480.96,6.04,91.32,78.2,91.32,0.0,94.0,66.23,90.0,
NVIDIA GeForce RTX 3090,combinator,228297.0,235888.0,230330.0,230087.0,37.0,71.0,61.77,63.0,84.0,85.0,84.69,85.0,499.66,8286.33,7421.22,8286.33,2.03,33.72,30.2,33.72,0.0,91.0,66.0,82.5,
NVIDIA GeForce RTX 3090,dict2,256.0,257.0,256.5,256.5,60.0,61.0,60.5,60.5,74.0,74.0,74.0,74.0,499.91,8220.58,6016.01,8220.58,2.03,33.45,24.48,33.45,0.0,63.0,37.29,38.0,
NVIDIA GeForce RTX 3090,dict3,374527.0,431668.0,380237.71,376320.0,92.0,100.0,97.0,97.0,84.0,87.0,86.53,87.0,540.61,8261.34,7559.52,8261.34,2.2,33.62,30.76,33.62,0.0,100.0,81.41,96.0,
NVIDIA GeForce RTX 3090,dict4,380159.0,432196.0,383982.06,381231.0,96.0,100.0,97.28,97.0,83.0,87.0,86.39,87.0,1073.34,8793.58,7828.57,8793.52,4.37,35.78,31.85,35.78,0.0,100.0,78.17,96.0,
NVIDIA GeForce RTX 3090,force,856.0,120966.0,73522.62,119110.0,60.0,68.0,63.43,63.0,72.0,77.0,74.71,76.0,680.02,8466.7,3962.92,936.7,2.77,34.45,16.13,3.81,3.0,60.0,28.21,17.0,
NVIDIA GeForce RTX 3090,hybrid,302009.0,304438.0,302928.25,302990.5,71.0,78.0,75.5,76.0,82.0,83.0,82.88,83.0,567.05,8353.73,6796.57,8353.73,2.31,33.99,27.66,33.99,2.0,96.0,62.2,88.0,
NVIDIA RTX A4000,combinator,198174.0,199002.0,198601.0,198621.0,93.0,96.0,94.17,93.5,88.0,89.0,88.33,88.0,743.42,8497.39,7681.28,8497.39,4.54,51.89,46.91,51.89,0.0,97.0,77.32,95.0,
NVIDIA RTX A4000,dict2,257.0,257.0,257.0,257.0,60.0,60.0,60.0,60.0,73.0,73.0,73.0,73.0,743.39,8431.36,5548.86,8431.36,4.54,51.49,33.88,51.49,0.0,67.0,41.38,65.0,
NVIDIA RTX A4000,dict3,189448.0,190139.0,189967.38,190083.0,93.0,98.0,93.92,93.0,90.0,91.0,90.15,90.0,873.27,8565.45,7878.21,8557.89,5.33,52.3,48.11,52.26,0.0,98.0,79.65,96.0,
NVIDIA RTX A4000,dict4,198184.0,200214.0,198842.92,198544.0,93.0,97.0,93.92,93.0,89.0,91.0,90.08,90.0,829.88,8526.91,7854.33,8523.23,5.07,52.07,47.96,52.05,0.0,98.0,83.39,96.0,
NVIDIA RTX A4000,force,1016.0,45965.0,35701.61,45526.0,63.0,91.0,75.22,76.0,82.0,84.0,83.39,84.0,743.73,8497.7,7722.4,8497.7,4.54,51.89,47.16,51.89,0.0,85.0,62.15,74.0,
NVIDIA RTX A4000,hybrid,201039.0,202988.0,201928.62,201951.0,93.0,94.0,93.25,93.0,87.0,88.0,87.75,88.0,1348.41,9172.7,3798.81,1537.58,8.23,56.01,23.2,9.39,2.0,79.0,32.88,23.0,
Radeon RX Vega,combinator,143824.0,152380.0,149461.83,150650.5,15.0,96.0,75.25,95.0,67.0,69.0,68.58,69.0,5587.29,7109.38,6705.04,6884.2,34.3,43.6,41.11,42.2,0,0,0,0,
