GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,274619.0,300289.0,288692.0,290240.5,96.0,99.0,96.88,96.5,65.0,71.0,67.38,66.5,2102.85,9833.5,8410.17,9828.0,18.67,87.3,74.66,87.25,1.0,100.0,70.91,95.0,
NVIDIA GeForce GTX 1080 Ti,dict2,197.0,198.0,197.33,197.0,61.0,62.0,61.67,62.0,55.0,55.0,55.0,55.0,2107.27,9779.91,6902.5,9775.23,18.71,86.82,61.28,86.78,1.0,74.0,35.5,29.5,
NVIDIA GeForce GTX 1080 Ti,dict3,342589.0,349979.0,345635.33,345311.0,96.0,99.0,97.83,98.5,82.0,91.0,87.5,88.0,1138.88,8803.52,7804.36,8803.52,10.11,78.16,69.29,78.16,0.0,100.0,80.3,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,298784.0,319691.0,311665.83,312516.5,96.0,100.0,97.56,97.0,82.0,90.0,86.5,86.0,1148.1,8814.09,7814.29,8814.09,10.19,78.25,69.37,78.25,0.0,100.0,80.09,96.0,
NVIDIA GeForce GTX 1080 Ti,force,19.0,7675.0,5085.0,7574.0,47.0,66.0,58.0,58.0,52.0,58.0,53.06,52.0,1140.73,8872.46,4575.69,1280.46,10.13,78.77,40.62,11.37,0.0,96.0,28.34,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,247764.0,299277.0,279937.5,299198.0,95.0,100.0,98.12,98.0,55.0,69.0,60.75,58.0,1140.66,8872.4,7767.94,8872.4,10.13,78.77,68.96,78.77,0.0,69.0,47.86,67.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,164886.0,165741.0,165216.46,165175.0,86.0,88.0,87.0,87.0,85.0,88.0,86.31,86.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,86.0,69.28,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,258.0,259.0,258.5,258.5,37.0,38.0,37.5,37.5,58.0,59.0,58.5,58.5,338.56,7244.46,5271.48,7244.46,4.13,88.43,64.35,88.43,0.0,62.0,28.86,36.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,158669.0,161282.0,159451.11,159603.5,78.0,85.0,84.28,85.0,85.0,88.0,86.33,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,159553.0,161351.0,159820.5,159639.0,83.0,85.0,84.61,85.0,85.0,89.0,87.28,88.0,338.56,7244.46,6343.77,7244.46,4.13,88.43,77.44,88.43,0.0,87.0,72.61,85.0,
NVIDIA GeForce RTX 2080 SUPER,force,896.0,37694.0,30384.53,37530.0,38.0,56.0,42.42,40.0,66.0,70.0,68.37,68.0,338.56,7310.46,3362.12,456.46,4.13,89.24,41.04,5.57,0.0,57.0,16.18,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,164680.0,165210.0,164878.56,164856.0,85.0,88.0,86.89,87.0,83.0,86.0,85.11,85.0,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,0.0,87.0,63.07,85.0,
NVIDIA GeForce RTX 3070,combinator,404791.0,407564.0,405469.69,405421.0,90.0,93.0,91.38,91.0,81.0,83.0,82.23,82.0,356.11,7342.07,6177.85,7342.07,4.35,89.62,75.41,89.62,0.0,69.0,39.39,43.0,
NVIDIA GeForce RTX 3070,dict3,424535.0,431581.0,427637.78,426554.5,95.0,99.0,96.33,96.0,80.0,84.0,82.72,83.0,356.11,7276.07,6373.55,7276.07,4.35,88.82,77.8,88.82,0.0,100.0,74.39,94.0,
NVIDIA GeForce RTX 3070,dict4,416489.0,419026.0,417261.53,416817.0,92.0,100.0,96.29,95.0,79.0,84.0,82.29,83.0,356.11,7276.07,6373.55,7276.07,4.35,88.82,77.8,88.82,0.0,100.0,77.43,94.0,
NVIDIA GeForce RTX 3070,force,1651.0,273611.0,170869.67,265290.0,59.0,95.0,66.56,65.0,70.0,76.0,73.22,74.5,356.11,7342.07,6239.13,7342.07,4.35,89.62,76.16,89.62,0.0,64.0,38.74,42.0,
NVIDIA GeForce RTX 3070,hybrid,405530.0,408810.0,407199.33,407263.0,85.0,94.0,91.33,91.0,77.0,80.0,78.44,79.0,495.0,7480.96,6406.28,7480.96,6.04,91.32,78.2,91.32,0.0,89.0,64.08,82.0,
NVIDIA GeForce RTX 3090,combinator,516320.0,527830.0,520475.0,518796.0,67.0,80.0,72.92,73.0,85.0,87.0,86.23,86.0,499.66,8286.33,7056.99,8286.33,2.03,33.72,28.71,33.72,0.0,92.0,65.58,82.0,
NVIDIA GeForce RTX 3090,dict3,664396.0,677545.0,667897.0,664942.0,87.0,100.0,96.94,96.0,84.0,88.0,86.61,87.0,537.73,8261.34,7298.72,8261.34,2.19,33.62,29.7,33.62,0.0,100.0,80.21,96.0,
NVIDIA GeForce RTX 3090,dict4,665304.0,677461.0,668708.67,667172.0,94.0,100.0,97.56,97.0,84.0,87.0,86.22,87.0,1062.28,8787.27,7822.06,8787.27,4.32,35.76,31.83,35.76,0.0,100.0,77.46,96.0,
NVIDIA GeForce RTX 3090,force,1596.0,114368.0,97697.14,113610.5,59.0,61.0,60.71,61.0,77.0,78.0,77.43,77.0,671.4,8462.38,7642.53,8462.32,2.73,34.43,31.1,34.43,3.0,77.0,44.42,58.0,
NVIDIA GeForce RTX 3090,hybrid,409704.0,425119.0,417102.11,413985.0,51.0,70.0,65.67,69.0,83.0,85.0,84.0,84.0,566.99,8353.66,6685.28,8353.66,2.31,33.99,27.2,33.99,3.0,95.0,59.5,89.0,
NVIDIA RTX A4000,combinator,359710.0,361902.0,360845.77,360847.0,93.0,96.0,94.08,94.0,89.0,90.0,89.54,90.0,743.42,8497.39,7459.28,8497.39,4.54,51.89,45.55,51.89,0.0,98.0,55.33,64.0,
NVIDIA RTX A4000,dict3,352385.0,360862.0,356095.8,354785.5,87.0,96.0,93.4,93.5,89.0,91.0,90.1,90.0,827.88,8515.35,7846.56,8514.91,5.06,52.0,47.91,52.0,0.0,100.0,84.74,97.0,
NVIDIA RTX A4000,dict4,329136.0,331646.0,330189.5,330053.5,97.0,99.0,98.5,99.0,89.0,90.0,89.38,89.0,817.0,8504.97,7502.36,8504.97,4.99,51.94,45.81,51.94,3.0,100.0,80.52,98.0,
NVIDIA RTX A4000,force,1566.0,122789.0,99298.07,120839.0,56.0,63.0,61.8,63.0,83.0,86.0,85.13,85.0,743.73,8497.7,7759.32,8497.7,4.54,51.89,47.38,51.89,0.0,92.0,46.33,60.0,
NVIDIA RTX A4000,hybrid,312521.0,315875.0,313607.0,313237.5,88.0,94.0,92.0,92.0,89.0,89.0,89.0,89.0,1398.23,9155.95,7602.42,9152.2,8.54,55.91,46.42,55.89,2.0,94.0,48.47,63.0,
