GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,196201.0,211734.0,204849.38,207563.0,96.0,100.0,97.62,97.0,64.0,74.0,67.5,66.0,2001.91,9742.55,5874.98,5876.51,17.77,86.49,52.16,52.17,1.0,100.0,33.33,1.0,
NVIDIA GeForce GTX 1080 Ti,dict2,112.0,147.0,131.86,132.0,34.0,64.0,57.57,62.0,52.0,56.0,53.71,53.0,2106.39,9790.41,7479.74,9772.54,18.7,86.92,66.4,86.76,1.0,73.0,40.5,53.0,
NVIDIA GeForce GTX 1080 Ti,force,14.0,5341.0,2859.48,4179.0,53.0,79.0,60.13,60.0,52.0,61.0,53.13,52.0,1144.1,8884.9,4064.6,1284.9,10.16,78.88,36.08,11.41,0.0,100.0,24.48,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,161276.0,211984.0,189404.44,211792.0,97.0,100.0,98.33,98.0,53.0,70.0,58.67,56.0,1139.16,8882.4,7334.1,8882.4,10.11,78.86,65.11,78.86,0.0,92.0,59.0,88.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,119919.0,120071.0,119976.07,119954.0,90.0,91.0,90.71,91.0,83.0,88.0,86.36,86.5,327.78,7305.68,6461.96,7305.68,4.0,89.18,78.88,89.18,0.0,90.0,72.44,88.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,233.0,234.0,233.67,234.0,43.0,43.0,43.0,43.0,61.0,61.0,61.0,61.0,338.56,7250.46,5522.6,7250.46,4.13,88.51,67.41,88.51,0.0,62.0,31.88,37.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,116625.0,118718.0,117183.61,117115.0,82.0,89.0,88.17,89.0,85.0,89.0,87.0,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,116868.0,118280.0,117107.18,117033.0,88.0,90.0,88.65,88.0,85.0,91.0,87.94,87.0,338.56,7250.46,6348.99,7250.46,4.13,88.51,77.5,88.51,0.0,91.0,76.65,89.0,
NVIDIA GeForce RTX 2080 SUPER,force,23.0,32830.0,23676.19,32497.0,42.0,65.0,48.71,48.0,64.0,71.0,66.81,67.0,338.56,7316.46,2814.25,456.46,4.13,89.31,34.35,5.57,0.0,73.0,16.85,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,118958.0,120439.0,119617.25,119836.0,88.0,91.0,89.62,90.0,83.0,86.0,85.38,86.0,338.56,7316.46,6319.69,7316.46,4.13,89.31,77.14,89.31,0.0,90.0,66.64,89.5,
NVIDIA GeForce RTX 3070,combinator,170188.0,171724.0,171092.85,171216.0,65.0,73.0,69.08,69.0,79.0,80.0,79.85,80.0,356.11,7352.07,6247.55,7352.07,4.35,89.75,76.26,89.75,0.0,64.0,42.11,49.0,
NVIDIA GeForce RTX 3070,dict3,283629.0,288749.0,285394.44,284603.0,54.0,98.0,92.78,94.0,80.0,83.0,82.28,83.0,356.11,7284.07,6380.51,7284.07,4.35,88.92,77.89,88.92,0.0,100.0,75.74,92.0,
NVIDIA GeForce RTX 3070,dict4,278350.0,280665.0,278935.47,278527.0,93.0,100.0,95.41,94.0,80.0,83.0,82.29,83.0,356.11,7284.07,6380.47,7284.07,4.35,88.92,77.89,88.92,0.0,100.0,75.04,92.0,
NVIDIA GeForce RTX 3070,force,0.0,210765.0,108246.73,109989.0,54.0,74.0,68.18,69.5,68.0,75.0,71.55,71.5,356.11,7350.07,6301.07,7350.07,4.35,89.72,76.92,89.72,0.0,94.0,46.95,60.0,
NVIDIA GeForce RTX 3070,hybrid,270295.0,271826.0,270938.5,270822.5,96.0,100.0,98.38,98.5,76.0,78.0,77.25,77.0,495.0,7490.96,6491.61,7490.96,6.04,91.44,79.24,91.44,0.0,95.0,54.14,69.0,
NVIDIA GeForce RTX 3090,combinator,251519.0,260942.0,254061.86,252476.5,60.0,72.0,64.29,64.0,85.0,86.0,85.79,86.0,499.66,8300.33,7000.36,8300.33,2.03,33.77,28.48,33.77,0.0,77.0,47.11,57.5,
NVIDIA GeForce RTX 3090,dict2,385.0,385.0,385.0,385.0,65.0,65.0,65.0,65.0,74.0,74.0,74.0,74.0,499.91,8232.58,4918.77,8232.58,2.03,33.5,20.01,33.5,0.0,67.0,26.14,0.0,
NVIDIA GeForce RTX 3090,dict3,440024.0,449585.0,443730.41,443757.0,94.0,100.0,97.06,96.0,84.0,87.0,86.47,87.0,537.73,8273.34,7264.72,8273.34,2.19,33.66,29.56,33.66,0.0,100.0,76.43,94.0,
NVIDIA GeForce RTX 3090,dict4,445081.0,452637.0,447570.29,446899.0,94.0,100.0,96.76,96.0,85.0,87.0,86.53,87.0,1066.59,8799.27,8126.92,8799.27,4.34,35.8,33.07,35.8,0.0,100.0,81.17,94.0,
NVIDIA GeForce RTX 3090,force,1272.0,91544.0,67710.94,88812.5,61.0,68.0,66.78,68.0,75.0,77.0,75.89,76.0,675.65,8474.32,7410.99,8474.32,2.75,34.48,30.16,34.48,3.0,76.0,50.95,62.0,
NVIDIA GeForce RTX 3090,hybrid,326598.0,328720.0,327570.0,327554.5,67.0,75.0,69.5,68.0,84.0,85.0,84.12,84.0,560.2,8367.66,6695.41,8367.66,2.28,34.05,27.24,34.05,3.0,95.0,62.07,90.0,
NVIDIA RTX A4000,combinator,133173.0,136686.0,134214.69,133964.0,56.0,63.0,58.38,57.0,88.0,89.0,88.85,89.0,743.42,8509.39,7497.7,8509.39,4.54,51.96,45.78,51.96,0.0,98.0,59.32,70.0,
NVIDIA RTX A4000,dict2,382.0,382.0,382.0,382.0,65.0,65.0,65.0,65.0,75.0,75.0,75.0,75.0,743.39,8441.36,5555.11,8441.36,4.54,51.55,33.92,51.55,0.0,70.0,31.0,30.0,
NVIDIA RTX A4000,dict3,232214.0,234599.0,233768.18,233887.0,95.0,100.0,97.18,95.0,89.0,91.0,90.09,90.0,826.94,8524.91,7562.83,8524.91,5.05,52.06,46.18,52.06,0.0,97.0,77.79,96.0,
NVIDIA RTX A4000,dict4,233297.0,234863.0,234468.56,234613.0,95.0,100.0,97.06,95.5,89.0,90.0,89.62,90.0,817.0,8519.72,7555.86,8519.72,4.99,52.03,46.14,52.03,3.0,100.0,79.33,97.0,
NVIDIA RTX A4000,force,1166.0,50661.0,38101.42,49821.0,60.0,95.0,69.32,69.0,82.0,84.0,83.63,84.0,743.73,8507.7,7612.01,8507.7,4.54,51.95,46.48,51.95,0.0,72.0,51.65,58.0,
NVIDIA RTX A4000,hybrid,141667.0,147595.0,144605.33,144003.0,58.0,73.0,65.11,66.0,88.0,89.0,88.78,89.0,1401.98,9167.95,7503.38,9167.95,8.56,55.98,45.82,55.98,2.0,99.0,72.21,92.0,
Radeon RX Vega,combinator,180400.0,201806.0,194764.92,195879.0,17.0,95.0,77.69,91.0,71.0,72.0,71.54,72.0,5562.36,6873.64,6650.82,6872.07,34.1,42.1,40.76,42.1,0,0,0,0,
Radeon RX Vega,dict2,112.0,117.0,115.0,115.0,0.0,80.0,57.0,72.0,73.0,73.0,73.0,73.0,4569.6,5862.51,5506.22,5858.44,28.0,35.9,33.73,35.9,0,0,0,0,
Radeon RX Vega,dict3,158055.0,190859.0,176908.56,178671.0,16.0,96.0,82.0,91.0,74.0,75.0,74.89,75.0,5049.29,6392.66,6210.96,6386.05,31.0,39.2,38.06,39.1,0,0,0,0,
Radeon RX Vega,dict4,151233.0,197144.0,181269.59,186535.0,14.0,95.0,79.41,93.0,75.0,76.0,75.82,76.0,6349.03,7717.2,7449.96,7651.51,38.9,47.3,45.67,46.9,0,0,0,0,
Radeon RX Vega,force,11.0,42121.0,19786.32,14353.0,11.0,83.0,60.5,66.0,62.0,67.0,64.82,65.0,8240.19,10067.12,9680.27,9828.0,50.5,61.7,59.34,60.2,0,0,0,0,
Radeon RX Vega,hybrid,117627.0,124459.0,122073.38,122979.0,11.0,82.0,60.12,71.0,66.0,69.0,68.62,69.0,8384.36,10039.98,9673.65,10015.41,51.4,61.5,59.29,61.4,0,0,0,0,
