GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,275746.0,302854.0,291143.67,293219.0,97.0,98.0,97.33,97.0,64.0,71.0,66.56,65.0,2141.71,9872.36,6007.42,6008.18,19.01,87.65,53.33,53.34,0.0,99.0,32.67,0.5,
NVIDIA GeForce GTX 1080 Ti,dict2,191.0,192.0,191.75,192.0,65.0,67.0,65.5,65.0,55.0,55.0,55.0,55.0,2122.77,9812.35,7249.03,9812.1,18.85,87.11,64.36,87.11,1.0,97.0,44.11,72.0,
NVIDIA GeForce GTX 1080 Ti,dict3,364426.0,368418.0,366000.0,365862.0,93.0,97.0,96.5,97.0,86.0,91.0,89.38,90.0,1142.23,8807.52,6891.28,8807.52,10.14,78.19,61.18,78.19,0.0,97.0,60.5,96.5,
NVIDIA GeForce GTX 1080 Ti,dict4,373547.0,374942.0,374012.0,373547.0,97.0,97.0,97.0,97.0,90.0,91.0,90.67,91.0,1147.54,8814.09,7719.0,8814.09,10.19,78.25,68.53,78.25,0.0,98.0,76.29,97.0,
NVIDIA GeForce GTX 1080 Ti,force,19.0,7333.0,4236.0,6395.0,58.0,67.0,61.05,61.0,50.0,57.0,51.05,50.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,249646.0,304276.0,280577.75,291536.0,96.0,98.0,97.0,97.0,56.0,69.0,60.75,57.5,1137.56,8868.21,7678.91,8868.21,10.1,78.73,68.17,78.73,0.0,97.0,67.0,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,321943.0,330477.0,324744.23,323875.0,76.0,77.0,76.85,77.0,86.0,90.0,87.46,87.0,327.78,7299.68,6198.95,7299.68,4.0,89.11,75.67,89.11,0.0,68.0,49.21,58.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,311.0,311.0,311.0,311.0,42.0,42.0,42.0,42.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,400295.0,420336.0,405477.82,403168.0,92.0,94.0,92.65,93.0,86.0,90.0,87.88,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,393178.0,415835.0,399492.94,397459.5,92.0,94.0,92.89,93.0,87.0,90.0,88.22,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,1083.0,239945.0,140021.38,235698.0,40.0,76.0,60.1,61.0,64.0,83.0,73.76,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,290457.0,305422.0,297028.11,296266.0,64.0,70.0,66.22,65.0,84.0,85.0,84.67,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,392933.0,394557.0,393545.62,393213.0,84.0,88.0,85.54,85.0,79.0,81.0,79.92,80.0,356.11,7342.07,6177.85,7342.07,4.35,89.62,75.41,89.62,0.0,92.0,72.17,90.0,
NVIDIA GeForce RTX 3070,dict3,443768.0,448126.0,446464.17,446451.0,95.0,98.0,96.17,96.0,77.0,82.0,80.72,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,451726.0,453742.0,452342.39,452022.0,96.0,97.0,96.17,96.0,79.0,82.0,80.94,81.0,356.11,7276.07,6647.03,7276.07,4.35,88.82,81.14,88.82,0.0,93.0,77.45,92.0,
NVIDIA GeForce RTX 3070,force,1932.0,483450.0,320108.96,321928.0,62.0,97.0,79.88,72.0,68.0,79.0,74.38,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,425727.0,430253.0,428042.75,428511.0,91.0,93.0,92.0,92.0,75.0,77.0,76.25,76.0,495.98,7480.96,6406.58,7480.96,6.05,91.32,78.21,91.32,0.0,93.0,69.08,91.0,
NVIDIA GeForce RTX 3090,combinator,452864.0,470151.0,458561.08,457176.0,57.0,68.0,59.54,57.0,84.0,86.0,84.77,85.0,499.66,8286.33,7056.99,8286.33,2.03,33.72,28.71,33.72,0.0,80.0,56.95,65.0,
NVIDIA GeForce RTX 3090,dict3,692823.0,712819.0,698693.83,693606.0,69.0,96.0,92.56,94.0,84.0,87.0,86.22,86.0,540.23,8263.84,7256.79,8263.84,2.2,33.63,29.53,33.63,0.0,96.0,79.13,93.0,
NVIDIA GeForce RTX 3090,dict4,704512.0,711634.0,708313.11,708572.0,93.0,97.0,93.89,93.0,84.0,86.0,85.61,86.0,1070.91,8791.77,8440.77,8791.7,4.36,35.77,34.35,35.77,0.0,96.0,85.0,93.0,
NVIDIA GeForce RTX 3090,force,1664.0,120850.0,100529.12,119764.0,62.0,72.0,64.31,64.0,73.0,75.0,74.06,74.0,670.98,8484.82,5414.14,8467.26,2.73,34.52,22.03,34.45,3.0,97.0,49.57,59.5,
NVIDIA GeForce RTX 3090,hybrid,408188.0,419003.0,412608.62,412006.0,59.0,66.0,65.12,66.0,82.0,83.0,82.12,82.0,567.05,8358.1,6799.15,8355.6,2.31,34.01,27.67,34.0,3.0,94.0,62.13,89.0,
NVIDIA RTX A4000,combinator,192417.0,198386.0,195823.0,195904.0,50.0,70.0,54.77,52.0,87.0,88.0,87.62,88.0,743.42,8497.39,7635.94,8497.39,4.54,51.89,46.63,51.89,0.0,96.0,77.22,96.0,
NVIDIA RTX A4000,dict3,362863.0,367513.0,364858.83,364645.5,94.0,96.0,94.39,94.0,88.0,90.0,89.06,89.0,742.58,8608.33,7826.58,8472.17,4.53,52.57,47.79,51.74,0.0,97.0,81.22,96.0,
NVIDIA RTX A4000,dict4,375173.0,378824.0,376376.5,376012.5,93.0,95.0,94.06,94.0,87.0,90.0,89.06,89.0,830.49,8516.48,7514.15,8516.48,5.07,52.01,45.89,52.01,0.0,96.0,82.48,96.0,
NVIDIA RTX A4000,force,1653.0,285227.0,226301.57,277740.0,58.0,84.0,64.93,64.0,81.0,86.0,84.36,85.0,743.73,8497.7,7759.32,8497.7,4.54,51.89,47.38,51.89,0.0,100.0,57.0,66.0,
NVIDIA RTX A4000,hybrid,192667.0,198283.0,195835.0,195989.0,52.0,68.0,54.5,52.0,85.0,86.0,85.62,86.0,1346.42,9118.2,7441.32,9100.39,8.22,55.68,45.44,55.57,6.0,88.0,53.07,64.5,
Radeon RX Vega,combinator,256433.0,277318.0,268859.85,269055.0,5.0,96.0,76.85,95.0,66.0,69.0,67.46,68.0,5572.12,6897.17,6684.48,6894.39,34.2,42.3,41.0,42.3,0,0,0,0,
Radeon RX Vega,dict2,177.0,185.0,181.33,182.0,0.0,83.0,55.0,82.0,74.0,74.0,74.0,74.0,4647.95,5950.63,5530.23,5943.66,28.5,36.5,33.9,36.4,0,0,0,0,
Radeon RX Vega,dict3,258701.0,277634.0,272524.71,274163.0,13.0,97.0,85.12,95.0,74.0,74.0,74.0,74.0,5102.07,6462.01,6238.34,6453.29,31.3,39.6,38.26,39.6,0,0,0,0,
Radeon RX Vega,dict4,261625.0,282571.0,277119.82,279307.0,5.0,97.0,70.12,95.0,74.0,75.0,74.94,75.0,6891.24,8244.7,7842.84,8013.2,42.2,50.5,48.07,49.1,0,0,0,0,
Radeon RX Vega,force,16.0,126376.0,69930.96,115727.0,4.0,87.0,64.0,79.0,61.0,68.0,64.83,66.0,7857.47,9524.34,9280.31,9480.92,48.2,58.4,56.9,58.1,0,0,0,0,
Radeon RX Vega,hybrid,255297.0,271603.0,264940.5,265770.5,15.0,96.0,70.38,91.5,63.0,66.0,64.75,65.0,8234.04,9867.14,9415.5,9805.96,50.5,60.5,57.72,60.1,0,0,0,0,
