GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,531955.0,572489.0,553698.88,555662.0,96.0,97.0,96.25,96.0,66.0,74.0,69.25,67.0,2100.1,9828.06,8421.45,9825.56,18.64,87.25,74.76,87.23,1.0,99.0,70.64,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,366.0,366.0,366.0,366.0,49.0,49.0,49.0,49.0,54.0,54.0,54.0,54.0,2108.02,9776.35,5943.12,5943.14,18.71,86.79,52.76,52.76,1.0,99.0,40.67,35.5,
NVIDIA GeForce GTX 1080 Ti,dict3,702081.0,702081.0,702081.0,702081.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1145.16,8810.46,4978.52,4979.61,10.17,78.22,44.2,44.21,0.0,98.0,32.5,0.0,
NVIDIA GeForce GTX 1080 Ti,dict4,687638.0,701758.0,693835.45,693102.0,97.0,98.0,97.18,97.0,86.0,91.0,89.0,89.0,1142.6,8809.65,7276.48,8809.65,10.14,78.21,64.6,78.21,0.0,98.0,68.0,97.0,
NVIDIA GeForce GTX 1080 Ti,force,1417.0,47267.0,30890.35,43264.5,53.0,78.0,63.75,59.5,52.0,57.0,52.7,52.0,1144.98,8876.9,8017.89,8876.9,10.16,78.81,71.18,78.81,0.0,98.0,68.3,81.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,460781.0,574196.0,516155.0,513033.5,96.0,98.0,97.0,97.0,56.0,69.0,60.62,57.0,1142.1,8876.84,7219.98,8876.84,10.14,78.81,64.1,78.81,0.0,96.0,64.79,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,497256.0,523088.0,505428.92,501817.0,62.0,67.0,64.23,64.0,85.0,90.0,86.85,87.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,65.0,50.94,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,729827.0,736988.0,732214.0,729827.0,93.0,93.0,93.0,93.0,88.0,91.0,90.0,91.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,724898.0,724898.0,724898.0,724898.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,338.56,7244.46,6343.77,7244.46,4.13,88.43,77.44,88.43,1.0,93.0,79.09,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,1969.0,877664.0,528661.22,423888.0,55.0,93.0,74.7,63.0,67.0,89.0,81.35,83.0,338.56,7310.46,6506.08,7310.46,4.13,89.24,79.42,89.24,0.0,93.0,62.31,61.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,538317.0,577448.0,549879.0,543560.5,64.0,74.0,68.38,68.0,85.0,88.0,86.62,86.5,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,0.0,61.0,43.93,58.5,
NVIDIA GeForce RTX 3070,combinator,786677.0,789414.0,788048.46,788092.0,91.0,92.0,91.69,92.0,81.0,82.0,81.54,82.0,356.11,7342.07,6177.85,7342.07,4.35,89.62,75.41,89.62,0.0,76.0,54.78,70.0,
NVIDIA GeForce RTX 3070,dict3,797250.0,799267.0,797833.0,797613.5,69.0,99.0,95.28,96.0,78.0,83.0,81.78,82.0,356.11,7276.07,6674.38,7276.07,4.35,88.82,81.47,88.82,0.0,97.0,80.74,95.0,
NVIDIA GeForce RTX 3070,dict4,827864.0,836897.0,832540.88,831889.0,96.0,97.0,96.24,96.0,81.0,84.0,82.65,83.0,356.11,7276.07,6373.55,7276.07,4.35,88.82,77.8,88.82,0.0,97.0,76.52,95.0,
NVIDIA GeForce RTX 3070,force,3151.0,913800.0,595711.09,681780.5,62.0,98.0,81.18,89.0,67.0,77.0,73.0,73.5,356.11,7342.07,6503.83,7342.07,4.35,89.62,79.39,89.62,0.0,98.0,59.6,56.0,
NVIDIA GeForce RTX 3070,hybrid,730579.0,736700.0,732895.33,731860.0,84.0,87.0,85.56,85.0,78.0,80.0,79.22,79.0,495.98,7480.96,6483.79,7480.96,6.05,91.32,79.15,91.32,0.0,91.0,58.29,72.0,
NVIDIA GeForce RTX 3090,combinator,763295.0,764731.0,763817.31,763560.0,66.0,67.0,66.92,67.0,85.0,86.0,85.77,86.0,499.66,8286.33,6988.7,8286.33,2.03,33.72,28.44,33.72,0.0,81.0,58.33,72.5,
NVIDIA GeForce RTX 3090,dict3,1294318.0,1325393.0,1305600.76,1295656.0,89.0,98.0,96.53,97.0,86.0,88.0,87.0,87.0,540.61,8261.34,7254.41,8261.34,2.2,33.62,29.52,33.62,0.0,99.0,77.74,97.0,
NVIDIA GeForce RTX 3090,dict4,1315866.0,1339160.0,1323526.56,1321600.0,96.0,98.0,96.5,96.0,86.0,87.0,86.56,87.0,1065.16,8787.27,7780.28,8787.27,4.33,35.76,31.66,35.76,0.0,99.0,83.74,96.0,
