GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,152722.0,164888.0,159123.67,159778.0,95.0,99.0,96.78,96.0,64.0,73.0,67.11,65.0,2179.84,9900.43,9034.33,9891.86,19.35,87.89,80.21,87.82,1.0,97.0,75.11,94.0,
NVIDIA GeForce GTX 1080 Ti,dict2,69.0,105.0,86.0,83.0,57.0,65.0,59.46,58.0,52.0,56.0,53.23,52.0,2173.55,9866.54,7929.25,9830.38,19.3,87.59,70.39,87.27,1.0,72.0,42.33,69.5,
NVIDIA GeForce GTX 1080 Ti,dict4,197794.0,199394.0,198594.0,198594.0,97.0,100.0,97.75,97.0,88.0,91.0,90.0,90.5,1144.73,8809.65,5935.37,8809.65,10.16,78.21,52.69,78.21,0.0,97.0,46.38,40.5,
NVIDIA GeForce GTX 1080 Ti,force,9.0,166.0,112.56,161.5,54.0,66.0,58.5,57.5,51.0,55.0,51.88,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,139761.0,165071.0,152374.25,152249.0,95.0,100.0,97.5,97.5,56.0,69.0,60.62,57.0,1137.56,8868.21,7763.99,8868.21,10.1,78.73,68.93,78.73,0.0,97.0,69.5,95.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,93846.0,95685.0,94925.69,95291.0,55.0,60.0,57.62,57.0,82.0,85.0,84.0,84.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,70.0,47.44,58.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,162.0,162.0,162.0,162.0,41.0,41.0,41.0,41.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,109912.0,112053.0,110572.89,110478.5,76.0,85.0,83.78,84.5,86.0,89.0,87.17,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,118938.0,126171.0,119633.5,118975.0,90.0,93.0,91.58,91.0,85.0,93.0,87.92,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,16.0,23385.0,15882.19,19802.0,41.0,59.0,45.57,44.0,61.0,65.0,63.76,64.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,113679.0,114535.0,114015.75,113990.0,83.0,88.0,86.75,87.0,85.0,86.0,85.62,86.0,338.56,7310.46,6237.93,7310.46,4.13,89.24,76.15,89.24,0.0,87.0,61.85,85.0,
NVIDIA GeForce RTX 3070,combinator,206738.0,207825.0,207220.15,207148.0,83.0,89.0,84.69,83.0,80.0,82.0,81.15,81.0,356.11,7342.07,6297.57,7342.07,4.35,89.62,76.87,89.62,0.0,65.0,45.67,57.0,
NVIDIA GeForce RTX 3070,dict2,331.0,331.0,331.0,331.0,71.0,71.0,71.0,71.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,234618.0,236028.0,235363.78,235418.0,96.0,100.0,97.5,96.0,79.0,83.0,81.78,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,237837.0,241476.0,239419.83,239383.0,95.0,98.0,96.22,96.0,81.0,84.0,83.22,83.0,356.11,7276.07,6411.16,7276.07,4.35,88.82,78.26,88.82,0.0,97.0,77.38,95.0,
NVIDIA GeForce RTX 3070,force,354.0,172302.0,88821.23,86360.5,60.0,95.0,69.68,69.5,64.0,73.0,68.23,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,184423.0,187299.0,185322.89,185167.0,70.0,76.0,74.22,75.0,78.0,79.0,78.56,79.0,495.0,7480.96,6406.28,7480.96,6.04,91.32,78.2,91.32,0.0,93.0,68.23,90.0,
NVIDIA GeForce RTX 3090,combinator,195647.0,200505.0,197768.46,197748.0,56.0,64.0,59.0,58.0,84.0,85.0,84.46,84.0,499.66,8286.33,6999.99,8286.33,2.03,33.72,28.48,33.72,0.0,89.0,64.22,79.0,
NVIDIA GeForce RTX 3090,dict2,256.0,256.0,256.0,256.0,60.0,61.0,60.5,60.5,74.0,74.0,74.0,74.0,499.91,8220.58,5325.49,8220.58,2.03,33.45,21.67,33.45,0.0,79.0,41.12,62.0,
NVIDIA GeForce RTX 3090,dict3,372417.0,428367.0,377032.44,373839.0,96.0,100.0,97.67,97.0,84.0,87.0,86.44,87.0,539.17,8261.34,7296.31,8261.34,2.19,33.62,29.69,33.62,0.0,99.0,80.38,96.0,
NVIDIA GeForce RTX 3090,dict4,379303.0,431060.0,383167.0,380514.0,96.0,100.0,97.18,96.0,83.0,87.0,86.53,87.0,1068.34,8791.77,7784.67,8791.7,4.35,35.77,31.68,35.77,0.0,100.0,81.17,96.0,
NVIDIA GeForce RTX 3090,force,860.0,63878.0,46126.84,63359.0,61.0,64.0,62.42,63.0,71.0,74.0,73.32,74.0,674.84,8465.82,7492.42,8465.82,2.75,34.45,30.49,34.45,2.0,60.0,44.58,58.5,
NVIDIA GeForce RTX 3090,hybrid,300993.0,302444.0,301728.0,301753.0,71.0,78.0,74.5,75.0,83.0,84.0,83.25,83.0,567.05,8353.73,7155.88,8353.73,2.31,33.99,29.12,33.99,2.0,75.0,45.23,64.0,
NVIDIA RTX A4000,combinator,199691.0,200766.0,200141.92,200328.0,93.0,97.0,94.62,95.0,88.0,89.0,88.77,89.0,743.42,8497.39,7635.94,8497.39,4.54,51.89,46.63,51.89,0.0,68.0,51.61,63.0,
NVIDIA RTX A4000,dict2,335.0,335.0,335.0,335.0,54.0,54.0,54.0,54.0,73.0,73.0,73.0,73.0,743.39,8431.36,5548.86,8431.36,4.54,51.49,33.88,51.49,0.0,66.0,37.0,50.0,
