GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,276401.0,300342.0,288923.0,289134.0,96.0,99.0,96.67,96.0,64.0,71.0,66.89,66.0,2011.32,9742.62,7809.87,9742.62,17.86,86.49,69.33,86.49,1.0,97.0,60.38,95.0,
NVIDIA GeForce GTX 1080 Ti,dict2,198.0,198.0,198.0,198.0,60.0,61.0,60.67,61.0,56.0,56.0,56.0,56.0,2101.77,9781.79,7219.86,9766.41,18.66,86.84,64.1,86.7,1.0,81.0,39.78,64.0,
NVIDIA GeForce GTX 1080 Ti,dict3,355298.0,355298.0,355298.0,355298.0,95.0,96.0,95.5,95.5,92.0,92.0,92.0,92.0,1138.88,8803.52,7804.36,8803.52,10.11,78.16,69.29,78.16,0.0,99.0,79.04,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,327798.0,337193.0,334022.57,335647.0,96.0,100.0,97.57,97.0,79.0,91.0,87.64,89.0,1149.44,8814.09,8147.61,8814.09,10.2,78.25,72.33,78.25,0.0,100.0,84.39,97.0,
NVIDIA GeForce GTX 1080 Ti,force,20.0,40966.0,21161.96,10313.0,52.0,60.0,55.63,55.0,53.0,58.0,54.07,54.0,1146.25,8876.9,7949.3,8876.9,10.18,78.81,70.57,78.81,0.0,100.0,50.68,63.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,228905.0,299019.0,271659.88,294940.0,97.0,100.0,98.5,98.0,54.0,68.0,59.75,56.5,1144.04,8876.84,7330.56,8876.84,10.16,78.81,65.08,78.81,0.0,81.0,54.87,79.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,164923.0,165575.0,165168.71,165139.0,86.0,88.0,87.0,87.0,85.0,88.0,86.21,86.0,327.78,7299.68,6138.3,7299.68,4.0,89.11,74.93,89.11,0.0,87.0,68.39,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,253.0,254.0,253.5,253.5,38.0,38.0,38.0,38.0,58.0,58.0,58.0,58.0,338.56,7244.46,4654.99,7244.46,4.13,88.43,56.82,88.43,0.0,61.0,20.75,16.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,159543.0,161207.0,159937.45,159781.0,83.0,85.0,84.45,85.0,86.0,91.0,87.36,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,159090.0,160442.0,159382.67,159222.5,83.0,85.0,84.39,85.0,86.0,90.0,87.5,87.0,338.56,7244.46,6643.99,7244.46,4.13,88.43,81.1,88.43,0.0,87.0,76.26,85.0,
NVIDIA GeForce RTX 2080 SUPER,force,905.0,37386.0,30182.63,37354.0,38.0,57.0,42.21,40.0,62.0,67.0,65.37,66.0,338.56,7310.46,6401.17,7310.46,4.13,89.24,78.14,89.24,0.0,59.0,36.09,39.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,163883.0,165103.0,164485.62,164683.0,84.0,88.0,86.38,86.5,85.0,86.0,85.25,85.0,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,0.0,87.0,63.57,84.5,
NVIDIA GeForce RTX 3070,combinator,367435.0,370294.0,368485.23,367978.0,81.0,90.0,85.08,86.0,80.0,82.0,81.0,81.0,356.11,7342.07,6239.13,7342.07,4.35,89.62,76.16,89.62,0.0,74.0,37.68,43.0,
NVIDIA GeForce RTX 3070,dict3,418050.0,418998.0,418343.76,418301.0,95.0,100.0,96.76,95.0,79.0,83.0,81.88,82.0,356.11,7276.07,6373.55,7276.07,4.35,88.82,77.8,88.82,0.0,100.0,75.13,94.0,
NVIDIA GeForce RTX 3070,dict4,416944.0,418503.0,417413.17,416999.0,95.0,100.0,96.94,95.5,79.0,84.0,82.22,83.0,356.11,7276.07,6373.55,7276.07,4.35,88.82,77.8,88.82,0.0,100.0,76.43,94.0,
NVIDIA GeForce RTX 3070,force,1666.0,521500.0,286276.64,283051.0,58.0,100.0,78.68,70.0,68.0,78.0,74.07,74.5,356.11,7342.07,6389.53,7342.07,4.35,89.62,78.0,89.62,0.0,86.0,42.18,45.5,
NVIDIA GeForce RTX 3070,hybrid,405240.0,408074.0,406527.88,406508.5,89.0,93.0,90.5,90.0,79.0,81.0,79.88,80.0,495.0,7480.96,6406.28,7480.96,6.04,91.32,78.2,91.32,0.0,75.0,52.08,67.0,
NVIDIA GeForce RTX 3090,combinator,404397.0,422166.0,409459.08,409419.0,55.0,73.0,64.77,64.0,85.0,86.0,85.92,86.0,499.66,8286.33,6999.99,8286.33,2.03,33.72,28.48,33.72,0.0,87.0,60.78,71.5,
NVIDIA GeForce RTX 3090,dict3,657569.0,675662.0,661769.5,659900.0,95.0,100.0,96.5,96.0,84.0,87.0,86.67,87.0,537.73,8261.34,7296.25,8261.34,2.19,33.62,29.69,33.62,0.0,100.0,77.5,96.0,
NVIDIA GeForce RTX 3090,dict4,660607.0,678390.0,664907.06,663263.0,88.0,100.0,96.24,96.0,84.0,87.0,86.82,87.0,1066.59,8789.08,7782.07,8789.08,4.34,35.76,31.67,35.76,0.0,99.0,76.09,96.0,
NVIDIA GeForce RTX 3090,force,1603.0,423275.0,238986.31,322891.5,37.0,68.0,49.38,46.0,74.0,80.0,77.06,77.0,679.27,8470.63,7238.1,8466.63,2.76,34.47,29.45,34.45,3.0,98.0,53.16,58.0,
NVIDIA GeForce RTX 3090,hybrid,526985.0,537825.0,530002.78,528975.0,68.0,77.0,74.0,75.0,84.0,85.0,84.56,85.0,558.87,8358.04,6687.24,8355.66,2.27,34.01,27.21,34.0,3.0,78.0,50.86,73.0,
NVIDIA RTX A4000,combinator,198569.0,199902.0,199250.77,199359.0,62.0,69.0,64.54,64.0,88.0,89.0,88.54,89.0,743.42,8497.39,7635.94,8497.39,4.54,51.89,46.63,51.89,0.0,78.0,59.83,73.0,
NVIDIA RTX A4000,dict3,353363.0,361504.0,356585.2,355512.5,57.0,96.0,90.6,94.0,89.0,91.0,90.0,90.0,826.94,8541.97,7860.4,8530.22,5.05,52.16,48.0,52.09,0.0,100.0,85.04,98.0,
NVIDIA RTX A4000,dict4,332022.0,335388.0,333434.19,332957.0,94.0,100.0,97.88,98.0,89.0,90.0,89.62,90.0,821.75,8509.72,7770.24,8504.97,5.02,51.96,47.45,51.94,3.0,99.0,82.83,98.0,
NVIDIA RTX A4000,force,1602.0,127091.0,67256.61,70562.0,54.0,96.0,61.26,62.0,80.0,84.0,81.91,81.0,743.73,8497.7,7707.52,8497.7,4.54,51.89,47.07,51.89,0.0,94.0,58.36,69.5,
NVIDIA RTX A4000,hybrid,307178.0,309956.0,308419.88,308643.0,78.0,87.0,84.12,84.0,88.0,89.0,88.38,88.0,1401.98,9155.95,7494.66,9155.95,8.56,55.91,45.77,55.91,1.0,83.0,47.07,64.0,
Radeon RX Vega,combinator,273224.0,299246.0,289338.23,290313.0,17.0,96.0,85.08,95.0,71.0,72.0,71.31,71.0,5562.45,6876.0,6659.93,6875.03,34.1,42.2,40.8,42.1,0,0,0,0,
Radeon RX Vega,dict2,196.0,202.0,199.67,201.0,0.0,80.0,52.67,78.0,73.0,73.0,73.0,73.0,4551.3,5850.95,5445.28,5843.05,27.9,35.9,33.38,35.8,0,0,0,0,
Radeon RX Vega,dict3,284974.0,304344.0,298741.76,301156.0,24.0,97.0,89.0,95.0,74.0,75.0,74.53,75.0,5045.43,6408.04,6215.43,6389.06,30.9,39.3,38.12,39.2,0,0,0,0,
Radeon RX Vega,dict4,286592.0,309587.0,303754.94,306222.0,25.0,95.0,78.06,95.0,75.0,76.0,75.53,76.0,6313.19,7709.17,7518.85,7695.66,38.7,47.3,46.09,47.2,0,0,0,0,
Radeon RX Vega,force,18.0,266349.0,157305.42,259403.0,16.0,83.0,62.58,76.0,62.0,69.0,66.26,68.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,278162.0,292771.0,287265.5,287841.5,14.0,96.0,73.12,94.5,69.0,69.0,69.0,69.0,8381.11,10039.85,9678.39,10031.48,51.4,61.5,59.31,61.5,0,0,0,0,
