GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,110371.0,121443.0,116720.44,119252.0,95.0,99.0,96.44,96.0,63.0,74.0,67.78,66.0,2141.15,9889.74,6020.48,6023.01,19.01,87.8,53.45,53.47,0.0,100.0,33.0,0.5,
NVIDIA GeForce GTX 1080 Ti,dict2,39.0,66.0,48.84,46.0,54.0,59.0,56.05,56.0,52.0,56.0,52.89,52.0,2176.3,9938.91,8907.55,9861.79,19.32,88.24,79.08,87.55,1.0,66.0,48.81,64.0,
NVIDIA GeForce GTX 1080 Ti,dict3,140657.0,154936.0,145416.67,140657.0,100.0,100.0,100.0,100.0,80.0,91.0,87.33,91.0,1142.94,8815.59,7856.72,8815.59,10.15,78.26,69.75,78.26,0.0,100.0,81.83,98.0,
NVIDIA GeForce GTX 1080 Ti,dict4,132755.0,154756.0,137118.31,135057.0,97.0,100.0,98.31,98.0,78.0,92.0,84.62,84.0,1144.35,8822.09,7862.79,8822.09,10.16,78.32,69.8,78.32,0.0,100.0,81.62,97.5,
NVIDIA GeForce GTX 1080 Ti,force,5.0,7.0,6.22,6.0,63.0,69.0,67.22,68.0,51.0,55.0,52.56,52.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,112623.0,121575.0,115951.88,112623.0,96.0,100.0,97.5,97.0,56.0,71.0,62.0,57.5,1137.56,8878.21,7687.16,8878.21,10.1,78.82,68.25,78.82,0.0,99.0,65.46,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,42713.0,44143.0,42938.15,42715.0,89.0,91.0,90.23,90.0,84.0,86.0,84.77,85.0,327.78,7305.68,6204.0,7305.68,4.0,89.18,75.73,89.18,0.0,90.0,72.47,88.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,84.0,87.0,85.3,85.0,36.0,40.0,38.7,39.0,56.0,58.0,56.9,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,41868.0,43406.0,42081.11,41900.0,87.0,89.0,87.89,88.0,85.0,87.0,86.17,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,41882.0,43392.0,42081.5,41907.0,87.0,90.0,87.89,88.0,85.0,88.0,86.28,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,8.0,12464.0,6992.72,10641.5,37.0,67.0,42.16,40.0,57.0,65.0,61.81,63.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,42491.0,44247.0,43029.22,42827.0,86.0,91.0,89.67,90.0,83.0,84.0,83.67,84.0,338.56,7316.46,6319.69,7316.46,4.13,89.31,77.14,89.31,0.0,90.0,65.71,88.0,
NVIDIA GeForce RTX 3070,combinator,147861.0,148992.0,148385.0,148441.0,87.0,95.0,90.69,91.0,79.0,81.0,80.77,81.0,356.11,7352.07,6186.19,7352.07,4.35,89.75,75.51,89.75,0.0,92.0,46.78,52.5,
NVIDIA GeForce RTX 3070,dict2,207.0,209.0,208.33,209.0,66.0,67.0,66.67,67.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,158829.0,160410.0,159454.29,159083.0,94.0,100.0,95.71,94.0,80.0,84.0,82.65,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,158151.0,159376.0,158593.94,158446.0,94.0,100.0,95.28,94.0,81.0,84.0,83.28,83.5,356.11,7284.07,6380.51,7284.07,4.35,88.92,77.89,88.92,0.0,100.0,75.17,93.0,
NVIDIA GeForce RTX 3070,force,20.0,51922.0,33659.33,51368.0,62.0,95.0,68.57,67.0,65.0,70.0,67.38,68.0,356.11,357.09,356.6,356.6,4.35,4.36,4.35,4.35,0.0,21.0,10.5,10.5,
NVIDIA GeForce RTX 3070,hybrid,100589.0,102437.0,101714.25,101960.0,49.0,75.0,66.62,72.0,77.0,78.0,77.38,77.0,495.0,7490.96,6414.74,7490.96,6.04,91.44,78.3,91.44,0.0,96.0,67.77,87.0,
NVIDIA GeForce RTX 3090,combinator,235870.0,237714.0,236477.38,236379.0,87.0,97.0,90.62,88.0,85.0,86.0,85.54,86.0,499.66,8300.33,7433.66,8300.33,2.03,33.77,30.25,33.77,0.0,97.0,70.72,87.5,
NVIDIA GeForce RTX 3090,dict2,207.0,207.0,207.0,207.0,35.0,68.0,57.0,68.0,74.0,74.0,74.0,74.0,499.91,8232.58,6299.58,8232.58,2.03,33.5,25.63,33.5,0.0,70.0,46.75,69.0,
NVIDIA GeForce RTX 3090,dict3,253240.0,258131.0,254915.53,254153.0,94.0,100.0,95.53,95.0,86.0,87.0,86.82,87.0,540.23,8275.84,7267.22,8275.84,2.2,33.67,29.57,33.67,0.0,100.0,81.04,94.0,
NVIDIA GeForce RTX 3090,dict4,254134.0,259627.0,255781.35,254850.0,94.0,100.0,96.41,95.0,84.0,87.0,86.53,87.0,1070.91,8805.58,7796.95,8805.52,4.36,35.83,31.73,35.83,0.0,100.0,78.96,94.0,
NVIDIA GeForce RTX 3090,force,20.0,86596.0,49666.29,83379.0,58.0,94.0,65.76,65.0,72.0,77.0,74.33,75.0,665.77,8469.88,7530.57,8465.88,2.71,34.46,30.64,34.45,3.0,75.0,53.12,65.0,
NVIDIA GeForce RTX 3090,hybrid,159833.0,165982.0,163045.88,163243.5,34.0,75.0,55.5,57.0,82.0,84.0,83.0,83.0,567.05,8367.73,6696.34,8367.73,2.31,34.05,27.25,34.05,3.0,95.0,61.29,91.0,
NVIDIA RTX A4000,combinator,78291.0,79101.0,78580.64,78565.5,61.0,69.0,64.71,63.5,88.0,89.0,88.93,89.0,743.42,8509.39,7646.61,8509.39,4.54,51.96,46.69,51.96,0.0,83.0,61.61,73.0,
NVIDIA RTX A4000,dict2,208.0,208.0,208.0,208.0,68.0,68.0,68.0,68.0,73.0,74.0,73.33,73.0,743.39,8441.36,6901.96,8441.36,4.54,51.55,42.15,51.55,0.0,65.0,42.2,59.5,
NVIDIA RTX A4000,dict3,132744.0,133410.0,133066.91,133104.0,94.0,100.0,95.91,95.0,90.0,91.0,90.18,90.0,750.41,8448.38,7486.3,8448.38,4.58,51.59,45.72,51.59,1.0,99.0,80.46,97.0,
NVIDIA RTX A4000,dict4,131746.0,133305.0,132454.25,132343.0,90.0,99.0,96.0,95.5,89.0,91.0,90.08,90.0,833.3,8533.41,7568.07,8529.29,5.09,52.11,46.21,52.08,0.0,100.0,83.25,97.0,
NVIDIA RTX A4000,force,20.0,29750.0,21057.0,28971.5,61.0,70.0,68.85,69.5,79.0,82.0,80.9,81.0,743.73,8507.7,7612.01,8507.7,4.54,51.95,46.48,51.95,0.0,72.0,54.58,65.0,
NVIDIA RTX A4000,hybrid,79095.0,80442.0,79782.0,79758.0,60.0,70.0,66.25,68.5,88.0,89.0,88.25,88.0,1334.88,9206.8,7599.5,9162.92,8.15,56.22,46.41,55.95,6.0,97.0,58.4,73.0,
Radeon RX Vega,combinator,97213.0,105982.0,102502.15,103117.0,15.0,96.0,83.69,94.0,67.0,70.0,69.62,70.0,5542.45,6858.47,6624.38,6857.22,34.0,42.0,40.58,42.0,0,0,0,0,
Radeon RX Vega,dict2,62.0,70.0,67.42,68.0,0.0,78.0,67.42,77.0,73.0,73.0,73.0,73.0,4642.14,5948.7,5671.91,5945.8,28.5,36.5,34.78,36.4,0,0,0,0,
Radeon RX Vega,dict3,84476.0,104709.0,98619.72,100652.0,16.0,96.0,79.94,94.0,74.0,75.0,74.11,74.0,5060.7,6426.18,6209.92,6367.16,31.0,39.4,38.05,39.0,0,0,0,0,
Radeon RX Vega,dict4,88317.0,103214.0,97657.82,98064.0,16.0,95.0,74.71,93.0,75.0,76.0,75.29,75.0,6801.56,8161.53,7941.19,8105.49,41.7,50.0,48.68,49.7,0,0,0,0,
Radeon RX Vega,force,6.0,97227.0,32109.06,9704.0,3.0,87.0,70.22,80.0,60.0,67.0,62.58,61.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,84330.0,89756.0,87787.43,88437.0,17.0,94.0,71.14,90.0,62.0,66.0,64.71,65.0,8353.18,9974.65,9595.67,9935.94,51.2,61.1,58.82,60.9,0,0,0,0,
