GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,281398.0,302829.0,294381.25,298548.0,97.0,97.0,97.0,97.0,64.0,72.0,67.25,65.5,2141.07,9888.18,6986.69,9882.99,19.01,87.79,62.03,87.74,1.0,97.0,46.12,37.5,
NVIDIA GeForce GTX 1080 Ti,dict2,190.0,192.0,191.0,191.0,25.0,67.0,55.75,65.5,55.0,56.0,55.5,55.5,2140.93,9886.91,7557.1,9852.85,19.01,87.77,67.09,87.47,2.0,61.0,33.0,40.0,
NVIDIA GeForce GTX 1080 Ti,force,19.0,6717.0,4156.56,6154.0,55.0,65.0,59.33,59.0,50.0,57.0,51.06,50.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,259558.0,303816.0,286662.0,301760.0,96.0,99.0,97.25,97.0,56.0,70.0,61.38,58.0,1137.56,8868.21,7211.8,8868.21,10.1,78.73,64.03,78.73,0.0,97.0,62.64,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,278170.0,284093.0,280390.38,279797.0,63.0,70.0,65.31,65.0,85.0,87.0,85.92,86.0,327.78,7299.68,6198.95,7299.68,4.0,89.11,75.67,89.11,0.0,76.0,59.68,73.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,309.0,309.0,309.0,309.0,43.0,43.0,43.0,43.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,396894.0,417021.0,402207.06,400612.5,90.0,94.0,92.72,93.0,85.0,89.0,87.5,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,400905.0,400905.0,400905.0,400905.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,1080.0,241127.0,146033.84,235857.0,44.0,64.0,58.26,61.0,65.0,83.0,75.26,79.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,328246.0,332375.0,329806.0,329492.0,77.0,77.0,77.0,77.0,83.0,88.0,86.5,87.0,338.56,7310.46,6237.93,7310.46,4.13,89.24,76.15,89.24,3.0,87.0,64.77,73.0,
