GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,534259.0,572270.0,555147.38,558522.5,96.0,98.0,96.62,96.5,65.0,74.0,68.88,66.5,2094.91,9842.43,8615.64,9836.62,18.6,87.38,76.49,87.33,1.0,100.0,62.11,71.0,
NVIDIA GeForce GTX 1080 Ti,dict2,371.0,371.0,371.0,371.0,27.0,27.0,27.0,27.0,55.0,55.0,55.0,55.0,2113.62,9791.41,6503.01,9791.16,18.76,86.93,57.73,86.92,1.0,100.0,35.43,4.0,
NVIDIA GeForce GTX 1080 Ti,dict4,694398.0,694398.0,694398.0,694398.0,96.0,96.0,96.0,96.0,91.0,91.0,91.0,91.0,1143.85,8814.09,4980.83,4981.76,10.15,78.25,44.22,44.23,0.0,100.0,32.83,0.0,
NVIDIA GeForce GTX 1080 Ti,force,1397.0,23293.0,18181.86,21494.0,53.0,77.0,63.86,60.0,52.0,57.0,52.81,52.0,1146.25,8876.9,8048.69,8876.9,10.18,78.81,71.45,78.81,0.0,98.0,70.11,81.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,453326.0,574348.0,523670.88,540457.5,96.0,98.0,97.12,97.5,56.0,69.0,61.38,58.0,1146.19,8876.84,7772.6,8876.84,10.18,78.81,69.0,78.81,0.0,97.0,68.36,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,507970.0,532982.0,514594.77,511166.0,63.0,71.0,66.0,65.0,85.0,89.0,86.92,87.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,65.0,51.33,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,732916.0,732916.0,732916.0,732916.0,92.0,93.0,92.5,92.5,93.0,93.0,93.0,93.0,338.56,7244.46,6343.73,7244.46,4.13,88.43,77.44,88.43,0.0,94.0,78.04,93.0,
NVIDIA GeForce RTX 2080 SUPER,force,1971.0,874539.0,527793.48,427940.0,48.0,94.0,74.91,71.0,69.0,88.0,82.39,84.0,338.56,7310.46,6506.08,7310.46,4.13,89.24,79.42,89.24,0.0,93.0,60.15,61.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,539623.0,551995.0,544962.75,544337.0,63.0,71.0,68.88,70.0,85.0,88.0,85.88,85.5,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,0.0,61.0,43.57,58.5,
NVIDIA GeForce RTX 3070,combinator,784915.0,788983.0,786770.07,787008.5,92.0,92.0,92.0,92.0,81.0,83.0,82.14,82.0,356.11,7342.07,6177.85,7342.07,4.35,89.62,75.41,89.62,0.0,87.0,68.06,82.0,
