GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,154062.0,164684.0,159265.56,161699.0,95.0,98.0,96.56,96.0,64.0,73.0,67.56,66.0,2142.84,9879.24,6011.31,6011.6,19.02,87.71,53.37,53.37,0.0,100.0,32.83,0.5,
NVIDIA GeForce GTX 1080 Ti,dict2,70.0,105.0,87.75,85.0,57.0,66.0,60.42,59.0,52.0,56.0,53.58,53.0,2176.7,9882.04,8465.2,9855.23,19.32,87.73,75.15,87.49,1.0,100.0,54.82,71.0,
NVIDIA GeForce GTX 1080 Ti,force,10.0,166.0,122.13,164.0,53.0,65.0,58.4,58.0,51.0,55.0,52.13,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,157043.0,165036.0,159677.56,157043.0,95.0,100.0,97.33,97.0,55.0,70.0,60.67,57.0,1135.54,8868.52,7763.98,8868.52,10.08,78.73,68.93,78.73,0.0,98.0,68.29,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,114102.0,114604.0,114343.23,114310.0,86.0,87.0,86.62,87.0,83.0,88.0,85.77,86.0,327.78,7299.68,6137.8,7299.68,4.0,89.11,74.92,89.11,0.0,86.0,68.28,84.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,162.0,162.0,162.0,162.0,41.0,41.0,41.0,41.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,119031.0,126279.0,119488.79,119081.0,91.0,93.0,91.53,91.0,85.0,90.0,87.32,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,118986.0,126491.0,119516.94,119019.0,91.0,93.0,91.5,91.0,85.0,90.0,87.56,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,23491.0,15561.83,19729.0,41.0,63.0,46.0,44.0,61.0,70.0,64.04,65.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,94905.0,98073.0,96058.5,95783.0,56.0,59.0,57.12,57.0,82.0,84.0,83.12,83.0,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,0.0,86.0,62.07,84.5,
NVIDIA GeForce RTX 3070,combinator,224507.0,227438.0,225819.62,225914.0,91.0,94.0,92.15,92.0,81.0,84.0,82.77,83.0,356.11,7342.07,6178.35,7342.07,4.35,89.62,75.42,89.62,0.0,73.0,41.33,48.5,
NVIDIA GeForce RTX 3070,dict2,259.0,259.0,259.0,259.0,52.0,59.0,55.5,55.5,60.0,61.0,60.5,60.5,,,,,,,,,,,,,
