GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,278443.0,300076.0,291557.12,295791.5,96.0,99.0,97.12,96.5,64.0,72.0,67.5,66.5,2011.97,9848.95,8931.84,9788.44,17.86,87.44,79.3,86.9,1.0,97.0,77.83,92.0,
NVIDIA GeForce GTX 1080 Ti,dict2,197.0,198.0,197.67,198.0,32.0,62.0,51.33,60.0,56.0,56.0,56.0,56.0,2117.68,9829.66,7252.7,9793.66,18.8,87.27,64.39,86.95,1.0,69.0,36.11,45.0,
NVIDIA GeForce GTX 1080 Ti,dict3,295702.0,297103.0,296571.67,296910.0,97.0,99.0,98.17,98.0,80.0,91.0,87.0,88.0,1132.73,8813.21,7852.08,8810.27,10.06,78.24,69.71,78.22,0.0,100.0,80.62,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,317803.0,320592.0,319197.5,319197.5,97.0,99.0,98.0,98.0,78.0,91.0,86.5,88.5,1148.1,8814.09,7719.07,8814.09,10.19,78.25,68.53,78.25,0.0,100.0,78.57,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,9340.0,5213.17,8255.0,53.0,96.0,59.44,57.0,53.0,59.0,54.22,54.0,1146.25,8876.9,7868.9,8876.9,10.18,78.81,69.86,78.81,0.0,100.0,54.7,66.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,217411.0,299027.0,267028.78,257697.0,95.0,100.0,98.22,98.0,54.0,69.0,59.89,56.0,1146.19,8876.84,7772.6,8876.84,10.18,78.81,69.0,78.81,0.0,71.0,47.5,68.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,165079.0,167022.0,165510.0,165233.0,86.0,88.0,87.0,87.0,85.0,88.0,86.54,87.0,327.78,7299.68,6198.95,7299.68,4.0,89.11,75.67,89.11,0.0,87.0,69.42,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,256.0,258.0,257.0,257.0,34.0,38.0,36.0,36.0,58.0,58.0,58.0,58.0,338.56,7244.46,5271.48,7244.46,4.13,88.43,64.35,88.43,0.0,56.0,24.0,27.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,158761.0,161245.0,159556.22,159625.5,78.0,86.0,84.28,85.0,84.0,88.0,86.61,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,159275.0,161753.0,159707.56,159450.5,83.0,86.0,84.44,85.0,86.0,90.0,87.67,87.0,338.56,7244.46,6381.6,7244.46,4.13,88.43,77.9,88.43,0.0,87.0,72.25,86.0,
NVIDIA GeForce RTX 2080 SUPER,force,904.0,37408.0,30173.47,37219.0,33.0,62.0,42.32,40.0,62.0,66.0,64.63,65.0,338.56,7310.46,6359.83,7310.46,4.13,89.24,77.63,89.24,0.0,62.0,35.68,39.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,164311.0,165706.0,164997.75,165212.5,84.0,88.0,86.88,87.5,84.0,86.0,85.25,85.5,338.56,7310.46,6314.54,7310.46,4.13,89.24,77.08,89.24,0.0,87.0,68.14,85.0,
NVIDIA GeForce RTX 3070,combinator,306371.0,313529.0,309200.5,308739.5,59.0,77.0,70.29,73.0,79.0,82.0,80.86,81.0,356.11,7342.07,6186.24,7342.07,4.35,89.62,75.52,89.62,0.0,74.0,38.67,42.5,
NVIDIA GeForce RTX 3070,dict3,422601.0,430248.0,426084.11,424995.5,95.0,99.0,96.17,96.0,80.0,84.0,82.67,83.0,356.11,7276.07,6373.55,7276.07,4.35,88.82,77.8,88.82,0.0,100.0,77.96,95.0,
