GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,440092.0,472992.0,457886.25,459650.5,95.0,96.0,95.62,96.0,64.0,72.0,67.25,65.5,2144.71,9889.36,8696.33,9887.05,19.04,87.8,77.2,87.78,0.0,98.0,74.31,97.0,
NVIDIA GeForce GTX 1080 Ti,dict3,506973.0,523849.0,510538.11,509676.5,41.0,97.0,91.33,97.0,85.0,90.0,87.39,87.0,1145.23,8817.59,7112.69,8817.59,10.17,78.28,63.15,78.28,0.0,98.0,64.67,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,554384.0,559406.0,557770.17,558571.0,96.0,97.0,96.33,96.0,84.0,91.0,88.67,89.5,1140.29,8819.65,5529.84,8819.65,10.12,78.3,49.09,78.3,0.0,99.0,41.86,0.0,
NVIDIA GeForce GTX 1080 Ti,force,1960.0,165699.0,127794.67,163587.0,82.0,90.0,87.6,89.0,55.0,57.0,55.47,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,362387.0,474240.0,418463.75,414639.0,94.0,97.0,95.62,96.0,55.0,68.0,59.75,57.0,1137.56,8878.21,7772.59,8878.21,10.1,78.82,69.0,78.82,0.0,97.0,69.07,96.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,629433.0,642955.0,634876.0,633180.0,94.0,95.0,94.18,94.0,86.0,91.0,88.45,88.0,327.78,7309.68,6158.07,7309.68,4.0,89.23,75.17,89.23,0.0,94.0,74.17,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,576748.0,598052.0,583032.69,581743.0,86.0,94.0,92.38,93.0,87.0,91.0,88.62,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,3054.0,660471.0,488398.74,505425.0,58.0,94.0,79.61,75.0,63.0,88.0,80.7,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,642865.0,660429.0,648645.89,645754.0,91.0,94.0,93.56,94.0,85.0,89.0,87.11,87.0,338.56,7320.46,6323.11,7320.46,4.13,89.36,77.19,89.36,0.0,94.0,73.43,93.0,
NVIDIA GeForce RTX 3070,combinator,626459.0,639185.0,631403.77,630239.0,92.0,94.0,92.69,93.0,82.0,84.0,83.08,83.0,356.11,7352.07,6186.41,7352.07,4.35,89.75,75.52,89.75,0.0,94.0,75.61,92.0,
NVIDIA GeForce RTX 3070,dict3,564674.0,577291.0,569256.67,566537.0,54.0,94.0,81.11,92.0,79.0,83.0,82.22,83.0,356.11,7286.07,6382.25,7286.07,4.35,88.94,77.91,88.94,0.0,94.0,71.91,92.0,
