GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,137098.0,150709.0,143942.22,143436.0,97.0,98.0,97.33,97.0,64.0,71.0,66.33,64.0,2159.53,9899.68,8489.9,9893.8,19.17,87.89,75.37,87.84,0.0,100.0,71.0,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,133.0,148.0,143.33,147.0,0.0,90.0,72.33,85.5,54.0,58.0,56.17,56.5,2149.43,9899.04,7757.88,9842.73,19.08,87.88,68.87,87.38,1.0,79.0,44.55,73.0,
NVIDIA GeForce GTX 1080 Ti,dict3,166457.0,168667.0,167193.67,166457.0,86.0,97.0,93.0,96.0,88.0,91.0,90.0,91.0,1133.38,8810.02,7850.58,8810.02,10.06,78.21,69.7,78.21,0.0,100.0,76.83,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,178233.0,178233.0,178233.0,178233.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1148.1,8826.09,8158.49,8826.09,10.19,78.36,72.43,78.36,0.0,97.0,81.35,96.0,
NVIDIA GeForce GTX 1080 Ti,force,10.0,216.0,158.0,212.0,62.0,72.0,68.8,69.0,53.0,57.0,54.47,54.0,1149.38,8892.02,4224.37,1288.02,10.2,78.94,37.5,11.43,0.0,100.0,34.23,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,115665.0,144073.0,131211.67,143456.0,97.0,100.0,98.33,98.0,55.0,69.0,58.89,56.0,1142.16,8887.4,7781.12,8887.4,10.14,78.9,69.08,78.9,0.0,97.0,73.43,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,200518.0,204453.0,202092.29,202316.0,97.0,97.0,97.0,97.0,87.0,91.0,89.0,89.0,327.78,7311.68,6209.05,7311.68,4.0,89.25,75.79,89.25,0.0,85.0,68.0,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,255.0,258.0,256.5,256.5,64.0,74.0,69.0,69.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,191948.0,195771.0,193170.6,193093.0,95.0,97.0,96.2,97.0,88.0,91.0,89.6,90.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,193652.0,193652.0,193652.0,193652.0,97.0,97.0,97.0,97.0,92.0,92.0,92.0,92.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,22.0,129836.0,71716.1,125216.0,60.0,78.0,65.19,65.0,66.0,85.0,75.57,78.0,338.56,7322.46,3025.71,456.46,4.13,89.39,36.93,5.57,0.0,78.0,20.5,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,170954.0,173161.0,171714.25,171605.0,86.0,87.0,86.38,86.0,86.0,89.0,87.75,88.0,338.56,7322.46,6324.83,7322.46,4.13,89.39,77.21,89.39,0.0,86.0,61.57,83.0,
NVIDIA GeForce RTX 3070,combinator,208656.0,210834.0,209452.25,209255.0,96.0,97.0,96.67,97.0,81.0,83.0,82.58,83.0,356.11,7354.07,6187.85,7354.07,4.35,89.77,75.54,89.77,0.0,88.0,66.72,81.0,
NVIDIA GeForce RTX 3070,dict2,266.0,266.0,266.0,266.0,73.0,73.0,73.0,73.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,198638.0,203584.0,200071.72,199639.0,56.0,97.0,93.78,96.0,81.0,83.0,82.39,82.5,356.11,7288.07,6384.38,7288.07,4.35,88.97,77.93,88.97,0.0,100.0,77.04,95.0,
NVIDIA GeForce RTX 3070,dict4,204692.0,207682.0,205725.94,205340.5,95.0,97.0,96.0,96.0,81.0,84.0,82.72,83.0,356.11,7288.07,6421.62,7288.07,4.35,88.97,78.39,88.97,0.0,100.0,78.83,95.0,
