GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,134651.0,143633.0,140475.0,141772.5,96.0,100.0,97.62,97.0,64.0,72.0,67.25,66.0,2177.96,9913.36,9022.78,9889.36,19.34,88.01,80.1,87.8,1.0,98.0,80.22,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,77.0,108.0,91.64,89.0,41.0,70.0,64.55,69.0,54.0,58.0,55.36,55.0,2181.49,9898.04,8464.99,9853.98,19.37,87.87,75.15,87.48,2.0,78.0,53.73,71.0,
NVIDIA GeForce GTX 1080 Ti,dict3,159465.0,164869.0,161913.83,161681.0,38.0,97.0,87.72,97.0,80.0,90.0,85.67,85.5,1145.81,8822.46,7863.1,8822.46,10.17,78.32,69.81,78.32,0.0,100.0,72.96,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,177588.0,177955.0,177718.0,177664.5,97.0,97.0,97.0,97.0,90.0,91.0,90.5,90.5,1143.85,8826.09,8158.31,8826.09,10.15,78.36,72.43,78.36,0.0,97.0,83.57,97.0,
NVIDIA GeForce GTX 1080 Ti,force,10.0,5333.0,2423.85,254.0,62.0,98.0,77.5,78.0,54.0,58.0,54.85,54.0,1148.66,9515.02,8148.37,8892.02,10.2,84.47,72.34,78.94,0.0,99.0,72.96,92.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,125272.0,144494.0,137226.38,144360.0,97.0,100.0,98.12,98.0,55.0,69.0,60.62,57.5,1144.23,8887.4,7228.22,8887.4,10.16,78.9,64.17,78.9,0.0,97.0,67.07,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,200428.0,204406.0,201917.88,201925.5,96.0,97.0,96.88,97.0,87.0,92.0,88.88,88.0,327.78,7311.68,6147.8,7311.68,4.0,89.25,75.05,89.25,0.0,85.0,67.22,84.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,235.0,236.0,235.5,235.5,67.0,68.0,67.5,67.5,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,194638.0,194638.0,194638.0,194638.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,188859.0,197783.0,191584.61,190903.5,95.0,97.0,96.0,96.0,85.0,89.0,86.72,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,140545.0,69177.21,71725.0,60.0,73.0,65.29,65.5,66.0,84.0,75.29,78.5,338.56,7322.46,6574.25,7322.46,4.13,89.39,80.25,89.39,0.0,75.0,49.36,52.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,169277.0,172866.0,170540.0,170398.5,84.0,87.0,85.88,86.0,86.0,89.0,87.12,86.5,338.56,7322.46,6248.09,7322.46,4.13,89.39,76.27,89.39,0.0,85.0,66.46,84.0,
NVIDIA GeForce RTX 3070,combinator,206174.0,208291.0,206947.08,206710.0,96.0,96.0,96.0,96.0,82.0,83.0,82.62,83.0,356.11,7354.07,6187.85,7354.07,4.35,89.77,75.54,89.77,0.0,75.0,54.39,69.0,
NVIDIA GeForce RTX 3070,dict2,259.0,259.0,259.0,259.0,67.0,72.0,69.5,69.5,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,204568.0,208163.0,206458.78,206368.5,95.0,100.0,96.78,96.0,80.0,84.0,82.83,83.0,356.11,7288.07,6421.62,7288.07,4.35,88.97,78.39,88.97,0.0,100.0,79.79,95.0,
