GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,428002.0,473899.0,450115.44,447092.0,94.0,96.0,95.0,95.0,64.0,72.0,66.33,64.0,2144.75,9887.55,6569.14,9885.24,19.04,87.78,58.32,87.76,0.0,99.0,42.57,2.0,
NVIDIA GeForce GTX 1080 Ti,dict2,465.0,465.0,465.0,465.0,54.0,54.0,54.0,54.0,57.0,57.0,57.0,57.0,2144.14,9853.54,5998.77,5998.83,19.04,87.48,53.26,53.26,1.0,100.0,43.17,39.5,
NVIDIA GeForce GTX 1080 Ti,dict3,518956.0,521630.0,519847.33,518956.0,97.0,97.0,97.0,97.0,85.0,91.0,89.0,91.0,1145.16,8820.46,7916.75,8820.46,10.17,78.31,70.28,78.31,0.0,99.0,73.71,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,571241.0,571241.0,571241.0,571241.0,97.0,97.0,97.0,97.0,91.0,91.0,91.0,91.0,1145.35,8824.09,7428.32,8824.09,10.17,78.34,65.95,78.34,0.0,98.0,71.0,97.0,
NVIDIA GeForce GTX 1080 Ti,force,1699.0,165648.0,119750.24,162763.0,74.0,92.0,87.94,89.0,55.0,59.0,56.29,56.0,1136.66,8890.02,5881.6,8890.02,10.09,78.92,52.22,78.92,0.0,99.0,53.05,87.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,361454.0,474146.0,419670.33,417035.0,94.0,97.0,95.56,96.0,55.0,68.0,60.11,57.0,1142.16,8886.9,7227.85,8886.9,10.14,78.9,64.17,78.9,0.0,97.0,67.93,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,623152.0,640533.0,629514.45,629231.0,93.0,95.0,94.0,94.0,87.0,91.0,88.45,88.0,327.78,7309.68,6146.13,7309.68,4.0,89.23,75.03,89.23,0.0,94.0,74.33,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,545372.0,568454.0,551325.62,549890.0,78.0,85.0,83.77,85.0,85.0,91.0,88.38,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,582073.0,606979.0,592534.25,591605.0,87.0,94.0,92.56,93.0,85.0,92.0,87.81,87.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,3049.0,650408.0,483592.18,568999.5,67.0,94.0,81.73,76.5,69.0,88.0,82.5,84.5,338.56,7320.46,6447.8,7320.46,4.13,89.36,78.71,89.36,0.0,94.0,63.25,65.0,
