GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,18723.0,20554.0,19848.38,19893.0,96.0,97.0,96.5,96.5,58.0,62.0,59.12,58.0,2080.7,9871.81,9044.6,9861.62,18.47,87.64,80.3,87.55,1.0,98.0,76.74,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,368.0,368.0,368.0,368.0,87.0,87.0,87.0,87.0,59.0,59.0,59.0,59.0,2019.6,9718.33,7518.79,9718.33,17.93,86.28,66.75,86.28,0.0,95.0,39.71,42.0,
NVIDIA GeForce GTX 1080 Ti,dict2,19.0,29.0,22.39,21.0,71.0,82.0,78.22,79.0,54.0,58.0,55.17,55.0,2113.77,9885.35,8880.5,9843.23,18.77,87.76,78.84,87.39,1.0,99.0,78.79,93.0,
NVIDIA GeForce GTX 1080 Ti,dict3,24104.0,24109.0,24105.94,24106.0,96.0,96.0,96.0,96.0,76.0,77.0,76.72,77.0,1145.16,8844.46,8203.0,8844.46,10.17,78.52,72.82,78.52,0.0,96.0,81.67,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,26608.0,26785.0,26653.17,26637.0,96.0,97.0,96.22,96.0,76.0,77.0,76.61,77.0,1140.29,8843.65,8201.9,8843.65,10.12,78.51,72.82,78.51,0.0,96.0,79.33,96.0,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,71.0,79.0,77.0,78.0,55.0,59.0,56.11,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,15699.0,20563.0,18131.0,18131.0,96.0,99.0,97.88,98.0,53.0,60.0,54.5,53.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,23389.0,23911.0,23525.64,23463.0,96.0,96.0,96.0,96.0,83.0,85.0,83.79,84.0,327.78,327.78,327.78,327.78,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,66.0,67.0,66.62,67.0,65.0,69.0,67.23,68.0,61.0,62.0,61.15,61.0,341.51,341.51,341.51,341.51,4.17,4.17,4.17,4.17,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,21903.0,22396.0,22021.58,21967.0,91.0,92.0,91.37,91.0,84.0,85.0,84.84,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,21833.0,22198.0,21941.89,21909.0,91.0,92.0,91.61,92.0,84.0,86.0,85.06,85.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,6.0,6421.0,2631.93,238.5,65.0,83.0,68.23,68.0,63.0,67.0,63.7,64.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,23508.0,23993.0,23715.44,23734.0,94.0,96.0,95.78,96.0,82.0,84.0,83.22,83.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,44141.0,44411.0,44259.15,44243.0,93.0,94.0,93.54,94.0,77.0,78.0,77.38,77.0,367.09,367.09,367.09,367.09,4.48,4.48,4.48,4.48,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,75.0,75.0,75.0,75.0,75.0,78.0,75.73,76.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,41769.0,42114.0,41875.74,41804.0,93.0,94.0,93.21,93.0,78.0,78.0,78.0,78.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,41747.0,42010.0,41843.11,41792.5,87.0,94.0,92.72,93.0,77.0,79.0,78.28,78.0,510.07,510.07,510.07,510.07,6.23,6.23,6.23,6.23,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,0.0,225.0,146.94,223.0,64.0,98.0,73.82,68.0,63.0,67.0,64.47,64.0,399.09,399.09,399.09,399.09,4.87,4.87,4.87,4.87,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,43888.0,44142.0,43995.11,43968.0,93.0,95.0,93.78,94.0,76.0,77.0,76.22,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,70475.0,71356.0,70791.0,70669.0,91.0,93.0,91.86,92.0,86.0,86.0,86.0,86.0,499.66,8394.33,7147.94,8394.33,2.03,34.16,29.09,34.16,0.0,96.0,74.26,94.0,
NVIDIA GeForce RTX 3090,dict2,56.0,58.0,56.6,56.0,52.0,72.0,67.0,66.0,74.0,74.0,74.0,74.0,499.91,8328.58,7308.06,8328.58,2.03,33.89,29.74,33.89,0.0,99.0,56.35,64.0,
NVIDIA GeForce RTX 3090,dict3,67534.0,69165.0,67999.33,67822.5,84.0,96.0,93.11,93.0,83.0,84.0,83.11,83.0,544.88,8372.22,7591.11,8372.22,2.22,34.07,30.89,34.07,0.0,95.0,77.04,93.0,
NVIDIA GeForce RTX 3090,dict4,69548.0,73022.0,70782.78,70568.5,93.0,97.0,94.28,93.5,83.0,84.0,83.28,83.0,1066.59,8895.27,7916.79,8895.27,4.34,36.19,32.21,36.19,0.0,100.0,78.88,93.0,
NVIDIA GeForce RTX 3090,force,7.0,202.0,130.0,197.0,66.0,85.0,73.0,69.0,73.0,73.0,73.0,73.0,669.59,8561.88,2590.86,923.88,2.72,34.84,10.54,3.76,2.0,89.0,26.98,15.0,
NVIDIA GeForce RTX 3090,hybrid,71693.0,72447.0,72015.0,71960.0,86.0,93.0,91.75,92.5,84.0,84.0,84.0,84.0,,,,,,,,,,,,,
NVIDIA RTX A4000,combinator,37378.0,37531.0,37457.3,37464.0,93.0,95.0,94.0,94.0,90.0,91.0,90.2,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict2,82.0,83.0,82.2,82.0,45.0,87.0,81.7,86.0,75.0,75.0,75.0,75.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict3,37149.0,37464.0,37340.62,37443.0,86.0,95.0,93.12,94.0,90.0,91.0,90.25,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict4,37366.0,37606.0,37464.0,37500.0,87.0,94.0,93.22,94.0,90.0,91.0,90.22,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,force,5.0,6.0,5.22,5.0,59.0,68.0,65.78,67.0,81.0,83.0,81.67,82.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,37051.0,37519.0,37293.75,37320.0,94.0,94.0,94.0,94.0,89.0,91.0,90.12,90.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,34698.0,36592.0,35993.15,36519.0,14.0,95.0,83.77,94.0,70.0,71.0,70.85,71.0,,,,,,,,,,,,,
Radeon RX Vega,dict1,280.0,285.0,282.5,282.5,0.0,74.0,37.0,37.0,59.0,59.0,59.0,59.0,5370.56,5370.56,5370.56,5370.56,32.9,32.9,32.9,32.9,0,0,0,0,
Radeon RX Vega,dict2,29.0,32.0,31.63,32.0,21.0,75.0,69.37,74.0,73.0,73.0,73.0,73.0,6779.25,6779.25,6779.25,6779.25,41.6,41.6,41.6,41.6,0,0,0,0,
Radeon RX Vega,dict3,34563.0,37864.0,36847.17,37273.0,15.0,96.0,86.83,94.0,74.0,75.0,74.22,74.0,6110.68,6110.68,6110.68,6110.68,37.5,37.5,37.5,37.5,0,0,0,0,
Radeon RX Vega,dict4,34696.0,37831.0,36806.24,37096.0,12.0,96.0,82.82,94.0,75.0,76.0,75.47,75.0,9135.36,9135.36,9135.36,9135.36,56.0,56.0,56.0,56.0,0,0,0,0,
Radeon RX Vega,force,2.0,3.0,2.89,3.0,17.0,74.0,64.67,74.0,60.0,61.0,60.78,61.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,34623.0,36213.0,35537.5,35896.0,16.0,96.0,78.12,94.0,67.0,69.0,67.88,68.0,,,,,,,,,,,,,
