GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,16040.0,16206.0,16051.22,16043.0,97.0,98.0,97.06,97.0,76.0,77.0,76.67,77.0,1145.81,8846.46,7922.59,8846.46,10.17,78.54,70.34,78.54,0.0,100.0,80.04,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,16030.0,16267.0,16081.89,16083.0,97.0,97.0,97.0,97.0,75.0,76.0,75.94,76.0,1143.85,8850.09,7925.78,8850.09,10.15,78.57,70.36,78.57,0.0,100.0,77.8,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,15409.0,15786.0,15507.5,15479.5,95.0,95.0,95.0,95.0,83.0,84.0,83.93,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,413.0,413.0,413.0,413.0,73.0,73.0,73.0,73.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,47.0,47.0,47.0,47.0,69.0,71.0,69.58,69.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,14978.0,15315.0,15067.39,15068.0,94.0,95.0,94.06,94.0,84.0,86.0,85.17,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,14869.0,15281.0,14972.26,14946.0,94.0,94.0,94.0,94.0,85.0,86.0,85.58,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,4.0,4.0,4.0,4.0,69.0,71.0,69.62,69.5,62.0,63.0,62.62,63.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,15486.0,15660.0,15577.88,15557.0,92.0,95.0,94.38,95.0,82.0,83.0,82.88,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,28636.0,29357.0,28716.21,28671.5,95.0,97.0,95.21,95.0,77.0,78.0,77.57,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,429.0,429.0,429.0,429.0,71.0,71.0,71.0,71.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,45.0,46.0,45.06,45.0,68.0,74.0,71.17,71.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,28632.0,29323.0,28679.33,28636.0,95.0,96.0,95.06,95.0,78.0,79.0,78.11,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,28568.0,29323.0,28642.78,28580.0,95.0,97.0,95.33,95.0,78.0,79.0,78.33,78.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,4.0,4.0,4.0,4.0,64.0,74.0,71.38,73.0,62.0,63.0,62.5,62.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,28690.0,29357.0,28775.62,28693.0,93.0,96.0,95.25,95.5,76.0,77.0,76.25,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,48355.0,50044.0,48672.38,48572.0,94.0,95.0,94.08,94.0,85.0,86.0,85.92,86.0,499.66,8396.33,7149.63,8396.33,2.03,34.16,29.09,34.16,0.0,97.0,72.89,95.0,
NVIDIA GeForce RTX 3090,dict1,331.0,331.0,331.0,331.0,51.0,51.0,51.0,51.0,72.0,72.0,72.0,72.0,499.91,8330.58,6093.43,8330.58,2.03,33.9,24.79,33.9,0.0,99.0,41.14,56.0,
NVIDIA GeForce RTX 3090,dict2,41.0,42.0,41.68,42.0,49.0,76.0,72.95,74.0,74.0,74.0,74.0,74.0,499.91,8330.58,7309.3,8330.58,2.03,33.9,29.74,33.9,0.0,92.0,56.43,64.0,
NVIDIA GeForce RTX 3090,dict3,46013.0,48091.0,46343.94,46119.0,96.0,97.0,96.5,96.5,83.0,83.0,83.0,83.0,542.01,8371.34,7392.68,8371.34,2.21,34.06,30.08,34.06,0.0,96.0,78.75,95.0,
NVIDIA GeForce RTX 3090,dict4,46670.0,49365.0,47343.22,46955.0,95.0,97.0,96.11,96.0,83.0,84.0,83.11,83.0,1066.59,8897.27,7918.54,8897.27,4.34,36.2,32.22,36.2,0.0,99.0,79.62,95.0,
NVIDIA GeForce RTX 3090,force,4.0,4.0,4.0,4.0,48.0,74.0,69.89,73.0,72.0,73.0,72.11,72.0,664.34,8562.45,1561.09,922.45,2.7,34.84,6.35,3.75,2.0,98.0,19.88,13.0,
NVIDIA GeForce RTX 3090,hybrid,49314.0,50815.0,49590.5,49432.5,90.0,96.0,94.12,94.0,84.0,85.0,84.38,84.0,,,,,,,,,,,,,
NVIDIA RTX A4000,combinator,25322.0,25931.0,25413.3,25360.0,89.0,96.0,95.3,96.0,89.0,91.0,90.1,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict1,336.0,336.0,336.0,336.0,38.0,38.0,38.0,38.0,72.0,72.0,72.0,72.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict2,42.0,44.0,43.63,44.0,62.0,72.0,71.05,72.0,75.0,75.0,75.0,75.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict3,25443.0,25992.0,25525.14,25443.0,95.0,96.0,95.71,96.0,90.0,91.0,90.29,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict4,25343.0,25856.0,25428.0,25343.0,91.0,97.0,95.57,96.0,90.0,91.0,90.29,90.0,,,,,,,,,,,,,
NVIDIA RTX A4000,force,4.0,4.0,4.0,4.0,63.0,72.0,70.89,72.0,78.0,79.0,78.56,79.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,25108.0,25831.0,25315.29,25290.0,89.0,97.0,95.14,96.0,90.0,91.0,90.29,90.0,,,,,,,,,,,,,
Radeon RX Vega,combinator,22171.0,23913.0,23306.58,23508.0,17.0,93.0,80.92,91.0,71.0,71.0,71.0,71.0,6611.34,6611.34,6611.34,6611.34,40.5,40.5,40.5,40.5,0,0,0,0,
Radeon RX Vega,dict1,220.0,227.0,224.67,227.0,0.0,79.0,26.67,1.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,
Radeon RX Vega,dict2,22.0,24.0,23.72,24.0,21.0,80.0,74.17,79.0,73.0,73.0,73.0,73.0,,,,,,,,,,,,,
Radeon RX Vega,dict3,22293.0,25008.0,24371.83,24733.0,16.0,95.0,84.89,92.0,74.0,75.0,74.28,74.0,,,,,,,,,,,,,
Radeon RX Vega,dict4,22191.0,24964.0,24311.22,24679.0,14.0,93.0,84.33,91.0,75.0,76.0,75.67,76.0,,,,,,,,,,,,,
Radeon RX Vega,force,2.0,2.0,2.0,2.0,24.0,80.0,70.25,79.0,60.0,61.0,60.75,61.0,11668.29,11668.29,11668.29,11668.29,71.5,71.5,71.5,71.5,0,0,0,0,
Radeon RX Vega,hybrid,22023.0,23636.0,23025.75,23222.0,16.0,92.0,75.38,90.5,67.0,69.0,68.12,68.0,10708.69,10719.15,10714.47,10716.23,65.6,65.7,65.69,65.7,0,0,0,0,
