GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,38897.0,42489.0,40556.5,40666.5,97.0,98.0,97.25,97.0,58.0,62.0,59.0,58.0,2096.89,9873.31,9049.2,9866.25,18.62,87.65,80.34,87.59,2.0,97.0,74.37,96.0,
NVIDIA GeForce GTX 1080 Ti,dict2,48.0,76.0,58.28,55.0,91.0,95.0,93.89,94.0,54.0,58.0,55.0,55.0,2144.02,9867.16,8816.96,9843.6,19.03,87.6,78.28,87.39,1.0,100.0,75.27,93.0,
NVIDIA GeForce GTX 1080 Ti,dict3,49429.0,50022.0,49765.67,49793.0,96.0,97.0,96.22,96.0,76.0,77.0,76.56,77.0,1144.12,8842.65,7856.81,8842.65,10.16,78.5,69.75,78.5,0.0,100.0,81.17,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,50029.0,50050.0,50037.06,50037.0,96.0,97.0,96.18,96.0,76.0,76.0,76.0,76.0,1140.29,8843.65,8173.86,8843.65,10.12,78.51,72.57,78.51,0.0,97.0,82.13,96.0,
NVIDIA GeForce GTX 1080 Ti,force,4.0,6.0,4.88,5.0,75.0,82.0,80.12,82.0,55.0,59.0,55.88,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,32157.0,42456.0,37728.5,38996.0,97.0,98.0,97.75,98.0,52.0,59.0,54.0,52.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,47263.0,47580.0,47400.0,47392.0,94.0,94.0,94.0,94.0,82.0,84.0,82.92,83.0,330.73,330.73,330.73,330.73,4.04,4.04,4.04,4.04,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,125.0,127.0,126.5,127.0,65.0,68.0,66.17,66.0,61.0,61.0,61.0,61.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,10.0,66.0,38.0,38.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,43827.0,44670.0,44068.17,43950.0,91.0,92.0,91.61,92.0,83.0,85.0,84.61,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,43718.0,44618.0,43945.33,43836.0,91.0,92.0,91.67,92.0,84.0,86.0,84.83,85.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
