GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,18353.0,20589.0,19540.25,19283.0,96.0,97.0,96.75,97.0,60.0,64.0,60.62,60.0,2131.95,9893.06,9063.36,9875.75,18.93,87.83,80.46,87.68,2.0,99.0,79.0,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,326.0,326.0,326.0,326.0,46.0,46.0,46.0,46.0,60.0,60.0,60.0,60.0,2020.54,9719.83,6832.76,9719.83,17.94,86.29,60.66,86.29,0.0,98.0,30.0,1.0,
NVIDIA GeForce GTX 1080 Ti,dict2,19.0,29.0,22.0,20.5,71.0,80.0,78.33,79.0,52.0,55.0,52.39,52.0,2106.55,9880.85,8871.25,9827.91,18.7,87.72,78.76,87.25,1.0,97.0,66.08,79.0,
NVIDIA GeForce GTX 1080 Ti,dict3,24092.0,24108.0,24097.89,24097.0,95.0,97.0,95.94,96.0,76.0,77.0,76.94,77.0,1145.16,8837.52,8168.65,8837.52,10.17,78.46,72.52,78.46,0.0,96.0,81.87,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,23996.0,24149.0,24035.33,24017.0,96.0,96.0,96.0,96.0,75.0,76.0,75.56,76.0,1149.44,8848.09,8178.65,8848.09,10.2,78.55,72.61,78.55,0.0,98.0,79.22,96.0,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,71.0,79.0,77.0,79.0,53.0,56.0,53.78,53.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,16387.0,20517.0,18452.0,18452.0,97.0,98.0,97.75,98.0,52.0,59.0,53.75,52.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,23345.0,23895.0,23496.85,23431.0,96.0,97.0,96.08,96.0,82.0,85.0,83.77,84.0,336.73,336.73,336.73,336.73,4.11,4.11,4.11,4.11,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,66.0,67.0,66.08,66.0,65.0,68.0,67.15,67.0,61.0,62.0,61.92,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,21935.0,22325.0,22026.17,21973.0,91.0,92.0,91.61,92.0,84.0,86.0,84.83,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,21718.0,22242.0,21888.47,21841.0,91.0,92.0,91.68,92.0,85.0,86.0,85.16,85.0,455.51,455.51,455.51,455.51,5.56,5.56,5.56,5.56,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,6.0,3399.0,1356.55,238.0,62.0,76.0,66.71,67.0,62.0,66.0,62.68,62.0,355.51,355.51,355.51,355.51,4.34,4.34,4.34,4.34,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,23570.0,23967.0,23722.67,23715.0,94.0,97.0,95.89,96.0,82.0,83.0,82.89,83.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,41922.0,42157.0,42021.69,41987.0,85.0,94.0,92.46,93.0,77.0,78.0,77.46,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,75.0,75.0,75.0,75.0,75.0,76.0,75.36,75.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,41873.0,42091.0,41927.83,41878.0,93.0,94.0,93.28,93.0,77.0,78.0,77.94,78.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,44040.0,44360.0,44147.56,44103.5,86.0,94.0,93.11,93.5,77.0,79.0,78.06,78.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,2.0,2.0,2.0,2.0,
NVIDIA GeForce RTX 3070,force,7.0,224.0,145.18,218.0,64.0,80.0,70.47,68.0,61.0,62.0,61.35,61.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,41787.0,42201.0,41999.25,42004.5,85.0,94.0,92.62,94.0,76.0,76.0,76.0,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,74147.0,74951.0,74441.54,74371.0,92.0,94.0,93.23,93.0,85.0,86.0,85.92,86.0,499.66,8394.33,7147.94,8394.33,2.03,34.16,29.09,34.16,0.0,98.0,74.0,93.0,
NVIDIA GeForce RTX 3090,dict2,75.0,75.0,75.0,75.0,84.0,87.0,85.36,85.0,74.0,74.0,74.0,74.0,499.91,8328.58,7307.56,8328.58,2.03,33.89,29.73,33.89,0.0,96.0,53.52,60.0,
NVIDIA GeForce RTX 3090,dict3,67795.0,70103.0,68364.89,68025.5,87.0,96.0,93.72,94.0,83.0,85.0,83.11,83.0,540.61,8369.34,7390.38,8369.34,2.2,34.05,30.07,34.05,0.0,98.0,81.65,93.0,
NVIDIA GeForce RTX 3090,dict4,71846.0,74247.0,72733.67,72594.5,88.0,96.0,94.06,94.0,83.0,84.0,83.17,83.0,1062.28,8895.27,7874.32,8895.27,4.32,36.19,32.04,36.19,0.0,96.0,82.0,94.0,
