GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,16050.0,16218.0,16061.67,16052.0,95.0,97.0,96.89,97.0,76.0,77.0,76.83,77.0,1143.66,8846.46,7922.3,8846.46,10.15,78.54,70.33,78.54,0.0,100.0,77.72,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,15993.0,16181.0,16007.61,15994.0,97.0,98.0,97.11,97.0,75.0,76.0,75.56,76.0,1144.73,8845.65,7921.56,8845.65,10.16,78.53,70.33,78.53,0.0,100.0,77.8,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,15425.0,15771.0,15514.15,15503.0,95.0,95.0,95.0,95.0,83.0,85.0,84.0,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,410.0,410.0,410.0,410.0,72.0,72.0,72.0,72.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,46.0,46.0,46.0,46.0,67.0,70.0,69.05,69.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,14945.0,15305.0,15023.83,14994.0,94.0,94.0,94.0,94.0,85.0,86.0,85.44,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,14880.0,15263.0,14968.28,14934.0,94.0,94.0,94.0,94.0,85.0,86.0,85.39,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,4.0,4.0,4.0,4.0,69.0,70.0,69.12,69.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,15571.0,15644.0,15602.29,15571.0,92.0,95.0,94.57,95.0,82.0,83.0,82.86,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,28636.0,29365.0,28726.92,28695.0,95.0,96.0,95.23,95.0,77.0,78.0,77.54,78.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,dict1,425.0,425.0,425.0,425.0,49.0,49.0,49.0,49.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,45.0,45.0,45.0,45.0,68.0,74.0,70.68,71.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,28559.0,29324.0,28637.68,28588.0,92.0,96.0,95.0,95.0,77.0,79.0,78.11,78.0,,,,,,,,,,,,,
