GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,39079.0,42554.0,40754.88,40954.0,97.0,97.0,97.0,97.0,58.0,62.0,59.12,58.0,2093.14,9864.81,9036.07,9848.37,18.58,87.58,80.22,87.43,2.0,99.0,82.0,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,45.0,72.0,53.61,50.5,86.0,92.0,89.22,89.0,54.0,58.0,55.11,55.0,2118.12,9888.01,8953.91,9853.48,18.8,87.78,79.49,87.48,0.0,86.0,58.35,75.0,
NVIDIA GeForce GTX 1080 Ti,dict3,49529.0,50004.0,49806.18,49972.0,96.0,97.0,96.12,96.0,76.0,77.0,76.59,77.0,1143.35,8844.52,7882.04,8844.46,10.15,78.52,69.98,78.52,0.0,100.0,80.12,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,49857.0,50063.0,49984.18,50037.0,96.0,96.0,96.0,96.0,75.0,76.0,75.94,76.0,1143.48,8843.65,8202.14,8843.65,10.15,78.51,72.82,78.51,0.0,100.0,84.17,96.0,
NVIDIA GeForce GTX 1080 Ti,force,4.0,6.0,4.78,5.0,75.0,83.0,80.78,82.0,55.0,59.0,56.0,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,33487.0,42457.0,38720.75,41472.0,96.0,98.0,97.62,98.0,52.0,60.0,54.75,53.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,45211.0,45868.0,45444.08,45373.0,93.0,93.0,93.0,93.0,83.0,84.0,83.62,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,126.0,127.0,126.17,126.0,66.0,66.0,66.0,66.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,43798.0,44576.0,43979.61,43887.0,91.0,92.0,91.61,92.0,84.0,85.0,84.33,84.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,43137.0,44150.0,43432.0,43305.0,91.0,92.0,91.89,92.0,85.0,86.0,85.44,85.0,,,,,,,,,,,,,
