GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,18504.0,20571.0,19665.75,19535.0,96.0,97.0,96.88,97.0,61.0,65.0,61.88,61.0,2104.66,9874.37,9054.3,9871.68,18.68,87.66,80.38,87.64,1.0,98.0,76.68,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,300.0,300.0,300.0,300.0,31.0,73.0,52.0,52.0,62.0,62.0,62.0,62.0,2008.41,9707.71,6820.63,9707.71,17.83,86.18,60.55,86.18,0.0,88.0,35.0,25.0,
NVIDIA GeForce GTX 1080 Ti,dict2,19.0,29.0,22.5,21.0,71.0,79.0,78.06,79.0,49.0,54.0,50.39,50.0,2108.77,9872.66,8861.81,9815.49,18.72,87.65,78.67,87.14,0.0,100.0,71.58,88.0,
NVIDIA GeForce GTX 1080 Ti,dict3,24117.0,24148.0,24123.83,24121.0,95.0,97.0,96.0,96.0,76.0,77.0,76.94,77.0,1148.1,8844.46,8203.12,8844.46,10.19,78.52,72.83,78.52,0.0,96.0,82.29,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,24096.0,24111.0,24099.67,24097.0,91.0,96.0,95.56,96.0,76.0,77.0,76.33,76.0,1143.85,8848.09,8206.3,8848.09,10.15,78.55,72.85,78.55,0.0,97.0,81.5,96.0,
NVIDIA GeForce GTX 1080 Ti,force,2.0,2.0,2.0,2.0,71.0,79.0,77.38,78.0,50.0,54.0,51.25,51.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,17439.0,20570.0,19004.5,19004.5,96.0,98.0,97.5,98.0,51.0,58.0,53.12,51.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,23378.0,23873.0,23534.92,23449.0,96.0,96.0,96.0,96.0,83.0,85.0,83.77,84.0,327.78,327.78,327.78,327.78,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,65.0,66.0,65.69,66.0,66.0,69.0,67.54,68.0,61.0,62.0,61.92,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,21896.0,22423.0,22024.0,21969.0,91.0,92.0,91.67,92.0,84.0,86.0,85.11,85.0,,,,,,,,,,,,,
