GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,140669.0,140835.0,140739.75,140730.5,95.0,96.0,95.5,95.5,64.0,65.0,64.75,65.0,2125.16,3781.81,3504.86,3767.81,18.87,33.57,31.12,33.45,0.0,98.0,81.22,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,107.0,129.0,120.29,123.0,76.0,83.0,79.86,82.0,55.0,59.0,57.0,56.0,1627.59,3203.68,2796.29,3203.68,14.45,28.44,24.83,28.44,1.0,85.0,56.89,85.0,
NVIDIA GeForce GTX 1080 Ti,dict3,179024.0,182016.0,180011.83,179542.5,84.0,98.0,96.08,97.0,86.0,91.0,87.75,87.0,1105.38,2682.02,2476.62,2682.02,9.81,23.81,21.99,23.81,0.0,98.0,83.17,97.0,
NVIDIA GeForce GTX 1080 Ti,dict4,177420.0,178276.0,177991.54,177986.0,97.0,98.0,97.15,97.0,87.0,91.0,88.54,89.0,1149.44,2726.09,2511.1,2726.09,10.2,24.2,22.29,24.2,0.0,97.0,79.32,97.0,
NVIDIA GeForce GTX 1080 Ti,force,6.0,1180.0,565.33,266.0,81.0,93.0,82.96,82.0,54.0,56.0,54.96,55.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,67660.0,67733.0,67699.88,67697.5,94.0,95.0,94.5,94.5,59.0,60.0,59.12,59.0,1137.91,2783.21,1712.58,1279.21,10.1,24.71,15.2,11.36,0.0,98.0,26.05,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,241077.0,247115.0,243532.23,243282.0,94.0,94.0,94.0,94.0,83.0,87.0,85.85,86.0,327.78,1949.68,942.12,445.68,4.0,23.8,11.5,5.44,0.0,94.0,30.46,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,311.0,311.0,311.0,311.0,61.0,61.0,61.0,61.0,60.0,60.0,60.0,60.0,338.56,1894.46,1227.78,1894.46,4.13,23.13,14.99,23.13,0.0,68.0,33.86,42.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,231704.0,241085.0,235371.41,234648.0,91.0,94.0,92.53,93.0,85.0,88.0,86.47,86.0,338.56,1894.46,1682.79,1894.46,4.13,23.13,20.54,23.13,0.0,94.0,78.77,93.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,214332.0,221049.0,216132.94,215404.5,93.0,94.0,93.89,94.0,86.0,89.0,88.11,88.0,338.56,1894.46,1691.91,1894.46,4.13,23.13,20.65,23.13,0.0,94.0,79.39,94.0,
NVIDIA GeForce RTX 2080 SUPER,force,1063.0,4880.0,4073.27,4824.0,62.0,75.0,67.13,67.0,61.0,65.0,62.07,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,243894.0,246946.0,245066.75,244965.5,94.0,94.0,94.0,94.0,83.0,86.0,85.12,85.0,338.56,1960.46,835.74,456.46,4.13,23.93,10.2,5.57,0.0,89.0,19.6,0.0,
NVIDIA GeForce RTX 3070,combinator,232280.0,233828.0,232919.62,232863.0,94.0,94.0,94.0,94.0,69.0,75.0,72.15,72.0,356.11,2014.07,983.54,510.07,4.35,24.59,12.01,6.23,0.0,94.0,25.81,0.0,
NVIDIA GeForce RTX 3070,dict2,342.0,342.0,342.0,342.0,70.0,70.0,70.0,70.0,59.0,59.0,59.0,59.0,356.11,1948.07,1417.42,1948.07,4.35,23.78,17.3,23.78,0.0,77.0,40.33,50.0,
NVIDIA GeForce RTX 3070,dict3,225024.0,226842.0,225729.17,225722.0,84.0,95.0,93.06,94.0,80.0,84.0,82.44,82.5,356.11,1948.07,1740.51,1948.07,4.35,23.78,21.25,23.78,0.0,95.0,76.87,93.0,
NVIDIA GeForce RTX 3070,dict4,221959.0,226803.0,223948.61,223743.0,94.0,95.0,94.44,94.0,82.0,84.0,83.39,83.0,356.11,1948.07,1740.51,1948.07,4.35,23.78,21.25,23.78,0.0,95.0,77.13,93.0,
NVIDIA GeForce RTX 3070,force,1018.0,6732.0,5512.93,6719.0,59.0,84.0,79.36,83.0,59.0,60.0,59.64,60.0,356.11,2014.07,1071.43,510.07,4.35,24.59,13.08,6.23,0.0,83.0,25.4,0.0,
NVIDIA GeForce RTX 3070,hybrid,233382.0,233824.0,233601.5,233622.5,93.0,95.0,94.25,94.0,68.0,71.0,69.75,70.0,508.0,2165.96,1027.51,661.96,6.2,26.44,12.54,8.08,0.0,95.0,21.64,0.0,
NVIDIA GeForce RTX 3090,combinator,391399.0,393788.0,392382.85,392358.0,93.0,94.0,93.92,94.0,79.0,83.0,81.54,82.0,499.66,2260.33,1967.03,2260.33,2.03,9.2,8.0,9.2,0.0,95.0,74.06,94.5,
NVIDIA GeForce RTX 3090,dict2,278.0,278.0,278.0,278.0,67.0,67.0,67.0,67.0,73.0,73.0,73.0,73.0,499.22,2193.89,1709.89,2193.89,2.03,8.93,6.96,8.93,0.0,68.0,35.14,55.0,
NVIDIA GeForce RTX 3090,dict3,370344.0,378187.0,372565.0,371719.0,91.0,97.0,95.29,95.0,86.0,87.0,86.18,86.0,541.8,2237.97,2006.83,2237.84,2.2,9.11,8.17,9.11,0.0,96.0,81.59,95.0,
NVIDIA GeForce RTX 3090,dict4,393584.0,396108.0,395479.94,395641.0,95.0,98.0,95.59,95.0,80.0,81.0,80.59,81.0,546.21,2246.38,2010.09,2240.19,2.22,9.14,8.18,9.12,0.0,98.0,82.82,95.0,
NVIDIA GeForce RTX 3090,force,884.0,2155.0,1770.07,2074.0,53.0,72.0,54.8,53.0,70.0,71.0,70.07,70.0,,,,,,,,,,,,,
