GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,158150.0,195728.0,180265.12,184807.5,97.0,98.0,97.62,98.0,56.0,67.0,60.88,58.5,2090.54,3743.0,3466.98,3735.59,18.56,33.23,30.78,33.16,1.0,98.0,81.39,97.0,
NVIDIA GeForce GTX 1080 Ti,dict2,189.0,189.0,189.0,189.0,71.0,80.0,77.0,80.0,57.0,57.0,57.0,57.0,1628.21,3216.68,2622.13,3214.77,14.46,28.56,23.28,28.54,1.0,82.0,45.88,60.0,
NVIDIA GeForce GTX 1080 Ti,dict3,218954.0,221708.0,219815.28,219461.5,84.0,97.0,95.5,96.0,84.0,88.0,86.56,87.0,1104.73,2690.02,2483.3,2690.02,9.81,23.88,22.05,23.88,0.0,97.0,81.22,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,223315.0,228130.0,225933.22,226219.5,96.0,97.0,96.61,97.0,81.0,90.0,87.83,89.0,1148.1,2734.09,2527.33,2734.09,10.19,24.27,22.44,24.27,0.0,97.0,82.3,96.0,
NVIDIA GeForce GTX 1080 Ti,force,19.0,602.0,354.25,312.0,79.0,88.0,84.83,87.0,50.0,54.0,51.17,50.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,152514.0,195419.0,175439.0,175260.0,97.0,99.0,98.0,98.0,55.0,67.0,59.62,56.5,1137.56,2790.21,2536.19,2790.21,10.1,24.77,22.52,24.77,0.0,97.0,74.23,96.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,282739.0,289680.0,285081.15,284538.0,92.0,93.0,92.77,93.0,84.0,90.0,86.15,86.0,327.78,1955.68,1684.46,1955.68,4.0,23.87,20.56,23.87,0.0,92.0,75.11,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,271974.0,277755.0,274121.0,273942.5,90.0,92.0,91.12,91.5,84.0,91.0,87.5,87.0,338.56,1900.46,1696.82,1900.46,4.13,23.2,20.71,23.2,0.0,93.0,77.09,91.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,256370.0,263579.0,258264.94,257713.0,92.0,93.0,92.18,92.0,87.0,89.0,88.0,88.0,338.56,1900.46,1751.75,1900.46,4.13,23.2,21.38,23.2,0.0,96.0,85.33,96.0,
NVIDIA GeForce RTX 2080 SUPER,force,1547.0,7727.0,7177.54,7641.0,69.0,80.0,76.38,78.0,61.0,66.0,61.77,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,288369.0,293171.0,290240.75,290011.0,91.0,93.0,92.62,93.0,85.0,87.0,85.75,86.0,338.56,1966.46,1590.94,1966.46,4.13,24.0,19.42,24.0,0.0,93.0,65.38,92.0,
NVIDIA GeForce RTX 3070,combinator,293065.0,293749.0,293477.69,293593.0,95.0,97.0,96.08,96.0,73.0,77.0,75.15,75.0,356.11,2024.07,1827.9,2024.07,4.35,24.71,22.31,24.71,0.0,97.0,78.29,95.0,
NVIDIA GeForce RTX 3070,dict3,286987.0,289438.0,287968.47,287989.0,95.0,97.0,96.12,96.0,81.0,83.0,82.47,83.0,356.11,1956.07,1747.47,1956.07,4.35,23.88,21.33,23.88,0.0,97.0,79.04,95.0,
NVIDIA GeForce RTX 3070,dict4,287673.0,289211.0,288294.76,288182.0,91.0,97.0,95.88,96.0,81.0,84.0,82.65,83.0,356.11,1956.07,1747.47,1956.07,4.35,23.88,21.33,23.88,0.0,97.0,80.87,95.0,
NVIDIA GeForce RTX 3070,force,1575.0,3444.0,3269.31,3421.0,68.0,90.0,71.92,70.0,60.0,63.0,60.46,60.0,356.11,2022.07,1728.19,2022.07,4.35,24.68,21.1,24.68,0.0,75.0,50.12,64.0,
NVIDIA GeForce RTX 3070,hybrid,276967.0,278395.0,277577.25,277528.5,92.0,93.0,92.62,93.0,70.0,72.0,70.75,71.0,495.0,2162.96,1906.43,2162.96,6.04,26.4,23.27,26.4,0.0,97.0,72.69,95.0,
NVIDIA GeForce RTX 3090,combinator,459685.0,460482.0,460031.17,460001.0,92.0,94.0,92.83,93.0,81.0,83.0,81.83,82.0,499.66,2274.33,1978.7,2274.33,2.03,9.25,8.05,9.25,0.0,96.0,78.17,93.0,
NVIDIA GeForce RTX 3090,dict3,435382.0,441201.0,437705.56,437121.5,84.0,96.0,93.94,95.0,86.0,87.0,86.17,86.0,544.51,2249.84,2036.91,2249.84,2.22,9.15,8.29,9.15,0.0,95.0,81.43,94.0,
NVIDIA GeForce RTX 3090,dict4,453545.0,455829.0,454459.82,454127.0,85.0,96.0,93.35,93.0,82.0,84.0,82.88,83.0,539.71,2252.13,2019.26,2252.13,2.2,9.16,8.22,9.16,0.0,96.0,78.18,94.5,
NVIDIA GeForce RTX 3090,force,1542.0,4580.0,4039.77,4505.0,49.0,72.0,55.31,51.0,68.0,69.0,68.54,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,461211.0,464367.0,462747.12,463225.5,91.0,94.0,92.88,93.0,77.0,79.0,78.0,78.0,546.66,2321.33,1941.14,2321.33,2.22,9.45,7.9,9.45,2.0,97.0,69.14,97.0,
NVIDIA RTX A4000,combinator,258155.0,259277.0,258526.62,258465.0,86.0,97.0,95.62,96.0,84.0,86.0,85.08,85.0,743.42,2421.39,2149.39,2421.39,4.54,14.79,13.13,14.79,0.0,96.0,79.78,95.5,
NVIDIA RTX A4000,dict3,240857.0,242269.0,241441.6,241334.5,93.0,94.0,93.8,94.0,89.0,91.0,90.1,90.0,778.77,2551.59,2334.44,2464.38,4.76,15.58,14.26,15.05,0.0,98.0,83.52,96.0,
NVIDIA RTX A4000,dict4,240574.0,242115.0,241415.71,241583.0,92.0,96.0,94.0,94.0,89.0,91.0,90.14,90.0,798.45,2408.41,2260.74,2408.41,4.88,14.71,13.81,14.71,3.0,97.0,82.36,96.0,
NVIDIA RTX A4000,force,1345.0,6300.0,5840.58,6274.5,67.0,72.0,68.25,68.0,73.0,73.0,73.0,73.0,743.73,2419.7,2155.28,2419.7,4.54,14.78,13.16,14.78,0.0,95.0,64.89,78.0,
NVIDIA RTX A4000,hybrid,252939.0,255452.0,254139.5,254313.0,85.0,95.0,93.0,94.0,82.0,84.0,83.38,83.5,,,,,,,,,,,,,
Radeon RX Vega,combinator,138574.0,139139.0,138738.15,138677.0,9.0,94.0,74.23,91.0,66.0,69.0,67.62,68.0,5640.21,6230.23,6106.33,6136.62,34.6,38.2,37.43,37.6,0,0,0,0,
Radeon RX Vega,dict2,161.0,161.0,161.0,161.0,2.0,90.0,58.0,70.0,70.0,70.0,70.0,70.0,4596.25,4962.07,4908.63,4959.85,28.2,30.4,30.09,30.4,0,0,0,0,
Radeon RX Vega,dict3,134901.0,135734.0,135162.47,135044.0,25.0,95.0,80.24,95.0,73.0,74.0,73.76,74.0,5061.24,5449.06,5425.72,5447.6,31.0,33.4,33.27,33.4,0,0,0,0,
Radeon RX Vega,dict4,136315.0,137087.0,136574.24,136486.0,14.0,96.0,71.94,91.0,74.0,75.0,74.65,75.0,6705.7,7117.5,7075.62,7107.04,41.1,43.6,43.37,43.6,0,0,0,0,
Radeon RX Vega,force,16.0,5257.0,3568.59,5247.0,5.0,91.0,62.41,71.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
Radeon RX Vega,hybrid,138722.0,139879.0,139243.5,139054.5,14.0,93.0,69.25,91.0,59.0,60.0,59.38,59.0,,,,,,,,,,,,,
