GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,408822.0,409256.0,408969.5,408937.0,95.0,96.0,95.88,96.0,65.0,66.0,65.5,65.5,2130.66,3795.43,3512.89,3783.31,18.92,33.7,31.19,33.59,1.0,97.0,78.61,96.0,
NVIDIA GeForce GTX 1080 Ti,dict3,495203.0,506796.0,498542.59,496497.0,83.0,96.0,94.88,96.0,83.0,90.0,86.65,86.0,1105.38,2692.02,2163.72,2692.02,9.81,23.9,19.21,23.9,0.0,96.0,53.0,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,498320.0,508108.0,501517.24,500947.0,96.0,96.0,96.0,96.0,85.0,87.0,85.71,86.0,1145.62,2737.09,2470.14,2734.18,10.17,24.3,21.93,24.27,0.0,96.0,74.5,95.0,
NVIDIA GeForce GTX 1080 Ti,force,913.0,181997.0,94604.77,93981.5,80.0,96.0,90.95,92.5,54.0,58.0,55.95,56.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,176040.0,176077.0,176057.88,176058.5,95.0,96.0,95.75,96.0,58.0,59.0,58.62,59.0,1137.56,2790.21,1861.1,1276.21,10.1,24.77,16.52,11.33,0.0,96.0,33.57,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,625274.0,640808.0,631727.85,631367.0,91.0,92.0,91.15,91.0,83.0,87.0,85.46,86.0,327.78,1959.68,1103.53,445.68,4.0,23.92,13.47,5.44,0.0,91.0,38.32,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,586642.0,610400.0,595380.17,593613.0,88.0,90.0,88.67,89.0,85.0,90.0,87.06,86.0,338.56,1904.46,1691.02,1904.46,4.13,23.25,20.64,23.25,0.0,91.0,74.91,89.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,552245.0,571490.0,557745.17,555628.0,89.0,91.0,90.72,91.0,87.0,89.0,87.67,88.0,338.56,1904.46,1691.42,1904.46,4.13,23.25,20.65,23.25,0.0,91.0,75.45,91.0,
NVIDIA GeForce RTX 2080 SUPER,force,3375.0,7679.0,7074.25,7435.0,67.0,79.0,73.75,73.0,60.0,61.0,60.08,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,663894.0,672373.0,667406.0,666896.0,95.0,95.0,95.0,95.0,82.0,86.0,84.5,85.0,338.56,1970.46,1022.64,456.46,4.13,24.05,12.48,5.57,0.0,91.0,29.31,0.0,
NVIDIA GeForce RTX 3070,combinator,606452.0,610146.0,607562.62,607175.0,91.0,92.0,91.08,91.0,70.0,75.0,72.38,72.0,356.11,2024.07,1164.48,510.07,4.35,24.71,14.21,6.23,0.0,92.0,39.82,0.0,
NVIDIA GeForce RTX 3070,dict3,587986.0,601817.0,593293.0,593099.0,79.0,96.0,92.76,95.0,82.0,84.0,83.12,83.0,356.11,1958.07,1749.2,1958.07,4.35,23.9,21.35,23.9,0.0,93.0,73.48,90.0,
NVIDIA GeForce RTX 3070,dict4,576148.0,586705.0,579628.53,578244.0,85.0,92.0,91.24,92.0,83.0,84.0,83.41,83.0,356.11,1958.07,1749.2,1958.07,4.35,23.9,21.35,23.9,0.0,92.0,73.87,90.0,
NVIDIA GeForce RTX 3070,force,2853.0,633061.0,431624.08,536160.0,71.0,96.0,84.48,79.0,56.0,71.0,64.04,65.0,356.11,2024.07,1430.25,2024.07,4.35,24.71,17.46,24.71,0.0,95.0,47.49,70.0,
NVIDIA GeForce RTX 3070,hybrid,607904.0,609610.0,608556.38,608499.5,91.0,92.0,91.12,91.0,67.0,70.0,69.0,69.5,506.48,2173.46,1199.35,659.46,6.18,26.53,14.64,8.05,0.0,91.0,28.5,0.0,
NVIDIA GeForce RTX 3090,combinator,957325.0,966450.0,960419.92,959551.0,90.0,91.0,90.23,90.0,80.0,83.0,81.92,82.0,499.66,2274.33,1978.7,2274.33,2.03,9.25,8.05,9.25,0.0,95.0,75.67,91.0,
NVIDIA GeForce RTX 3090,dict3,877934.0,896013.0,882827.28,880403.5,82.0,93.0,89.78,92.0,85.0,86.0,85.83,86.0,541.8,2253.78,2030.79,2253.66,2.2,9.17,8.26,9.17,0.0,94.0,75.17,92.0,
NVIDIA GeForce RTX 3090,dict4,961025.0,966406.0,963138.61,963042.5,86.0,93.0,91.72,92.0,81.0,83.0,82.28,82.0,544.58,2252.75,2030.04,2252.75,2.22,9.17,8.26,9.17,0.0,94.0,75.87,92.0,
NVIDIA GeForce RTX 3090,force,10582.0,114762.0,66926.32,105422.0,56.0,79.0,58.32,57.0,68.0,71.0,69.74,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,965962.0,972072.0,967675.75,966229.0,90.0,91.0,90.62,91.0,77.0,80.0,78.5,78.5,515.28,2289.95,2017.03,2289.95,2.1,9.32,8.21,9.32,3.0,96.0,73.77,96.0,
NVIDIA RTX A4000,combinator,567108.0,574342.0,570079.08,569914.0,92.0,92.0,92.0,92.0,75.0,82.0,79.08,79.0,743.42,2417.39,1670.23,2417.39,4.54,14.76,10.2,14.76,0.0,98.0,45.97,1.0,
