GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict1,77.0,99.0,92.73,99.0,82.0,94.0,90.55,93.0,60.0,61.0,60.64,61.0,1643.27,3253.92,2985.75,3253.92,14.59,28.89,26.51,28.89,3.0,97.0,72.42,95.0,
NVIDIA GeForce GTX 1080 Ti,dict2,25.0,38.0,29.83,28.0,91.0,95.0,94.22,95.0,56.0,60.0,56.61,56.0,1624.21,3237.61,3025.05,3234.86,14.42,28.74,26.86,28.72,1.0,92.0,75.13,91.0,
NVIDIA GeForce GTX 1080 Ti,dict3,19674.0,19765.0,19697.44,19691.5,95.0,96.0,95.06,95.0,74.0,75.0,74.56,75.0,1105.38,2716.02,2506.17,2716.02,9.81,24.11,22.25,24.11,0.0,95.0,79.78,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,19629.0,19713.0,19647.67,19640.5,95.0,96.0,95.28,95.0,74.0,75.0,74.28,74.0,1148.1,2760.09,2549.94,2760.09,10.19,24.5,22.64,24.5,0.0,95.0,79.22,95.0,
NVIDIA GeForce GTX 1080 Ti,force,1.0,1.0,1.0,1.0,94.0,94.0,94.0,94.0,50.0,50.0,50.0,50.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,20566.0,20683.0,20602.54,20595.0,92.0,92.0,92.0,92.0,70.0,73.0,71.46,72.0,327.78,327.78,327.78,327.78,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,192.0,246.0,215.0,207.0,74.0,75.0,74.33,74.0,61.0,61.0,61.0,61.0,327.78,327.78,327.78,327.78,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,77.0,77.0,77.0,77.0,74.0,75.0,74.82,75.0,61.0,61.0,61.0,61.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,20199.0,20857.0,20357.44,20300.0,89.0,91.0,89.94,90.0,70.0,75.0,73.28,74.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,19410.0,19738.0,19515.33,19496.0,91.0,91.0,91.0,91.0,84.0,86.0,85.11,85.0,456.46,456.46,456.46,456.46,5.57,5.57,5.57,5.57,0.0,0.0,0.0,0.0,
