GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,708.0,710.0,709.0,709.0,94.0,95.0,94.33,94.0,61.0,62.0,61.89,62.0,2005.13,3915.05,3797.41,3912.43,17.8,34.76,33.71,34.73,1.0,97.0,72.0,65.0,
NVIDIA GeForce GTX 1080 Ti,dict1,5.0,5.0,5.0,5.0,74.0,85.0,80.06,80.0,55.0,56.0,55.89,56.0,2019.35,3860.64,3763.75,3860.64,17.93,34.27,33.41,34.27,0.0,84.0,68.0,73.5,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,77.0,79.0,77.5,77.0,52.0,53.0,52.28,52.0,2105.2,4031.91,3841.18,3983.85,18.69,35.79,34.1,35.37,2.0,83.0,66.71,73.5,
NVIDIA GeForce GTX 1080 Ti,dict3,994.0,1019.0,1001.44,999.5,95.0,97.0,95.39,95.0,82.0,86.0,83.72,83.5,1138.88,2979.52,2838.27,2979.52,10.11,26.45,25.2,26.45,0.0,96.0,72.51,65.0,
NVIDIA GeForce GTX 1080 Ti,dict4,994.0,1016.0,1000.88,998.0,95.0,96.0,95.71,96.0,83.0,85.0,84.0,84.0,1149.44,2990.09,2848.51,2990.09,10.2,26.55,25.29,26.55,0.0,96.0,72.13,66.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,77.0,79.0,77.62,77.5,54.0,54.0,54.0,54.0,1141.81,3048.46,2851.35,3048.46,10.14,27.06,25.31,27.06,0.0,84.0,62.62,63.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,353.0,353.0,353.0,353.0,90.0,91.0,90.75,91.0,54.0,55.0,54.5,54.5,1146.19,3052.84,2865.78,3052.84,10.18,27.1,25.44,27.1,0.0,96.0,67.93,64.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1240.0,1285.0,1256.15,1253.0,91.0,91.0,91.0,91.0,86.0,90.0,87.69,88.0,327.78,2213.68,2074.01,2213.68,4.0,27.02,25.32,27.02,0.0,90.0,70.0,76.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,10.0,11.0,10.78,11.0,62.0,68.0,65.39,65.5,60.0,60.0,60.0,60.0,327.78,2147.68,2033.96,2147.68,4.0,26.22,24.83,26.22,0.0,74.0,60.75,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,62.0,68.0,65.5,66.0,61.0,61.0,61.0,61.0,338.56,2158.46,2044.75,2158.46,4.13,26.35,24.96,26.35,0.0,70.0,60.62,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1273.0,1331.0,1291.56,1286.5,89.0,90.0,89.94,90.0,87.0,88.0,87.22,87.0,338.56,339.51,339.04,339.04,4.13,4.14,4.14,4.14,0.0,88.0,44.0,44.0,
