GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,351.0,351.0,351.0,351.0,92.0,94.0,93.0,93.0,61.0,62.0,61.75,62.0,2008.28,3955.62,3809.64,3950.93,17.83,35.12,33.82,35.08,1.0,99.0,75.95,75.0,
NVIDIA GeForce GTX 1080 Ti,dict1,3.0,3.0,3.0,3.0,84.0,90.0,87.0,87.0,60.0,60.0,60.0,60.0,2016.93,3901.58,3776.27,3901.58,17.91,34.64,33.53,34.64,0.0,83.0,70.31,75.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,78.0,75.42,75.0,51.0,52.0,51.16,51.0,2148.7,4074.41,3951.98,4035.16,19.08,36.17,35.09,35.82,0.0,88.0,75.16,81.0,
NVIDIA GeForce GTX 1080 Ti,dict3,561.0,575.0,565.83,565.0,95.0,100.0,95.39,95.0,82.0,86.0,83.78,84.0,1143.66,3022.46,2900.01,3022.46,10.15,26.83,25.75,26.83,0.0,96.0,75.37,74.0,
NVIDIA GeForce GTX 1080 Ti,dict4,561.0,573.0,565.39,563.5,94.0,98.0,95.17,95.0,82.0,86.0,83.72,83.0,1145.6,3024.4,2901.96,3024.4,10.17,26.85,25.76,26.85,0.0,95.0,75.5,74.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,73.0,75.0,74.22,74.0,53.0,53.0,53.0,53.0,1141.1,3084.46,2973.43,3084.46,10.13,27.38,26.4,27.38,0.0,79.0,67.94,73.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,204.0,204.0,204.0,204.0,91.0,96.0,92.12,92.0,55.0,56.0,55.5,55.5,1141.75,3084.4,2922.61,3084.4,10.14,27.38,25.95,27.38,0.0,100.0,72.94,73.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,743.0,769.0,752.08,750.0,90.0,91.0,90.85,91.0,86.0,88.0,86.85,87.0,327.78,2241.68,2125.71,2241.68,4.0,27.36,25.95,27.36,0.0,90.0,70.42,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,6.0,6.0,6.0,6.0,57.0,77.0,71.67,75.0,61.0,62.0,61.11,61.0,327.78,2175.68,2029.84,2175.68,4.0,26.56,24.78,26.56,0.0,79.0,62.97,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,57.0,76.0,69.5,72.0,61.0,62.0,61.83,62.0,338.56,2186.46,2040.62,2186.46,4.13,26.69,24.91,26.69,0.0,79.0,63.03,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,669.0,702.0,679.67,677.0,88.0,90.0,88.22,88.0,87.0,89.0,87.17,87.0,338.56,2186.46,2041.07,2186.46,4.13,26.69,24.92,26.69,0.0,89.0,72.32,78.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,663.0,695.0,672.39,669.5,88.0,89.0,88.22,88.0,87.0,90.0,87.78,88.0,338.56,2186.46,2040.86,2186.46,4.13,26.69,24.91,26.69,0.0,89.0,72.58,79.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,56.0,76.0,61.38,58.0,61.0,62.0,61.38,61.0,338.56,2252.46,2115.79,2252.46,4.13,27.5,25.83,27.5,0.0,79.0,64.29,67.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,726.0,741.0,732.25,731.5,89.0,89.0,89.0,89.0,86.0,88.0,87.0,87.0,338.56,2252.46,2120.5,2252.46,4.13,27.5,25.89,27.5,0.0,88.0,69.14,67.0,
