GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,232.0,233.0,232.5,232.5,90.0,100.0,93.0,91.0,62.0,63.0,62.62,63.0,2012.07,3991.09,3866.48,3922.87,17.86,35.43,34.33,34.83,1.0,95.0,77.56,78.0,
NVIDIA GeForce GTX 1080 Ti,dict1,1.0,1.0,1.0,1.0,78.0,88.0,82.5,82.5,58.0,59.0,58.28,58.0,2016.93,3927.58,3850.35,3923.58,17.91,34.87,34.18,34.83,0.0,85.0,74.71,77.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,81.0,83.0,81.61,81.0,51.0,51.0,51.0,51.0,2161.2,4102.8,3983.47,4051.73,19.19,36.42,35.36,35.97,2.0,91.0,77.72,82.0,
NVIDIA GeForce GTX 1080 Ti,dict3,339.0,342.0,339.61,339.0,92.0,94.0,93.89,94.0,82.0,86.0,83.28,83.0,1145.62,3056.27,2946.11,3052.46,10.17,27.13,26.16,27.1,0.0,95.0,77.53,76.0,
NVIDIA GeForce GTX 1080 Ti,dict4,352.0,357.0,353.56,353.0,93.0,95.0,94.89,95.0,81.0,85.0,83.44,83.0,1145.73,3058.4,2947.98,3054.4,10.17,27.15,26.17,27.12,0.0,95.0,79.02,77.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,81.0,81.0,81.0,81.0,53.0,53.0,53.0,53.0,1139.23,3118.46,3023.67,3114.46,10.11,27.69,26.84,27.65,0.0,86.0,72.95,76.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,140.0,140.0,140.0,140.0,92.0,99.0,93.88,92.0,55.0,56.0,55.62,56.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,542.0,565.0,550.23,549.0,93.0,93.0,93.0,93.0,87.0,90.0,87.62,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,4.0,4.0,4.0,4.0,67.0,71.0,69.89,70.0,61.0,62.0,61.83,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,69.0,72.0,70.44,70.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
