GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,703.0,705.0,703.75,704.0,94.0,96.0,95.0,95.0,63.0,64.0,63.38,63.0,1941.45,3932.1,3762.41,3853.81,17.24,34.91,33.4,34.21,1.0,96.0,72.0,66.0,
NVIDIA GeForce GTX 1080 Ti,dict1,5.0,5.0,5.0,5.0,74.0,85.0,80.72,81.0,58.0,59.0,58.11,58.0,2016.29,3857.39,3756.92,3855.89,17.9,34.25,33.35,34.23,0.0,83.0,67.68,75.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,77.0,82.0,78.39,78.0,51.0,51.0,51.0,51.0,2131.45,4026.41,3886.75,3989.04,18.92,35.75,34.51,35.41,1.0,90.0,70.03,78.0,
NVIDIA GeForce GTX 1080 Ti,dict3,996.0,1012.0,1002.0,1000.0,95.0,96.0,95.24,95.0,82.0,84.0,83.65,84.0,1144.98,2988.96,2847.18,2988.84,10.16,26.54,25.28,26.53,0.0,96.0,72.05,64.0,
NVIDIA GeForce GTX 1080 Ti,dict4,997.0,1016.0,1004.53,1004.0,95.0,96.0,95.53,96.0,83.0,85.0,83.94,84.0,1145.73,2988.96,2888.89,2988.96,10.17,26.54,25.65,26.54,0.0,96.0,73.68,69.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,77.0,78.0,77.33,77.0,53.0,53.0,53.0,53.0,1144.1,3052.9,2855.58,3052.9,10.16,27.1,25.35,27.1,0.0,82.0,60.03,63.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,353.0,354.0,353.89,354.0,89.0,92.0,90.44,90.0,56.0,56.0,56.0,56.0,1139.16,1139.16,1139.16,1139.16,10.11,10.11,10.11,10.11,76.0,76.0,76.0,76.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1340.0,1388.0,1357.58,1354.0,91.0,92.0,91.17,91.0,87.0,89.0,87.5,87.0,338.73,338.73,338.73,338.73,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,11.0,11.0,11.0,11.0,60.0,68.0,64.94,65.0,61.0,62.0,61.72,62.0,327.78,2147.68,2037.62,2147.68,4.0,26.22,24.87,26.22,0.0,70.0,62.5,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,64.0,69.0,65.28,65.0,61.0,62.0,61.94,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1266.0,1322.0,1281.78,1276.0,89.0,90.0,89.94,90.0,87.0,88.0,87.67,88.0,456.46,456.46,456.46,456.46,5.57,5.57,5.57,5.57,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1224.0,1284.0,1242.72,1238.0,89.0,89.0,89.0,89.0,87.0,89.0,87.94,88.0,347.51,347.51,347.51,347.51,4.24,4.24,4.24,4.24,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,64.0,68.0,66.12,66.0,61.0,62.0,61.5,61.5,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
