GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,353.0,354.0,353.25,353.0,92.0,95.0,93.25,93.0,61.0,62.0,61.88,62.0,2023.3,3970.64,3824.53,3965.95,17.96,35.25,33.95,35.21,1.0,96.0,74.93,75.0,
NVIDIA GeForce GTX 1080 Ti,dict1,1.0,1.0,1.0,1.0,83.0,90.0,85.39,85.0,60.0,60.0,60.0,60.0,2014.6,3891.89,3766.77,3891.89,17.89,34.55,33.44,34.55,0.0,94.0,71.22,75.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,74.0,76.0,75.21,75.0,51.0,51.0,51.0,51.0,2147.45,4102.28,3935.64,4003.23,19.06,36.42,34.94,35.54,2.0,91.0,74.98,79.0,
NVIDIA GeForce GTX 1080 Ti,dict3,565.0,579.0,570.88,570.0,95.0,99.0,95.88,95.0,82.0,85.0,83.53,83.0,1138.62,3016.77,2890.67,3015.27,10.11,26.78,25.66,26.77,0.0,95.0,75.02,74.0,
NVIDIA GeForce GTX 1080 Ti,dict4,561.0,574.0,565.61,564.5,94.0,97.0,95.11,95.0,82.0,85.0,83.61,83.5,1147.1,3024.4,2902.0,3024.4,10.18,26.85,25.76,26.85,0.0,95.0,75.07,74.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,74.0,76.0,74.62,74.5,52.0,53.0,52.38,52.0,1141.81,3087.15,2974.32,3085.27,10.14,27.41,26.41,27.39,0.0,79.0,69.11,73.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,203.0,204.0,203.38,203.0,91.0,92.0,91.75,92.0,56.0,56.0,56.0,56.0,1142.1,3089.21,2980.69,3088.65,10.14,27.43,26.46,27.42,0.0,95.0,73.36,74.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,717.0,736.0,724.12,722.5,89.0,90.0,89.62,90.0,86.0,91.0,88.0,87.0,327.78,2241.68,2071.1,2241.68,4.0,27.36,25.28,27.36,1.0,89.0,69.45,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,1.0,2.0,1.78,2.0,57.0,77.0,68.67,69.5,61.0,62.0,61.22,61.0,327.78,2175.68,2030.18,2175.68,4.0,26.56,24.78,26.56,0.0,79.0,64.66,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,56.0,77.0,71.5,75.0,62.0,62.0,62.0,62.0,338.56,2186.46,2040.62,2186.46,4.13,26.69,24.91,26.69,0.0,79.0,64.0,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,667.0,696.0,676.67,674.5,88.0,90.0,88.22,88.0,87.0,88.0,87.33,87.0,338.56,2186.46,2040.62,2186.46,4.13,26.69,24.91,26.69,1.0,88.0,71.84,78.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,697.0,731.0,707.44,705.0,89.0,90.0,89.17,89.0,87.0,88.0,87.78,88.0,338.56,2186.46,2036.68,2186.46,4.13,26.69,24.86,26.69,0.0,89.0,71.65,67.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,57.0,73.0,64.5,65.0,62.0,62.0,62.0,62.0,338.56,2252.46,2115.79,2252.46,4.13,27.5,25.83,27.5,0.0,79.0,61.07,67.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,727.0,742.0,732.38,731.0,89.0,89.0,89.0,89.0,86.0,89.0,87.12,86.5,338.56,2252.46,2115.79,2252.46,4.13,27.5,25.83,27.5,0.0,90.0,65.89,67.0,
NVIDIA GeForce RTX 3070,combinator,762.0,765.0,763.38,763.0,90.0,94.0,90.62,90.0,77.0,80.0,78.62,79.0,356.11,2320.07,2141.59,2320.07,4.35,28.32,26.14,28.32,0.0,89.0,68.79,70.0,
NVIDIA GeForce RTX 3070,dict1,6.0,6.0,6.0,6.0,54.0,77.0,59.44,55.0,60.0,61.0,60.17,60.0,356.11,2254.07,2154.2,2254.07,4.35,27.52,26.3,27.52,0.0,82.0,65.58,70.0,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,54.0,79.0,61.06,55.0,60.0,61.0,60.06,60.0,356.11,2254.07,2104.49,2254.07,4.35,27.52,25.69,27.52,0.0,81.0,63.47,70.0,
NVIDIA GeForce RTX 3070,dict3,760.0,764.0,762.0,762.0,90.0,92.0,90.28,90.0,77.0,82.0,80.06,80.0,356.11,2254.07,2104.28,2254.07,4.35,27.52,25.69,27.52,0.0,90.0,71.05,78.0,
NVIDIA GeForce RTX 3070,dict4,760.0,763.0,761.78,762.0,90.0,92.0,90.33,90.0,78.0,82.0,80.22,80.0,356.11,2254.07,2104.28,2254.07,4.35,27.52,25.69,27.52,0.0,90.0,70.82,78.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,54.0,78.0,63.25,56.0,59.0,59.0,59.0,59.0,356.11,2320.07,2101.93,2320.07,4.35,28.32,25.66,28.32,0.0,82.0,67.22,74.0,
NVIDIA GeForce RTX 3070,hybrid,765.0,767.0,765.75,766.0,90.0,92.0,90.5,90.0,75.0,78.0,76.75,77.0,495.0,2458.96,2255.86,2458.96,6.04,30.02,27.54,30.02,0.0,90.0,66.97,72.0,
NVIDIA GeForce RTX 3090,combinator,1238.0,1245.0,1241.08,1241.0,88.0,92.0,88.85,88.0,85.0,87.0,86.31,86.0,499.66,2594.33,2468.7,2594.33,2.03,10.56,10.05,10.56,0.0,92.0,64.68,59.0,
NVIDIA GeForce RTX 3090,dict1,6.0,7.0,6.06,6.0,48.0,79.0,59.06,49.5,74.0,74.0,74.0,74.0,499.91,2528.58,2453.47,2528.58,2.03,10.29,9.98,10.29,0.0,86.0,61.17,58.5,
NVIDIA GeForce RTX 3090,dict2,0.0,0.0,0.0,0.0,50.0,79.0,62.06,54.5,74.0,74.0,74.0,74.0,499.91,2528.58,2415.92,2528.58,2.03,10.29,9.83,10.29,0.0,96.0,59.28,56.5,
NVIDIA GeForce RTX 3090,dict3,1229.0,1252.0,1238.78,1238.0,91.0,95.0,92.44,92.0,85.0,86.0,85.94,86.0,540.61,2569.34,2413.36,2569.34,2.2,10.45,9.82,10.45,0.0,94.0,73.33,73.0,
NVIDIA GeForce RTX 3090,dict4,1240.0,1255.0,1247.5,1247.5,91.0,94.0,91.83,92.0,85.0,86.0,85.67,86.0,1067.93,3095.27,2939.35,3095.27,4.35,12.59,11.96,12.59,0.0,93.0,73.54,71.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,50.0,78.0,65.11,77.0,72.0,72.0,72.0,72.0,672.77,2771.76,2555.01,2771.76,2.74,11.28,10.4,11.28,4.0,92.0,65.1,70.0,
NVIDIA GeForce RTX 3090,hybrid,1255.0,1259.0,1256.78,1257.0,88.0,90.0,89.0,89.0,83.0,84.0,83.67,84.0,555.49,2650.16,2550.45,2650.16,2.26,10.78,10.38,10.78,3.0,97.0,77.0,80.5,
NVIDIA RTX A4000,combinator,662.0,667.0,664.23,664.0,91.0,92.0,91.15,91.0,84.0,88.0,86.08,86.0,743.42,2717.39,2595.0,2717.39,4.54,16.59,15.85,16.59,0.0,95.0,75.4,77.0,
NVIDIA RTX A4000,dict1,5.0,5.0,5.0,5.0,54.0,61.0,56.61,56.0,74.0,74.0,74.0,74.0,743.42,2651.39,2541.39,2651.39,4.54,16.19,15.52,16.19,0.0,96.0,69.35,74.0,
NVIDIA RTX A4000,dict2,0.0,0.0,0.0,0.0,54.0,61.0,55.78,54.0,74.0,74.0,74.0,74.0,743.39,2651.36,2555.39,2651.36,4.54,16.19,15.6,16.19,0.0,78.0,69.48,74.5,
NVIDIA RTX A4000,dict3,659.0,669.0,663.72,664.0,90.0,91.0,90.78,91.0,85.0,89.0,87.67,88.0,784.0,2747.09,2597.81,2689.13,4.79,16.78,15.86,16.42,0.0,95.0,73.58,76.0,
NVIDIA RTX A4000,dict4,659.0,668.0,663.61,664.0,91.0,91.0,91.0,91.0,86.0,90.0,88.06,88.0,837.01,2774.5,2652.25,2753.72,5.11,16.94,16.2,16.82,0.0,97.0,75.7,71.0,
NVIDIA RTX A4000,force,0.0,0.0,0.0,0.0,54.0,61.0,56.12,55.0,73.0,73.0,73.0,73.0,743.73,2717.7,2580.07,2717.7,4.54,16.6,15.76,16.6,0.0,78.0,67.49,75.0,
NVIDIA RTX A4000,hybrid,668.0,672.0,669.62,669.5,91.0,91.0,91.0,91.0,85.0,87.0,85.88,86.0,1424.73,3402.2,3265.34,3398.45,8.7,20.78,19.94,20.75,1.0,91.0,74.07,78.0,
Radeon RX Vega,combinator,392.0,393.0,392.15,392.0,24.0,91.0,82.46,90.0,66.0,69.0,68.38,69.0,5564.48,6115.06,5924.77,5900.17,34.1,37.5,36.32,36.2,0,0,0,0,
Radeon RX Vega,dict1,2.0,3.0,2.82,3.0,11.0,75.0,67.0,72.0,63.0,65.0,63.88,64.0,4491.06,4864.43,4843.25,4846.01,27.5,29.8,29.69,29.7,0,0,0,0,
Radeon RX Vega,dict2,0.0,0.0,0.0,0.0,16.0,78.0,68.5,73.0,72.0,73.0,72.94,73.0,4536.37,5117.1,4908.73,4882.56,27.8,31.4,30.09,29.9,0,0,0,0,
Radeon RX Vega,dict3,389.0,390.0,389.06,389.0,19.0,90.0,83.59,90.0,72.0,72.0,72.0,72.0,7893.07,8432.13,8177.94,8167.6,48.4,51.7,50.14,50.1,0,0,0,0,
Radeon RX Vega,dict4,389.0,391.0,389.28,389.0,21.0,90.0,83.78,89.5,72.0,72.0,72.0,72.0,6571.42,6968.25,6917.73,6923.16,40.3,42.7,42.41,42.45,0,0,0,0,
Radeon RX Vega,force,0.0,0.0,0.0,0.0,29.0,82.0,71.12,76.0,64.0,66.0,65.25,65.0,8036.68,8761.55,8654.01,8670.25,49.3,53.7,53.06,53.15,0,0,0,0,
Radeon RX Vega,hybrid,391.0,392.0,391.25,391.0,18.0,90.0,76.25,90.0,69.0,70.0,69.62,70.0,9173.75,10460.45,10023.35,9949.54,56.2,64.1,61.44,61.0,0,0,0,0,
