GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1405.0,1408.0,1407.25,1407.5,94.0,95.0,94.75,95.0,64.0,65.0,64.5,64.5,2082.72,3989.37,3769.57,3989.37,18.49,35.42,33.47,35.42,3.0,97.0,76.27,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,11.0,11.0,11.0,11.0,74.0,76.0,75.17,75.0,59.0,60.0,59.78,60.0,1989.36,3830.22,3704.48,3830.22,17.66,34.0,32.89,34.0,2.0,84.0,73.07,82.5,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,78.0,82.0,78.83,79.0,44.0,44.0,44.0,44.0,2183.46,4019.95,3897.49,4019.89,19.38,35.69,34.6,35.69,3.0,95.0,75.17,85.0,
NVIDIA GeForce GTX 1080 Ti,dict3,2089.0,2127.0,2100.39,2098.0,96.0,97.0,96.17,96.0,82.0,86.0,83.72,84.0,1132.73,2984.77,2852.73,2974.02,10.06,26.5,25.33,26.4,0.0,97.0,80.57,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,2089.0,2128.0,2100.94,2098.5,96.0,97.0,96.11,96.0,81.0,86.0,83.83,84.0,1140.73,2982.02,2855.06,2982.02,10.13,26.47,25.35,26.47,0.0,96.0,79.48,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,78.0,80.0,78.38,78.0,45.0,45.0,45.0,45.0,1131.23,3038.52,2766.11,3038.52,10.04,26.98,24.56,26.98,0.0,83.0,61.38,62.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,699.0,700.0,699.25,699.0,93.0,94.0,93.12,93.0,50.0,51.0,50.88,51.0,2167.89,4075.18,3893.57,4075.18,19.25,36.18,34.57,36.18,0.0,97.0,70.0,65.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,2568.0,2631.0,2591.31,2587.0,90.0,91.0,90.69,91.0,85.0,88.0,86.46,87.0,328.73,328.73,328.73,328.73,4.01,4.01,4.01,4.01,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,22.0,22.0,22.0,22.0,64.0,69.0,66.17,66.0,62.0,62.0,62.0,62.0,338.56,2158.46,2023.69,2158.46,4.13,26.35,24.7,26.35,1.0,70.0,62.41,70.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,2.0,2.0,2.0,2.0,62.0,68.0,65.44,65.5,61.0,62.0,61.56,62.0,338.56,2158.46,2023.69,2158.46,4.13,26.35,24.7,26.35,0.0,71.0,60.37,70.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,2611.0,2734.0,2651.78,2641.0,89.0,90.0,89.11,89.0,86.0,88.0,86.94,87.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,2522.0,2636.0,2561.47,2552.0,89.0,90.0,89.12,89.0,86.0,90.0,87.41,87.0,338.56,2158.46,2023.69,2158.46,4.13,26.35,24.7,26.35,0.0,92.0,75.63,91.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,61.0,67.0,64.12,64.0,62.0,62.0,62.0,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,2800.0,2842.0,2816.78,2815.0,90.0,91.0,90.56,91.0,85.0,87.0,86.22,86.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,2748.0,2755.0,2751.46,2751.0,90.0,92.0,91.15,91.0,72.0,77.0,74.69,75.0,356.11,2278.07,2027.47,2278.07,4.35,27.81,24.75,27.81,0.0,90.0,68.35,88.0,
NVIDIA GeForce RTX 3070,dict1,14.0,14.0,14.0,14.0,66.0,75.0,69.72,69.5,59.0,59.0,59.0,59.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,2.0,2.0,2.0,2.0,64.0,73.0,69.67,70.0,59.0,60.0,59.72,60.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,dict3,2744.0,2766.0,2751.89,2749.5,90.0,92.0,91.06,91.0,73.0,78.0,75.89,76.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,2.0,2.0,2.0,2.0,
NVIDIA GeForce RTX 3070,dict4,2680.0,2689.0,2684.89,2685.0,90.0,91.0,90.22,90.0,72.0,78.0,75.78,76.0,510.07,510.07,510.07,510.07,6.23,6.23,6.23,6.23,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,62.0,72.0,67.88,70.0,59.0,59.0,59.0,59.0,356.11,2278.07,1974.71,2278.07,4.35,27.81,24.11,27.81,0.0,72.0,53.53,68.0,
NVIDIA GeForce RTX 3070,hybrid,2588.0,2591.0,2590.38,2591.0,90.0,92.0,90.25,90.0,71.0,74.0,72.5,72.5,495.88,2417.84,2097.62,2417.84,6.05,29.51,25.61,29.51,0.0,90.0,68.5,88.0,
NVIDIA GeForce RTX 3090,combinator,4609.0,4634.0,4618.77,4617.0,90.0,90.0,90.0,90.0,83.0,85.0,84.38,85.0,499.66,499.66,499.66,499.66,2.03,2.03,2.03,2.03,87.0,87.0,87.0,87.0,
NVIDIA GeForce RTX 3090,dict1,23.0,23.0,23.0,23.0,69.0,76.0,71.94,72.0,73.0,74.0,73.89,74.0,502.55,502.55,502.55,502.55,2.04,2.04,2.04,2.04,72.0,72.0,72.0,72.0,
NVIDIA GeForce RTX 3090,dict2,2.0,2.0,2.0,2.0,70.0,76.0,72.39,72.0,73.0,73.0,73.0,73.0,514.0,514.0,514.0,514.0,2.09,2.09,2.09,2.09,78.0,78.0,78.0,78.0,
NVIDIA GeForce RTX 3090,dict3,4606.0,4626.0,4617.78,4619.5,87.0,95.0,92.94,93.5,84.0,86.0,85.44,86.0,540.61,2499.34,2296.81,2499.34,2.2,10.17,9.35,10.17,0.0,93.0,74.34,92.0,
NVIDIA GeForce RTX 3090,dict4,4472.0,4534.0,4506.17,4506.0,92.0,97.0,94.06,94.0,84.0,86.0,85.39,86.0,722.05,2704.6,2479.23,2688.29,2.94,11.01,10.09,10.94,0.0,96.0,76.75,93.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,69.0,72.0,70.89,72.0,73.0,73.0,73.0,73.0,686.93,2734.16,2505.51,2714.48,2.8,11.13,10.19,11.05,3.0,74.0,58.84,67.0,
NVIDIA GeForce RTX 3090,hybrid,4637.0,4643.0,4639.75,4640.0,90.0,91.0,90.12,90.0,81.0,83.0,82.12,82.0,558.73,2583.4,2381.0,2583.4,2.27,10.51,9.69,10.51,3.0,96.0,73.5,88.0,
NVIDIA RTX A4000,combinator,2420.0,2438.0,2428.0,2427.0,91.0,93.0,92.0,92.0,82.0,86.0,84.54,85.0,743.42,2673.39,2450.85,2673.39,4.54,16.33,14.97,16.33,0.0,95.0,69.38,94.0,
NVIDIA RTX A4000,dict1,22.0,23.0,22.22,22.0,69.0,70.0,69.83,70.0,74.0,74.0,74.0,74.0,743.42,2607.39,2478.91,2607.39,4.54,15.92,15.14,15.92,0.0,72.0,59.31,67.0,
NVIDIA RTX A4000,dict2,2.0,2.0,2.0,2.0,69.0,70.0,69.72,70.0,74.0,74.0,74.0,74.0,745.37,2607.36,2421.16,2607.36,4.55,15.92,14.78,15.92,0.0,85.0,59.6,67.5,
NVIDIA RTX A4000,dict3,2395.0,2419.0,2404.67,2403.5,91.0,92.0,91.56,92.0,85.0,89.0,87.11,87.0,796.55,2668.73,2467.31,2662.48,4.86,16.3,15.07,16.26,0.0,96.0,76.07,95.0,
NVIDIA RTX A4000,dict4,2396.0,2411.0,2403.33,2403.5,86.0,93.0,91.39,92.0,85.0,89.0,87.0,87.0,826.65,2717.95,2566.43,2704.51,5.05,16.6,15.67,16.52,1.0,97.0,77.67,95.0,
NVIDIA RTX A4000,force,0.0,0.0,0.0,0.0,67.0,70.0,69.38,70.0,74.0,74.0,74.0,74.0,704.35,2634.32,2371.32,2634.32,4.3,16.09,14.48,16.09,0.0,72.0,56.0,66.5,
NVIDIA RTX A4000,hybrid,2387.0,2391.0,2389.38,2389.5,92.0,93.0,92.38,92.0,83.0,85.0,84.12,84.0,1530.14,3460.11,3197.11,3460.11,9.34,21.13,19.52,21.13,0.0,96.0,69.91,81.5,
Radeon RX Vega,combinator,1557.0,1560.0,1558.38,1558.0,23.0,91.0,81.62,89.0,74.0,74.0,74.0,74.0,5915.95,5915.95,5915.95,5915.95,36.3,36.3,36.3,36.3,0,0,0,0,
Radeon RX Vega,dict1,10.0,10.0,10.0,10.0,22.0,80.0,73.78,78.0,72.0,73.0,72.61,73.0,4904.27,4904.27,4904.27,4904.27,30.1,30.1,30.1,30.1,0,0,0,0,
