GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,716.0,717.0,716.5,716.5,94.0,95.0,94.25,94.0,63.0,63.0,63.0,63.0,2093.01,4089.05,3917.36,4040.12,18.58,36.3,34.78,35.87,2.0,95.0,75.59,79.0,
NVIDIA GeForce GTX 1080 Ti,dict1,4.0,4.0,4.0,4.0,83.0,85.0,84.0,84.0,58.0,58.0,58.0,58.0,1984.39,3868.54,3696.92,3861.04,17.62,34.34,32.82,34.28,2.0,84.0,72.0,80.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,79.0,76.28,76.0,45.0,45.0,45.0,45.0,2178.09,4089.01,3948.58,4055.39,19.34,36.3,35.05,36.0,3.0,88.0,74.0,81.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1156.0,1177.0,1162.89,1161.5,94.0,96.0,95.89,96.0,83.0,85.0,83.78,84.0,1143.48,3020.77,2910.36,3020.77,10.15,26.82,25.84,26.82,0.0,96.0,79.0,94.5,
NVIDIA GeForce GTX 1080 Ti,dict4,1145.0,1166.0,1152.0,1150.0,95.0,99.0,96.0,96.0,82.0,85.0,83.67,84.0,1143.66,3024.4,2913.89,3024.4,10.15,26.85,25.87,26.85,0.0,97.0,79.76,95.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,75.0,76.0,75.22,75.0,46.0,46.0,46.0,46.0,1142.16,3088.9,2933.32,3088.9,10.14,27.42,26.04,27.42,0.0,80.0,65.96,75.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,406.0,406.0,406.0,406.0,91.0,96.0,92.44,92.0,51.0,52.0,51.67,52.0,2169.95,4116.62,3883.34,4116.62,19.26,36.55,34.48,36.55,0.0,96.0,68.28,73.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1453.0,1494.0,1467.69,1465.0,89.0,90.0,89.23,89.0,86.0,89.0,87.38,87.0,327.78,2241.68,2088.6,2241.68,4.0,27.36,25.5,27.36,0.0,89.0,73.12,88.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,3.0,4.0,3.89,4.0,58.0,77.0,66.56,64.0,61.0,62.0,61.5,61.5,338.56,2186.46,2001.73,2186.46,4.13,26.69,24.44,26.69,0.0,80.0,65.03,75.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,57.0,77.0,66.12,67.0,61.0,62.0,61.35,61.0,338.56,2186.46,2002.0,2186.46,4.13,26.69,24.44,26.69,0.0,79.0,65.43,69.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,1401.0,1463.0,1421.33,1416.5,88.0,89.0,88.11,88.0,86.0,89.0,87.28,87.0,338.56,2186.46,2063.3,2186.46,4.13,26.69,25.19,26.69,0.0,89.0,75.23,88.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1362.0,1423.0,1381.72,1376.5,88.0,89.0,88.17,88.0,86.0,89.0,87.33,87.0,338.56,2186.46,2063.3,2186.46,4.13,26.69,25.19,26.69,0.0,89.0,74.83,88.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,57.0,60.0,58.75,59.0,62.0,62.0,62.0,62.0,338.56,2252.46,1979.14,2252.46,4.13,27.5,24.16,27.5,0.0,80.0,59.67,67.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1473.0,1499.0,1483.0,1481.0,89.0,89.0,89.0,89.0,85.0,87.0,85.89,86.0,338.56,2252.46,1979.14,2252.46,4.13,27.5,24.16,27.5,0.0,91.0,66.05,67.0,
NVIDIA GeForce RTX 3070,combinator,1534.0,1538.0,1535.92,1536.0,90.0,92.0,90.31,90.0,75.0,79.0,76.92,77.0,356.11,2320.07,2162.99,2320.07,4.35,28.32,26.4,28.32,0.0,89.0,70.8,86.0,
NVIDIA GeForce RTX 3070,dict1,11.0,12.0,11.89,12.0,54.0,80.0,60.0,56.0,59.0,60.0,59.78,60.0,356.11,2254.07,2126.24,2254.07,4.35,27.52,25.96,27.52,0.0,82.0,61.13,70.0,
NVIDIA GeForce RTX 3070,dict2,1.0,1.0,1.0,1.0,54.0,77.0,59.17,56.5,60.0,60.0,60.0,60.0,356.11,2254.07,2064.34,2254.07,4.35,27.52,25.2,27.52,0.0,82.0,62.0,70.0,
NVIDIA GeForce RTX 3070,dict3,1529.0,1531.0,1530.28,1530.5,90.0,91.0,90.11,90.0,76.0,80.0,78.11,78.0,356.11,2254.07,2064.34,2254.07,4.35,27.52,25.2,27.52,0.0,90.0,74.17,87.0,
NVIDIA GeForce RTX 3070,dict4,1530.0,1534.0,1532.18,1532.0,90.0,93.0,90.29,90.0,76.0,80.0,78.0,78.0,356.11,2254.07,2064.34,2254.07,4.35,27.52,25.2,27.52,0.0,90.0,74.47,87.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,55.0,67.0,58.25,57.0,59.0,59.0,59.0,59.0,356.11,2320.07,2039.6,2320.07,4.35,28.32,24.9,28.32,0.0,82.0,55.62,69.0,
NVIDIA GeForce RTX 3070,hybrid,1540.0,1541.0,1540.62,1541.0,90.0,90.0,90.0,90.0,73.0,75.0,74.38,74.5,495.88,2459.84,2179.37,2459.84,6.05,30.03,26.6,30.03,0.0,92.0,65.33,69.0,
NVIDIA GeForce RTX 3090,combinator,2501.0,2517.0,2506.15,2505.0,88.0,89.0,88.46,88.0,84.0,86.0,84.85,85.0,499.66,2594.33,2449.91,2594.33,2.03,10.56,9.97,10.56,0.0,88.0,69.03,81.0,
NVIDIA GeForce RTX 3090,dict1,11.0,14.0,12.61,13.0,50.0,80.0,58.67,51.0,73.0,74.0,73.89,74.0,499.22,2527.89,2408.87,2527.89,2.03,10.29,9.8,10.29,0.0,81.0,59.24,62.5,
NVIDIA GeForce RTX 3090,dict2,1.0,1.0,1.0,1.0,49.0,79.0,70.78,77.5,73.0,73.0,73.0,73.0,513.88,2542.55,2407.35,2542.55,2.09,10.35,9.8,10.35,0.0,79.0,59.13,66.0,
NVIDIA GeForce RTX 3090,dict3,2494.0,2498.0,2496.28,2497.0,90.0,92.0,90.94,91.0,84.0,86.0,85.22,85.0,539.17,2569.34,2488.34,2569.34,2.19,10.45,10.13,10.45,0.0,93.0,76.57,91.0,
NVIDIA GeForce RTX 3090,dict4,2506.0,2540.0,2514.44,2510.5,91.0,94.0,91.89,92.0,84.0,86.0,85.17,85.0,714.45,2741.98,2545.92,2741.79,2.91,11.16,10.36,11.16,0.0,93.0,73.29,91.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,49.0,78.0,54.5,50.0,73.0,73.0,73.0,73.0,702.18,2788.73,2499.66,2783.29,2.86,11.35,10.17,11.33,3.0,76.0,62.29,71.0,
NVIDIA GeForce RTX 3090,hybrid,2538.0,2542.0,2539.12,2539.0,89.0,90.0,89.12,89.0,82.0,83.0,82.5,82.5,569.23,2663.9,2486.93,2660.46,2.32,10.84,10.12,10.83,3.0,94.0,72.0,79.5,
NVIDIA RTX A4000,combinator,1301.0,1311.0,1305.31,1305.0,91.0,92.0,91.85,92.0,84.0,87.0,85.62,86.0,743.42,2717.39,2585.85,2717.39,4.54,16.59,15.79,16.59,0.0,91.0,72.8,78.0,
NVIDIA RTX A4000,dict1,7.0,7.0,7.0,7.0,55.0,62.0,57.39,57.0,74.0,74.0,74.0,74.0,743.42,2651.39,2542.42,2651.39,4.54,16.19,15.53,16.19,0.0,78.0,67.8,75.0,
NVIDIA RTX A4000,dict2,1.0,1.0,1.0,1.0,55.0,58.0,56.61,57.0,74.0,74.0,74.0,74.0,743.39,2651.36,2542.39,2651.36,4.54,16.19,15.53,16.19,0.0,78.0,60.37,63.0,
NVIDIA RTX A4000,dict3,1324.0,1337.0,1329.33,1329.0,87.0,91.0,90.56,91.0,86.0,89.0,87.72,88.0,794.57,2705.36,2565.44,2681.36,4.85,16.52,15.67,16.37,0.0,96.0,77.87,94.0,
NVIDIA RTX A4000,dict4,1275.0,1293.0,1284.33,1284.5,90.0,91.0,90.28,90.0,86.0,89.0,87.89,88.0,852.61,2760.77,2628.5,2752.2,5.21,16.86,16.05,16.81,0.0,97.0,76.29,94.0,
NVIDIA RTX A4000,force,0.0,0.0,0.0,0.0,55.0,61.0,58.38,60.0,74.0,74.0,74.0,74.0,704.35,2678.32,2450.7,2678.32,4.3,16.36,14.97,16.36,0.0,78.0,58.69,66.0,
NVIDIA RTX A4000,hybrid,1337.0,1345.0,1340.12,1339.5,91.0,92.0,91.25,91.0,84.0,86.0,85.12,85.0,1530.14,3504.11,3276.64,3504.11,9.34,21.4,20.01,21.4,0.0,100.0,72.5,77.0,
Radeon RX Vega,combinator,779.0,780.0,779.15,779.0,25.0,90.0,81.85,90.0,74.0,74.0,74.0,74.0,5568.78,5934.88,5909.75,5922.21,34.1,36.4,36.23,36.3,0,0,0,0,
Radeon RX Vega,dict1,5.0,6.0,5.94,6.0,12.0,75.0,67.67,73.5,72.0,73.0,72.44,72.0,4562.36,4920.23,4896.59,4909.99,28.0,30.2,30.03,30.1,0,0,0,0,
Radeon RX Vega,dict2,0.0,0.0,0.0,0.0,16.0,76.0,69.06,74.0,74.0,74.0,74.0,74.0,4558.53,4913.84,4889.83,4903.46,27.9,30.1,29.98,30.1,0,0,0,0,
Radeon RX Vega,dict3,780.0,782.0,780.29,780.0,23.0,91.0,84.18,90.0,74.0,75.0,74.24,74.0,7637.99,8047.59,8001.96,8024.63,46.8,49.3,49.05,49.15,0,0,0,0,
Radeon RX Vega,dict4,779.0,781.0,779.5,779.0,20.0,91.0,84.33,90.0,74.0,75.0,74.5,74.5,7766.97,8179.74,8138.58,8158.13,47.6,50.1,49.89,50.05,0,0,0,0,
Radeon RX Vega,force,0.0,0.0,0.0,0.0,28.0,84.0,71.5,77.0,72.0,73.0,72.62,73.0,7561.38,8295.09,8174.26,8184.76,46.4,50.9,50.09,50.2,0,0,0,0,
Radeon RX Vega,hybrid,781.0,782.0,781.5,781.5,25.0,91.0,77.12,90.0,73.0,73.0,73.0,73.0,8942.57,9629.45,9521.01,9538.58,54.8,59.0,58.37,58.5,0,0,0,0,
