GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,492.0,493.0,492.62,493.0,92.0,96.0,93.25,93.0,62.0,63.0,62.75,63.0,2093.41,4070.05,3948.51,4066.05,18.58,36.13,35.05,36.1,2.0,96.0,79.39,80.0,
NVIDIA GeForce GTX 1080 Ti,dict1,4.0,4.0,4.0,4.0,77.0,80.0,77.78,78.0,57.0,58.0,57.33,57.0,1971.82,3886.22,3733.93,3882.47,17.51,34.5,33.15,34.47,2.0,87.0,74.03,81.5,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,81.0,84.0,81.56,81.0,45.0,45.0,45.0,45.0,2180.64,4091.75,3939.23,4091.56,19.36,36.33,34.97,36.32,1.0,89.0,75.18,81.5,
NVIDIA GeForce GTX 1080 Ti,dict3,702.0,711.0,705.06,704.0,94.0,96.0,94.11,94.0,81.0,86.0,83.56,84.0,1133.38,3044.02,2891.97,3044.02,10.06,27.02,25.67,27.02,0.0,94.0,77.63,85.5,
NVIDIA GeForce GTX 1080 Ti,dict4,703.0,710.0,705.67,705.0,94.0,97.0,94.17,94.0,81.0,85.0,83.44,83.0,1145.73,3058.96,2906.47,3058.96,10.17,27.16,25.8,27.16,0.0,97.0,79.63,93.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,81.0,82.0,81.33,81.0,46.0,46.0,46.0,46.0,1140.73,3121.15,2921.36,3117.15,10.13,27.71,25.94,27.67,0.0,86.0,67.9,78.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,280.0,280.0,280.0,280.0,94.0,99.0,94.75,94.0,52.0,52.0,52.0,52.0,2173.66,4150.31,3943.9,4146.31,19.3,36.85,35.01,36.81,0.0,95.0,72.14,77.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1101.0,1138.0,1114.31,1111.0,92.0,93.0,92.92,93.0,86.0,89.0,86.92,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,9.0,9.0,9.0,9.0,66.0,73.0,69.39,70.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,69.0,71.0,69.83,70.0,61.0,62.0,61.5,61.5,,,,,,,,,,,,,
