GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,995.0,998.0,996.62,997.0,94.0,94.0,94.0,94.0,62.0,63.0,62.75,63.0,2027.09,3934.64,3796.52,3931.45,18.0,34.93,33.7,34.9,1.0,96.0,71.96,69.0,
NVIDIA GeForce GTX 1080 Ti,dict1,8.0,8.0,8.0,8.0,72.0,86.0,75.44,73.5,59.0,60.0,59.56,60.0,2016.66,3857.58,3695.17,3857.58,17.9,34.25,32.81,34.25,0.0,80.0,65.5,78.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,79.0,76.28,76.0,51.0,51.0,51.0,51.0,2218.72,4078.21,3925.57,4032.43,19.7,36.21,34.85,35.8,1.0,96.0,72.33,83.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1488.0,1521.0,1498.5,1497.0,96.0,97.0,96.11,96.0,82.0,86.0,83.67,84.0,1144.91,2987.59,2879.26,2987.59,10.16,26.52,25.56,26.52,0.0,96.0,75.18,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1488.0,1515.0,1497.39,1495.5,96.0,97.0,96.11,96.0,83.0,86.0,83.72,84.0,1143.31,2983.96,2875.8,2983.96,10.15,26.49,25.53,26.49,0.0,96.0,75.47,95.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,75.0,76.0,75.62,76.0,52.0,53.0,52.75,53.0,1144.91,3052.9,2832.85,3052.9,10.16,27.1,25.15,27.1,0.0,84.0,60.38,63.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,491.0,492.0,491.62,492.0,92.0,93.0,92.12,92.0,56.0,56.0,56.0,56.0,1146.25,3753.05,2356.21,1943.99,10.18,33.32,20.92,17.26,0.0,97.0,32.55,4.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1853.0,1914.0,1875.91,1871.0,91.0,91.0,91.0,91.0,85.0,91.0,88.45,88.0,327.78,2213.68,1133.97,445.68,4.0,27.02,13.84,5.44,0.0,89.0,30.89,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,5.0,5.0,5.0,5.0,57.0,77.0,71.94,75.0,61.0,61.0,61.0,61.0,327.78,2147.68,1245.09,445.68,4.0,26.22,15.2,5.44,0.0,78.0,29.29,0.5,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,57.0,76.0,65.71,64.0,62.0,62.0,62.0,62.0,338.56,2158.46,1970.26,2158.46,4.13,26.35,24.05,26.35,0.0,79.0,62.52,74.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1679.0,1747.0,1700.06,1694.0,88.0,89.0,88.35,88.0,86.0,89.0,87.41,87.0,338.56,2158.46,1970.57,2158.46,4.13,26.35,24.05,26.35,0.0,89.0,72.41,88.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1661.0,1727.0,1682.82,1677.0,88.0,89.0,88.76,89.0,86.0,89.0,87.12,87.0,338.56,2158.46,1970.26,2158.46,4.13,26.35,24.05,26.35,0.0,91.0,75.72,90.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,58.0,76.0,69.88,72.0,62.0,62.0,62.0,62.0,338.56,2224.46,1088.47,456.46,4.13,27.15,13.29,5.57,0.0,78.0,24.77,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1881.0,1911.0,1893.25,1892.0,90.0,91.0,90.88,91.0,86.0,88.0,86.62,86.5,338.56,2224.46,1038.9,456.46,4.13,27.15,12.68,5.57,0.0,89.0,25.04,0.0,
NVIDIA GeForce RTX 3070,combinator,1873.0,1879.0,1875.92,1876.0,91.0,91.0,91.0,91.0,78.0,81.0,80.0,80.0,356.11,2278.07,2110.99,2278.07,4.35,27.81,25.77,27.81,0.0,90.0,71.7,88.0,
NVIDIA GeForce RTX 3070,dict1,25.0,25.0,25.0,25.0,65.0,76.0,71.22,71.0,61.0,61.0,61.0,61.0,356.11,2212.07,1293.27,510.07,4.35,27.0,15.79,6.23,0.0,76.0,31.64,0.0,
NVIDIA GeForce RTX 3070,dict2,2.0,2.0,2.0,2.0,51.0,76.0,70.18,71.0,60.0,60.0,60.0,60.0,356.11,2212.07,2074.63,2212.07,4.35,27.0,25.33,27.0,0.0,76.0,64.59,73.0,
NVIDIA GeForce RTX 3070,dict3,1828.0,1836.0,1834.61,1835.5,90.0,91.0,90.94,91.0,79.0,83.0,81.44,81.5,356.11,2212.07,2013.29,2212.07,4.35,27.0,24.58,27.0,0.0,91.0,72.71,88.0,
NVIDIA GeForce RTX 3070,dict4,1863.0,1869.0,1866.94,1868.0,88.0,92.0,90.78,91.0,80.0,83.0,81.78,82.0,356.11,2212.07,2013.29,2212.07,4.35,27.0,24.58,27.0,0.0,91.0,71.79,88.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,67.0,73.0,70.75,70.5,59.0,59.0,59.0,59.0,356.11,2278.07,1118.35,510.07,4.35,27.81,13.65,6.23,0.0,77.0,22.54,0.0,
NVIDIA GeForce RTX 3070,hybrid,1863.0,1875.0,1871.12,1872.0,91.0,91.0,91.0,91.0,76.0,78.0,77.38,77.5,495.0,2416.96,1194.61,648.96,6.04,29.5,14.58,7.92,0.0,92.0,23.55,0.0,
NVIDIA GeForce RTX 3090,combinator,3100.0,3147.0,3118.69,3116.0,89.0,89.0,89.0,89.0,86.0,87.0,86.69,87.0,499.66,2524.33,2271.36,2524.33,2.03,10.27,9.24,10.27,0.0,96.0,72.25,94.0,
NVIDIA GeForce RTX 3090,dict1,24.0,24.0,24.0,24.0,72.0,79.0,72.83,72.0,74.0,74.0,74.0,74.0,499.91,2458.58,2318.72,2458.58,2.03,10.0,9.43,10.0,0.0,81.0,57.79,62.0,
NVIDIA GeForce RTX 3090,dict2,2.0,2.0,2.0,2.0,72.0,74.0,72.22,72.0,74.0,74.0,74.0,74.0,499.91,2458.58,2318.72,2458.58,2.03,10.0,9.43,10.0,0.0,74.0,58.5,65.0,
NVIDIA GeForce RTX 3090,dict3,3062.0,3090.0,3076.17,3076.5,92.0,93.0,92.28,92.0,86.0,86.0,86.0,86.0,539.17,2499.34,2359.43,2499.34,2.19,10.17,9.6,10.17,0.0,94.0,76.29,92.0,
NVIDIA GeForce RTX 3090,dict4,3070.0,3090.0,3081.06,3083.0,91.0,94.0,92.5,92.0,85.0,86.0,85.78,86.0,1066.59,3025.27,2885.41,3025.27,4.34,12.31,11.74,12.31,0.0,94.0,76.21,92.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,71.0,73.0,71.75,71.5,72.0,72.0,72.0,72.0,677.09,2701.76,1567.57,933.76,2.76,10.99,6.38,3.8,3.0,87.0,31.65,17.0,
NVIDIA GeForce RTX 3090,hybrid,3164.0,3169.0,3167.5,3168.0,88.0,89.0,88.88,89.0,84.0,85.0,84.62,85.0,555.49,2580.16,2377.59,2580.16,2.26,10.5,9.67,10.5,3.0,94.0,70.5,78.5,
NVIDIA RTX A4000,combinator,1623.0,1642.0,1634.46,1637.0,90.0,91.0,90.54,91.0,86.0,89.0,87.77,88.0,743.42,2673.39,1827.46,2673.39,4.54,16.33,11.16,16.33,0.0,95.0,39.96,58.0,
NVIDIA RTX A4000,dict1,14.0,15.0,14.56,15.0,49.0,73.0,69.61,71.0,74.0,74.0,74.0,74.0,743.42,2607.39,2487.19,2607.39,4.54,15.92,15.19,15.92,0.0,73.0,61.35,70.0,
NVIDIA RTX A4000,dict2,1.0,2.0,1.94,2.0,67.0,71.0,70.78,71.0,74.0,74.0,74.0,74.0,743.39,2607.36,2483.16,2607.36,4.54,15.92,15.16,15.92,0.0,74.0,61.0,69.0,
NVIDIA RTX A4000,dict3,1652.0,1703.0,1675.71,1674.0,91.0,92.0,91.12,91.0,87.0,91.0,89.29,89.0,781.41,2711.25,1731.14,990.53,4.77,16.56,10.57,6.05,0.0,97.0,39.03,11.0,
NVIDIA RTX A4000,dict4,1649.0,1688.0,1667.87,1666.0,91.0,92.0,91.33,91.0,88.0,91.0,89.4,89.0,839.39,2736.33,2533.22,2717.16,5.13,16.71,15.47,16.59,0.0,96.0,73.27,94.0,
NVIDIA RTX A4000,force,0.0,0.0,0.0,0.0,48.0,71.0,67.88,71.0,73.0,73.0,73.0,73.0,743.73,2675.01,1712.51,905.7,4.54,16.33,10.46,5.53,0.0,72.0,29.52,0.0,
NVIDIA RTX A4000,hybrid,1682.0,1688.0,1686.0,1686.0,91.0,92.0,91.25,91.0,86.0,88.0,87.12,87.0,1428.23,3362.2,2433.25,1590.2,8.72,20.53,14.86,9.71,1.0,96.0,37.96,6.0,
Radeon RX Vega,combinator,1272.0,1272.0,1272.0,1272.0,26.0,92.0,83.08,92.0,68.0,69.0,68.17,68.0,5544.89,5916.4,5891.34,5910.88,34.0,36.3,36.12,36.2,0,0,0,0,
Radeon RX Vega,dict1,8.0,8.0,8.0,8.0,13.0,74.0,67.0,73.0,64.0,67.0,65.0,65.0,4508.56,4869.5,4845.64,4860.15,27.6,29.9,29.69,29.8,0,0,0,0,
Radeon RX Vega,dict2,0.0,0.0,0.0,0.0,11.0,76.0,67.39,72.0,73.0,73.0,73.0,73.0,4531.8,4904.54,4881.66,4898.31,27.8,30.1,29.94,30.0,0,0,0,0,
Radeon RX Vega,dict3,1263.0,1265.0,1263.5,1263.0,23.0,93.0,85.94,92.0,71.0,72.0,71.94,72.0,7800.62,8229.62,8171.53,8185.45,47.8,50.4,50.08,50.15,0,0,0,0,
Radeon RX Vega,dict4,1263.0,1265.0,1263.39,1263.0,22.0,92.0,85.22,91.0,72.0,72.0,72.0,72.0,6567.19,6928.54,6895.63,6916.04,40.3,42.5,42.28,42.4,0,0,0,0,
Radeon RX Vega,force,0.0,0.0,0.0,0.0,24.0,81.0,70.5,76.5,65.0,67.0,66.25,66.0,8093.23,8997.66,8764.22,8715.27,49.6,55.2,53.72,53.4,0,0,0,0,
Radeon RX Vega,hybrid,1267.0,1268.0,1267.75,1268.0,25.0,93.0,79.25,92.0,70.0,70.0,70.0,70.0,9139.35,9955.71,9725.15,9738.14,56.0,61.0,59.61,59.7,0,0,0,0,
