GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,431.0,431.0,431.0,431.0,95.0,97.0,95.25,95.0,61.0,61.0,61.0,61.0,2027.03,3966.64,3856.83,3963.45,18.0,35.22,34.24,35.19,1.0,96.0,77.11,75.0,
NVIDIA GeForce GTX 1080 Ti,dict1,4.0,4.0,4.0,4.0,73.0,89.0,84.67,85.0,57.0,58.0,57.67,58.0,2006.0,3878.64,3742.04,3878.64,17.81,34.43,33.22,34.43,0.0,90.0,69.1,75.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,76.0,78.0,76.89,77.0,50.0,51.0,50.72,51.0,2191.29,4097.12,3924.13,4056.75,19.45,36.37,34.84,36.02,1.0,88.0,72.07,77.0,
NVIDIA GeForce GTX 1080 Ti,dict3,737.0,753.0,742.5,741.5,96.0,98.0,96.11,96.0,82.0,85.0,83.56,83.0,1146.29,3014.96,2923.81,3014.96,10.18,26.77,25.96,26.77,0.0,96.0,78.66,75.0,
NVIDIA GeForce GTX 1080 Ti,dict4,737.0,754.0,741.89,741.0,95.0,97.0,96.0,96.0,82.0,85.0,83.72,84.0,1140.73,3015.96,2924.55,3015.96,10.13,26.78,25.96,26.78,0.0,97.0,78.61,75.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,75.0,77.0,75.67,76.0,52.0,52.0,52.0,52.0,1141.81,3080.46,2959.41,3080.46,10.14,27.35,26.27,27.35,0.0,83.0,68.91,73.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,244.0,245.0,244.78,245.0,92.0,95.0,92.33,92.0,56.0,56.0,56.0,56.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,927.0,957.0,938.08,935.0,91.0,92.0,91.08,91.0,86.0,89.0,87.46,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,2.0,3.0,2.72,3.0,57.0,76.0,72.22,74.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,56.0,77.0,67.11,66.5,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,876.0,916.0,888.33,885.0,90.0,90.0,90.0,90.0,87.0,88.0,87.17,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,922.0,922.0,922.0,922.0,90.0,90.0,90.0,90.0,91.0,91.0,91.0,91.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,55.0,67.0,60.25,59.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,908.0,926.0,914.62,913.0,89.0,90.0,89.88,90.0,86.0,89.0,87.12,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,934.0,935.0,934.46,934.0,90.0,92.0,90.92,91.0,78.0,81.0,79.85,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,12.0,12.0,12.0,12.0,68.0,74.0,70.39,70.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,1.0,1.0,1.0,1.0,49.0,77.0,69.39,71.0,60.0,61.0,60.33,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,932.0,937.0,934.06,934.0,90.0,91.0,90.83,91.0,79.0,83.0,80.94,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,932.0,938.0,934.89,935.0,90.0,92.0,91.0,91.0,79.0,83.0,81.28,81.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,68.0,72.0,69.88,70.5,59.0,59.0,59.0,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,940.0,942.0,940.88,941.0,90.0,94.0,91.25,91.0,76.0,78.0,77.38,77.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,1444.0,1466.0,1453.85,1453.0,89.0,90.0,89.69,90.0,86.0,87.0,86.23,86.0,499.66,2586.33,2390.79,2586.33,2.03,10.52,9.73,10.52,0.0,88.0,72.62,81.0,
NVIDIA GeForce RTX 3090,dict1,10.0,10.0,10.0,10.0,57.0,64.0,58.17,57.5,74.0,74.0,74.0,74.0,499.91,2520.58,2356.81,2520.58,2.03,10.26,9.59,10.26,0.0,80.0,67.81,77.0,
NVIDIA GeForce RTX 3090,dict2,1.0,1.0,1.0,1.0,57.0,78.0,59.44,58.0,74.0,74.0,74.0,74.0,499.91,2520.58,2352.26,2520.58,2.03,10.26,9.57,10.26,0.0,80.0,61.25,66.0,
NVIDIA GeForce RTX 3090,dict3,1453.0,1477.0,1463.83,1463.5,90.0,95.0,93.44,93.0,85.0,86.0,85.83,86.0,540.61,2561.34,2377.73,2561.34,2.2,10.42,9.67,10.42,0.0,95.0,75.73,93.0,
NVIDIA GeForce RTX 3090,dict4,1462.0,1476.0,1468.47,1468.0,92.0,95.0,93.35,93.0,84.0,86.0,85.41,85.0,1066.59,3087.27,2897.91,3087.27,4.34,12.56,11.79,12.56,0.0,94.0,73.84,92.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,57.0,68.0,59.75,59.0,72.0,72.0,72.0,72.0,677.09,2763.76,1310.94,933.76,2.76,11.25,5.33,3.8,2.0,81.0,24.71,15.0,
NVIDIA GeForce RTX 3090,hybrid,1512.0,1514.0,1512.75,1512.5,90.0,92.0,90.62,90.5,84.0,85.0,84.62,85.0,554.99,2641.66,2425.89,2641.66,2.26,10.75,9.87,10.75,3.0,94.0,70.24,79.0,
NVIDIA RTX A4000,combinator,841.0,846.0,843.23,843.0,87.0,92.0,90.77,91.0,85.0,88.0,87.0,87.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict1,11.0,12.0,11.67,12.0,49.0,72.0,69.83,71.0,74.0,74.0,74.0,74.0,743.42,2645.39,2502.84,2645.39,4.54,16.15,15.28,16.15,0.0,74.0,62.05,70.0,
NVIDIA RTX A4000,dict2,1.0,1.0,1.0,1.0,48.0,71.0,69.56,71.0,74.0,74.0,74.0,74.0,743.39,2645.36,2547.87,2645.36,4.54,16.15,15.56,16.15,0.0,74.0,63.95,71.0,
NVIDIA RTX A4000,dict3,825.0,845.0,835.44,837.0,90.0,91.0,90.94,91.0,87.0,90.0,88.83,89.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict4,827.0,846.0,836.67,837.5,91.0,92.0,91.22,91.0,87.0,91.0,89.11,89.0,,,,,,,,,,,,,
NVIDIA RTX A4000,force,0.0,0.0,0.0,0.0,70.0,71.0,70.75,71.0,73.0,73.0,73.0,73.0,,,,,,,,,,,,,
NVIDIA RTX A4000,hybrid,848.0,852.0,849.88,850.0,91.0,92.0,91.25,91.0,86.0,87.0,86.5,86.5,,,,,,,,,,,,,
Radeon RX Vega,combinator,633.0,634.0,633.17,633.0,27.0,94.0,83.67,92.0,66.0,68.0,67.75,68.0,5563.64,5913.8,5890.89,5891.66,34.1,36.3,36.12,36.1,0,0,0,0,
Radeon RX Vega,dict1,4.0,4.0,4.0,4.0,13.0,77.0,67.12,72.0,63.0,67.0,64.88,65.0,4511.27,4887.08,4853.38,4850.48,27.7,30.0,29.75,29.7,0,0,0,0,
Radeon RX Vega,dict2,0.0,0.0,0.0,0.0,17.0,76.0,68.61,73.0,73.0,73.0,73.0,73.0,4547.78,4927.16,4886.48,4886.21,27.9,30.2,29.95,30.0,0,0,0,0,
Radeon RX Vega,dict3,627.0,628.0,627.12,627.0,23.0,94.0,85.47,92.0,71.0,72.0,71.94,72.0,7699.93,8077.49,8028.11,8042.51,47.2,49.5,49.21,49.3,0,0,0,0,
