GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,933.0,952.0,939.25,937.5,94.0,96.0,94.5,94.0,62.0,63.0,62.88,63.0,2023.09,3933.01,3798.27,3928.89,17.96,34.92,33.72,34.88,1.0,96.0,72.76,67.0,
NVIDIA GeForce GTX 1080 Ti,dict1,8.0,8.0,8.0,8.0,71.0,81.0,75.56,76.0,57.0,58.0,57.39,57.0,2016.29,3857.58,3695.15,3857.58,17.9,34.25,32.8,34.25,1.0,80.0,66.71,78.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,81.0,76.22,76.0,51.0,51.0,51.0,51.0,2226.26,4138.07,3907.41,4056.19,19.76,36.74,34.69,36.01,0.0,89.0,70.18,83.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1486.0,1517.0,1495.72,1494.0,96.0,96.0,96.0,96.0,82.0,86.0,83.83,84.0,1145.66,2986.71,2878.21,2986.46,10.17,26.52,25.55,26.51,0.0,96.0,75.18,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1486.0,1512.0,1494.47,1493.0,95.0,96.0,95.88,96.0,82.0,85.0,83.53,84.0,1140.73,2983.96,2875.61,2983.96,10.13,26.49,25.53,26.49,0.0,96.0,75.56,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,75.0,76.0,75.5,75.5,52.0,52.0,52.0,52.0,1141.1,3048.46,2819.63,3048.46,10.13,27.06,25.03,27.06,0.0,83.0,59.6,63.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,491.0,492.0,491.62,492.0,91.0,93.0,92.0,92.0,56.0,57.0,56.25,56.0,1974.0,3881.11,3652.27,3881.05,17.52,34.46,32.42,34.46,1.0,96.0,65.48,64.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1861.0,1924.0,1882.92,1877.0,90.0,91.0,90.92,91.0,86.0,90.0,87.46,87.0,327.78,327.78,327.78,327.78,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,5.0,6.0,5.39,5.0,60.0,76.0,69.11,67.5,61.0,61.0,61.0,61.0,338.62,2158.52,2028.86,2158.52,4.13,26.35,24.77,26.35,0.0,79.0,66.93,76.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,57.0,76.0,64.89,63.0,61.0,62.0,61.33,61.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
