GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,276.0,277.0,276.75,277.0,93.0,94.0,93.38,93.0,62.0,62.0,62.0,62.0,2021.59,3990.89,3853.59,3986.2,17.95,35.43,34.21,35.39,1.0,96.0,76.52,79.0,
NVIDIA GeForce GTX 1080 Ti,dict1,2.0,3.0,2.5,2.5,78.0,79.0,78.11,78.0,61.0,61.0,61.0,61.0,2010.87,3913.52,3791.66,3907.52,17.85,34.74,33.66,34.69,1.0,96.0,75.77,78.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,81.0,83.0,81.72,82.0,50.0,51.0,50.06,50.0,2178.91,4082.68,3963.12,4077.25,19.34,36.25,35.18,36.2,4.0,89.0,77.92,83.0,
NVIDIA GeForce GTX 1080 Ti,dict3,424.0,432.0,426.82,426.0,95.0,96.0,95.06,95.0,81.0,84.0,83.24,83.0,1144.12,3046.77,2922.45,3035.52,10.16,27.05,25.95,26.95,0.0,96.0,79.94,78.0,
NVIDIA GeForce GTX 1080 Ti,dict4,425.0,432.0,427.78,427.5,95.0,96.0,95.11,95.0,82.0,85.0,83.67,84.0,1147.75,3050.4,2928.37,3044.4,10.19,27.08,26.0,27.03,0.0,96.0,79.83,78.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,81.0,82.0,81.67,82.0,52.0,52.0,52.0,52.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,170.0,170.0,170.0,170.0,94.0,97.0,94.75,94.0,56.0,57.0,56.88,57.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,647.0,663.0,652.86,651.0,94.0,94.0,94.0,94.0,86.0,91.0,87.86,87.0,336.73,336.73,336.73,336.73,4.11,4.11,4.11,4.11,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,5.0,5.0,5.0,5.0,64.0,79.0,65.67,65.0,61.0,62.0,61.89,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,64.0,71.0,65.89,66.0,61.0,62.0,61.33,61.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
