GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,1003.0,1005.0,1004.5,1005.0,90.0,94.0,93.5,94.0,63.0,64.0,63.88,64.0,2021.59,3931.51,3739.09,3928.82,17.95,34.9,33.2,34.88,1.0,96.0,70.47,67.5,
NVIDIA GeForce GTX 1080 Ti,dict1,8.0,8.0,8.0,8.0,71.0,72.0,71.72,72.0,59.0,60.0,59.17,59.0,2016.29,3860.33,3696.77,3860.33,17.9,34.27,32.82,34.27,1.0,82.0,65.06,78.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,79.0,76.17,76.0,50.0,51.0,50.39,50.0,2179.2,4020.56,3857.98,4020.37,19.35,35.69,34.25,35.69,3.0,86.0,71.0,84.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1487.0,1519.0,1497.0,1494.5,95.0,96.0,95.94,96.0,82.0,86.0,83.78,84.0,1146.41,2989.21,2877.59,2989.21,10.18,26.54,25.55,26.54,0.0,96.0,74.39,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1486.0,1517.0,1496.06,1493.0,96.0,96.0,96.0,96.0,82.0,86.0,83.72,83.5,1145.73,2988.96,2877.25,2988.96,10.17,26.54,25.54,26.54,0.0,96.0,74.24,95.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,75.0,76.0,75.62,76.0,52.0,52.0,52.0,52.0,1139.23,3046.52,2826.5,3046.52,10.11,27.05,25.09,27.05,0.0,83.0,59.58,62.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,491.0,492.0,491.78,492.0,92.0,93.0,92.22,92.0,57.0,57.0,57.0,57.0,2061.91,3968.55,3740.46,3968.55,18.31,35.23,33.21,35.23,2.0,96.0,65.56,64.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1781.0,1843.0,1803.62,1799.0,90.0,90.0,90.0,90.0,86.0,89.0,87.23,87.0,327.78,2213.68,2056.56,2213.68,4.0,27.02,25.1,27.02,1.0,89.0,71.71,88.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,16.0,17.0,16.33,16.0,55.0,76.0,64.39,60.0,61.0,62.0,61.39,61.0,338.56,2158.46,1970.26,2158.46,4.13,26.35,24.05,26.35,0.0,79.0,61.28,66.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,57.0,74.0,63.82,61.0,61.0,62.0,61.47,61.0,338.56,2158.46,2028.5,2158.46,4.13,26.35,24.76,26.35,0.0,80.0,68.71,77.0,
