GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,851.0,852.0,851.88,852.0,96.0,99.0,96.38,96.0,63.0,64.0,63.38,63.0,2084.78,4053.43,3848.28,4053.43,18.51,35.99,34.16,35.99,2.0,97.0,77.24,92.0,
NVIDIA GeForce GTX 1080 Ti,dict1,7.0,7.0,7.0,7.0,79.0,80.0,79.61,80.0,59.0,60.0,59.61,60.0,2008.26,3942.29,3740.09,3911.85,17.83,35.0,33.2,34.73,0.0,96.0,70.91,79.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,78.0,83.0,82.17,82.0,46.0,46.0,46.0,46.0,2178.76,4092.81,3969.31,4092.81,19.34,36.34,35.24,36.34,3.0,90.0,78.19,87.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1063.0,1079.0,1068.11,1066.5,95.0,96.0,95.22,95.0,82.0,85.0,83.56,83.5,1145.81,3048.46,2873.83,3048.46,10.17,27.06,25.51,27.06,0.0,97.0,80.97,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1065.0,1083.0,1070.39,1069.0,90.0,96.0,94.94,95.0,82.0,85.0,83.44,83.5,1144.04,3050.71,2875.8,3050.71,10.16,27.08,25.53,27.08,0.0,96.0,79.76,95.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,82.0,83.0,82.33,82.0,47.0,47.0,47.0,47.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,415.0,416.0,415.33,415.0,94.0,96.0,95.11,95.0,53.0,54.0,53.44,53.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,1432.0,1477.0,1447.38,1444.0,89.0,90.0,89.62,90.0,86.0,90.0,87.38,87.0,327.78,327.78,327.78,327.78,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,9.0,9.0,9.0,9.0,64.0,66.0,64.56,64.0,61.0,62.0,61.06,61.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,64.0,73.0,64.95,64.0,61.0,62.0,61.05,61.0,456.46,456.46,456.46,456.46,5.57,5.57,5.57,5.57,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1344.0,1394.0,1359.89,1356.0,87.0,88.0,87.78,88.0,87.0,88.0,87.33,87.0,341.51,341.51,341.51,341.51,4.17,4.17,4.17,4.17,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1337.0,1390.0,1353.33,1348.0,87.0,88.0,87.78,88.0,87.0,88.0,87.28,87.0,349.51,349.51,349.51,349.51,4.27,4.27,4.27,4.27,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,65.0,78.0,69.25,68.0,61.0,61.0,61.0,61.0,456.46,456.46,456.46,456.46,5.57,5.57,5.57,5.57,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1462.0,1485.0,1471.0,1469.5,89.0,90.0,89.12,89.0,85.0,87.0,85.88,86.0,455.51,455.51,455.51,455.51,5.56,5.56,5.56,5.56,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,1516.0,1518.0,1516.46,1516.0,88.0,88.0,88.0,88.0,79.0,82.0,80.38,80.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,18.0,18.0,18.0,18.0,57.0,81.0,60.83,58.5,60.0,60.0,60.0,60.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,1.0,2.0,1.61,2.0,57.0,81.0,62.44,59.0,60.0,61.0,60.67,61.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,1514.0,1518.0,1515.5,1515.0,88.0,89.0,88.11,88.0,80.0,83.0,81.39,81.5,510.07,510.07,510.07,510.07,6.23,6.23,6.23,6.23,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,1514.0,1516.0,1515.06,1515.0,88.0,91.0,88.17,88.0,79.0,82.0,81.11,81.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,57.0,79.0,65.75,61.0,60.0,60.0,60.0,60.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,1509.0,1517.0,1514.5,1515.5,88.0,88.0,88.0,88.0,76.0,78.0,77.25,77.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,2389.0,2394.0,2391.69,2392.0,87.0,87.0,87.0,87.0,85.0,86.0,85.77,86.0,499.66,2680.33,2405.77,2680.33,2.03,10.91,9.79,10.91,0.0,95.0,73.12,92.0,
NVIDIA GeForce RTX 3090,dict1,15.0,17.0,16.35,17.0,51.0,79.0,58.0,52.0,74.0,74.0,74.0,74.0,499.22,2613.89,2400.25,2613.89,2.03,10.64,9.77,10.64,0.0,76.0,63.39,70.0,
NVIDIA GeForce RTX 3090,dict2,1.0,1.0,1.0,1.0,51.0,79.0,57.39,52.0,74.0,74.0,74.0,74.0,513.88,2628.55,2470.1,2628.55,2.09,10.7,10.05,10.7,0.0,79.0,56.07,60.0,
