GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2546.0,2596.0,2561.62,2556.0,94.0,94.0,94.0,94.0,63.0,64.0,63.25,63.0,2092.76,4004.55,3744.32,4004.55,18.58,35.55,33.24,35.55,2.0,96.0,71.91,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,21.0,21.0,21.0,21.0,72.0,73.0,72.22,72.0,58.0,59.0,58.72,59.0,1975.18,3885.35,3649.7,3853.04,17.54,34.49,32.4,34.21,0.0,88.0,68.54,80.5,
NVIDIA GeForce GTX 1080 Ti,dict2,1.0,1.0,1.0,1.0,76.0,79.0,77.11,77.0,45.0,46.0,45.94,46.0,2188.85,4030.62,3833.28,4030.62,19.43,35.78,34.03,35.78,3.0,88.0,68.82,84.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3735.0,3799.0,3755.61,3751.0,96.0,96.0,96.0,96.0,82.0,86.0,83.72,84.0,1143.66,2986.46,2789.17,2986.46,10.15,26.51,24.76,26.51,0.0,96.0,75.93,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,3721.0,3793.0,3744.06,3741.0,86.0,96.0,95.35,96.0,82.0,87.0,83.94,84.0,1145.73,2988.96,2791.66,2988.96,10.17,26.54,24.78,26.54,0.0,96.0,76.36,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,73.0,78.0,76.88,77.0,46.0,47.0,46.75,47.0,1139.66,3048.46,2730.57,3048.46,10.12,27.06,24.24,27.06,0.0,83.0,58.61,74.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1199.0,1200.0,1199.75,1200.0,92.0,93.0,92.62,93.0,52.0,53.0,52.25,52.0,2169.57,4080.31,3762.31,4080.31,19.26,36.22,33.4,36.22,0.0,97.0,66.56,81.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,4703.0,4883.0,4765.08,4751.0,90.0,91.0,90.69,91.0,86.0,90.0,87.23,87.0,328.73,328.73,328.73,328.73,4.01,4.01,4.01,4.01,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,40.0,46.0,44.89,45.0,57.0,76.0,71.28,75.0,61.0,62.0,61.67,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,4.0,4.0,4.0,4.0,57.0,76.0,66.22,63.0,61.0,62.0,61.39,61.0,355.51,355.51,355.51,355.51,4.34,4.34,4.34,4.34,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,4252.0,4389.0,4289.22,4275.0,88.0,89.0,88.72,89.0,86.0,88.0,87.17,87.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,4432.0,4590.0,4471.28,4455.0,90.0,90.0,90.0,90.0,87.0,90.0,87.33,87.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,57.0,70.0,60.62,58.5,61.0,61.0,61.0,61.0,377.51,377.51,377.51,377.51,4.61,4.61,4.61,4.61,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,4797.0,4909.0,4835.25,4821.0,89.0,91.0,90.25,90.0,85.0,88.0,86.5,86.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,4688.0,4704.0,4695.46,4696.0,91.0,91.0,91.0,91.0,78.0,81.0,79.77,80.0,365.09,365.09,365.09,365.09,4.46,4.46,4.46,4.46,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,61.0,62.0,61.64,62.0,68.0,75.0,71.57,71.0,60.0,60.0,60.0,60.0,356.11,2212.07,1989.43,2212.07,4.35,27.0,24.29,27.0,0.0,76.0,62.56,76.0,
NVIDIA GeForce RTX 3070,dict2,5.0,6.0,5.72,6.0,49.0,74.0,70.89,72.5,60.0,60.0,60.0,60.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,dict3,4682.0,4713.0,4689.61,4690.0,90.0,92.0,91.0,91.0,79.0,82.0,80.61,80.5,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,4676.0,4710.0,4683.0,4679.0,90.0,92.0,90.94,91.0,79.0,82.0,80.67,81.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,69.0,73.0,70.78,71.0,60.0,60.0,60.0,60.0,509.09,509.09,509.09,509.09,6.21,6.21,6.21,6.21,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,4697.0,4738.0,4708.62,4701.0,83.0,91.0,90.0,91.0,75.0,77.0,76.38,76.5,506.07,2428.03,2171.83,2428.03,6.18,29.64,26.51,29.64,0.0,91.0,68.27,89.0,
NVIDIA GeForce RTX 3090,combinator,7913.0,7947.0,7924.46,7922.0,89.0,90.0,89.31,89.0,85.0,86.0,85.69,86.0,499.66,2524.33,2235.22,2524.33,2.03,10.27,9.1,10.27,0.0,92.0,69.52,87.0,
NVIDIA GeForce RTX 3090,dict1,59.0,62.0,60.86,62.0,42.0,74.0,70.86,73.0,74.0,74.0,74.0,74.0,499.22,2457.89,2222.96,2457.89,2.03,10.0,9.05,10.0,0.0,78.0,57.08,62.0,
NVIDIA GeForce RTX 3090,dict2,5.0,6.0,5.94,6.0,70.0,74.0,73.06,73.0,74.0,74.0,74.0,74.0,514.0,2472.67,2237.74,2472.67,2.09,10.06,9.11,10.06,0.0,77.0,60.8,72.0,
NVIDIA GeForce RTX 3090,dict3,7727.0,7819.0,7758.22,7755.5,91.0,95.0,92.94,93.0,85.0,86.0,85.72,86.0,537.73,2499.34,2264.29,2499.34,2.19,10.17,9.21,10.17,0.0,93.0,78.12,91.0,
