GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,294.0,295.0,294.38,294.0,93.0,93.0,93.0,93.0,61.0,62.0,61.88,62.0,1996.46,3941.73,3828.94,3939.11,17.72,34.99,33.99,34.97,1.0,95.0,76.6,76.0,
NVIDIA GeForce GTX 1080 Ti,dict1,4.0,4.0,4.0,4.0,82.0,83.0,82.94,83.0,57.0,58.0,57.72,58.0,1993.74,3871.04,3775.41,3871.04,17.7,34.37,33.52,34.37,3.0,82.0,72.22,76.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,85.0,86.0,85.06,85.0,50.0,51.0,50.11,50.0,2177.57,4054.87,3936.97,4027.43,19.33,36.0,34.95,35.75,3.0,85.0,75.22,79.5,
NVIDIA GeForce GTX 1080 Ti,dict3,501.0,513.0,505.0,504.0,92.0,95.0,94.0,94.0,83.0,84.0,83.41,83.0,1145.16,3022.46,2881.7,3022.46,10.17,26.83,25.58,26.83,0.0,95.0,77.58,76.5,
NVIDIA GeForce GTX 1080 Ti,dict4,501.0,513.0,505.39,504.5,94.0,95.0,94.56,95.0,83.0,85.0,83.56,83.0,1145.6,3024.4,2930.51,3024.4,10.17,26.85,26.02,26.85,0.0,95.0,77.05,75.5,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,84.0,85.0,84.89,85.0,52.0,52.0,52.0,52.0,1141.16,3084.46,2896.56,3084.46,10.13,27.38,25.72,27.38,0.0,81.0,65.0,72.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,181.0,182.0,181.25,181.0,86.0,94.0,92.75,94.0,57.0,58.0,57.38,57.0,2058.51,4005.24,3817.11,4005.24,18.28,35.56,33.89,35.56,2.0,95.0,73.71,75.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,611.0,633.0,619.38,618.0,88.0,89.0,88.38,88.0,86.0,89.0,87.15,87.0,327.78,2241.68,2114.41,2241.68,4.0,27.36,25.81,27.36,0.0,88.0,71.73,70.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,7.0,8.0,7.06,7.0,59.0,76.0,64.0,61.0,62.0,62.0,62.0,62.0,338.56,2186.46,2028.12,2186.46,4.13,26.69,24.76,26.69,0.0,78.0,65.49,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,73.0,73.0,73.0,73.0,61.0,62.0,61.78,62.0,338.56,2186.46,2080.89,2186.46,4.13,26.69,25.4,26.69,0.0,78.0,60.17,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,571.0,598.0,579.17,576.5,86.0,87.0,86.17,86.0,86.0,88.0,87.06,87.0,338.56,2186.46,2080.89,2186.46,4.13,26.69,25.4,26.69,0.0,87.0,72.14,85.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,569.0,597.0,577.94,575.5,86.0,87.0,86.17,86.0,86.0,88.0,87.11,87.0,338.56,2186.46,2080.89,2186.46,4.13,26.69,25.4,26.69,0.0,87.0,72.57,86.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,73.0,74.0,73.38,73.0,62.0,62.0,62.0,62.0,338.56,2252.46,2031.7,2252.46,4.13,27.5,24.8,27.5,0.0,72.0,60.69,69.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,624.0,637.0,628.75,627.5,88.0,89.0,88.25,88.0,85.0,88.0,86.62,87.0,338.56,2252.46,2099.39,2252.46,4.13,27.5,25.63,27.5,0.0,87.0,66.92,70.0,
NVIDIA GeForce RTX 3070,combinator,648.0,649.0,648.15,648.0,87.0,90.0,87.46,87.0,77.0,80.0,78.85,79.0,356.11,2320.07,2184.66,2320.07,4.35,28.32,26.67,28.32,0.0,86.0,70.41,72.0,
NVIDIA GeForce RTX 3070,dict1,6.0,7.0,6.67,7.0,56.0,72.0,58.33,58.0,60.0,60.0,60.0,60.0,356.11,2254.07,2142.45,2254.07,4.35,27.52,26.15,27.52,0.0,82.0,62.71,72.0,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,56.0,79.0,60.72,57.0,60.0,61.0,60.17,60.0,356.11,2254.07,2142.45,2254.07,4.35,27.52,26.15,27.52,0.0,81.0,62.44,72.0,
NVIDIA GeForce RTX 3070,dict3,648.0,652.0,649.78,649.5,87.0,87.0,87.0,87.0,78.0,82.0,80.11,80.0,356.11,2254.07,2091.44,2254.07,4.35,27.52,25.53,27.52,0.0,87.0,70.4,83.0,
NVIDIA GeForce RTX 3070,dict4,648.0,649.0,648.39,648.0,87.0,87.0,87.0,87.0,78.0,82.0,80.11,80.0,356.11,2254.07,2091.44,2254.07,4.35,27.52,25.53,27.52,0.0,87.0,70.14,83.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,56.0,59.0,56.88,56.5,60.0,60.0,60.0,60.0,356.11,2320.07,2084.47,2320.07,4.35,28.32,25.45,28.32,0.0,78.0,58.68,72.0,
