GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,294.0,294.0,294.0,294.0,92.0,94.0,92.88,93.0,61.0,62.0,61.62,62.0,1997.31,3943.23,3828.88,3939.11,17.73,35.01,33.99,34.97,1.0,95.0,75.49,75.0,
NVIDIA GeForce GTX 1080 Ti,dict1,4.0,4.0,4.0,4.0,82.0,85.0,83.06,83.0,59.0,60.0,59.17,59.0,2002.55,3907.97,3778.85,3894.66,17.78,34.69,33.55,34.58,2.0,87.0,74.85,81.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,85.0,86.0,85.33,85.0,50.0,51.0,50.06,50.0,2140.72,4075.18,3938.35,4017.12,19.0,36.18,34.96,35.66,3.0,89.0,75.13,80.0,
NVIDIA GeForce GTX 1080 Ti,dict3,501.0,512.0,505.28,504.5,93.0,95.0,94.44,94.5,82.0,84.0,83.33,83.5,1148.48,3022.46,2925.57,3022.46,10.2,26.83,25.97,26.83,0.0,95.0,77.47,76.5,
NVIDIA GeForce GTX 1080 Ti,dict4,502.0,513.0,505.39,504.5,94.0,95.0,94.5,94.5,82.0,85.0,83.72,84.0,1143.31,3022.65,2927.02,3020.77,10.15,26.83,25.99,26.82,0.0,95.0,77.45,76.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,85.0,85.0,85.0,85.0,52.0,52.0,52.0,52.0,1144.1,3088.9,2959.32,3088.9,10.16,27.42,26.27,27.42,0.0,80.0,66.9,73.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,181.0,181.0,181.0,181.0,94.0,94.0,94.0,94.0,57.0,58.0,57.56,58.0,2057.41,4001.87,3813.36,4000.05,18.27,35.53,33.85,35.51,0.0,95.0,69.55,74.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,610.0,631.0,617.92,617.0,88.0,89.0,88.54,89.0,86.0,90.0,87.08,87.0,327.78,2241.68,2114.11,2241.68,4.0,27.36,25.81,27.36,1.0,86.0,69.27,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,7.0,8.0,7.06,7.0,59.0,77.0,63.0,61.0,62.0,62.0,62.0,62.0,338.56,2186.46,2028.61,2186.46,4.13,26.69,24.76,26.69,0.0,79.0,64.31,69.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,73.0,74.0,73.17,73.0,62.0,62.0,62.0,62.0,338.56,2186.46,2028.12,2186.46,4.13,26.69,24.76,26.69,0.0,71.0,63.29,70.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,572.0,598.0,580.06,577.5,86.0,87.0,86.22,86.0,87.0,88.0,87.17,87.0,338.56,2186.46,2028.12,2186.46,4.13,26.69,24.76,26.69,0.0,87.0,72.06,86.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,569.0,596.0,577.89,575.5,86.0,87.0,86.22,86.0,86.0,88.0,87.11,87.0,338.56,2186.46,2028.38,2186.46,4.13,26.69,24.76,26.69,0.0,88.0,72.31,86.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,59.0,61.0,59.67,60.0,62.0,62.0,62.0,62.0,338.56,2252.46,2031.7,2252.46,4.13,27.5,24.8,27.5,0.0,73.0,58.0,69.0,
