GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,52.0,52.0,52.0,52.0,95.0,96.0,95.62,96.0,59.0,59.0,59.0,59.0,2000.25,3941.8,3885.7,3938.61,17.76,34.99,34.5,34.97,1.0,98.0,86.15,89.0,
NVIDIA GeForce GTX 1080 Ti,dict1,0.0,0.0,0.0,0.0,89.0,92.0,90.44,90.0,58.0,60.0,58.89,59.0,2120.11,3995.41,3952.79,3995.41,18.82,35.47,35.09,35.47,9.0,93.0,85.34,91.0,
NVIDIA GeForce GTX 1080 Ti,dict3,78.0,79.0,78.06,78.0,93.0,94.0,93.06,93.0,70.0,72.0,71.56,72.0,1919.09,3794.45,3745.75,3794.45,17.04,33.69,33.25,33.69,1.0,94.0,86.56,89.0,
NVIDIA GeForce GTX 1080 Ti,dict4,78.0,78.0,78.0,78.0,93.0,94.0,93.11,93.0,70.0,72.0,71.5,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,79.0,79.0,79.0,79.0,88.0,88.0,88.0,88.0,75.0,78.0,76.54,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,2.0,2.0,2.0,2.0,67.0,68.0,67.06,67.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,79.0,80.0,79.06,79.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,76.0,77.0,76.22,76.0,85.0,86.0,85.11,85.0,79.0,84.0,82.0,82.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,76.0,77.0,76.22,76.0,85.0,86.0,85.22,85.0,80.0,84.0,82.61,83.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,66.0,67.0,66.25,66.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,79.0,79.0,79.0,79.0,88.0,88.0,88.0,88.0,73.0,75.0,74.44,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,132.0,133.0,132.92,133.0,89.0,89.0,89.0,89.0,69.0,71.0,69.77,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,1.0,1.0,1.0,1.0,65.0,84.0,67.0,66.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,65.0,66.0,65.94,66.0,60.0,61.0,60.24,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,156.0,156.0,156.0,156.0,88.0,88.0,88.0,88.0,70.0,73.0,71.61,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,156.0,156.0,156.0,156.0,87.0,88.0,87.44,87.0,70.0,73.0,71.67,72.0,,,,,,,,,,,,,
