GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,38.0,39.0,38.06,38.0,93.0,94.0,93.17,93.0,71.0,73.0,72.06,72.0,1919.09,3906.21,3774.63,3811.47,17.04,34.68,33.51,33.84,4.0,98.0,91.95,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,38.0,39.0,38.17,38.0,93.0,94.0,93.39,93.0,71.0,73.0,72.0,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,39.0,39.0,39.0,39.0,87.0,88.0,87.92,88.0,74.0,77.0,76.0,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,1.0,1.0,1.0,1.0,66.0,67.0,66.89,67.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,64.0,66.0,65.11,65.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,38.0,38.0,38.0,38.0,85.0,86.0,85.06,85.0,78.0,82.0,80.17,80.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,38.0,38.0,38.0,38.0,85.0,86.0,85.11,85.0,78.0,83.0,80.83,81.0,375.51,375.51,375.51,375.51,4.58,4.58,4.58,4.58,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,65.0,66.0,65.38,65.0,62.0,62.0,62.0,62.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,34.0,35.0,34.38,34.0,88.0,89.0,88.12,88.0,72.0,74.0,73.38,74.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,66.0,66.0,66.0,66.0,89.0,91.0,89.23,89.0,66.0,69.0,67.46,67.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,0.0,1.0,0.28,0.0,79.0,80.0,79.22,79.0,60.0,60.0,60.0,60.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,79.0,80.0,79.22,79.0,61.0,61.0,61.0,61.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict3,66.0,66.0,66.0,66.0,89.0,90.0,89.11,89.0,67.0,70.0,68.5,68.5,510.07,510.07,510.07,510.07,6.23,6.23,6.23,6.23,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,66.0,66.0,66.0,66.0,89.0,90.0,89.06,89.0,67.0,70.0,68.56,69.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,79.0,80.0,79.22,79.0,61.0,61.0,61.0,61.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,hybrid,66.0,66.0,66.0,66.0,87.0,90.0,88.88,89.0,66.0,67.0,66.62,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,116.0,116.0,116.0,116.0,88.0,90.0,88.85,89.0,81.0,83.0,82.46,83.0,2062.99,2062.99,2062.99,2062.99,8.39,8.39,8.39,8.39,75.0,75.0,75.0,75.0,
NVIDIA GeForce RTX 3090,dict1,1.0,1.0,1.0,1.0,77.0,78.0,77.5,77.5,74.0,74.0,74.0,74.0,499.22,499.22,499.22,499.22,2.03,2.03,2.03,2.03,78.0,78.0,78.0,78.0,
NVIDIA GeForce RTX 3090,dict2,0.0,0.0,0.0,0.0,76.0,77.0,76.44,76.0,74.0,74.0,74.0,74.0,499.91,499.91,499.91,499.91,2.03,2.03,2.03,2.03,77.0,77.0,77.0,77.0,
NVIDIA GeForce RTX 3090,dict3,116.0,119.0,117.56,117.5,90.0,93.0,90.89,91.0,82.0,84.0,82.94,83.0,540.61,2609.34,2541.17,2609.34,2.2,10.62,10.34,10.62,0.0,93.0,79.05,80.0,
NVIDIA GeForce RTX 3090,dict4,118.0,120.0,118.72,119.0,90.0,94.0,91.83,92.0,82.0,83.0,82.56,83.0,1066.59,3135.27,3066.34,3135.27,4.34,12.76,12.48,12.76,0.0,92.0,79.24,80.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,77.0,78.0,77.12,77.0,74.0,74.0,74.0,74.0,674.21,2813.2,1611.55,935.2,2.74,11.45,6.56,3.81,3.0,97.0,41.68,17.0,
NVIDIA GeForce RTX 3090,hybrid,116.0,116.0,116.0,116.0,88.0,89.0,88.78,89.0,79.0,81.0,80.33,80.0,,,,,,,,,,,,,
