GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,64.0,75.0,68.12,66.0,92.0,95.0,93.88,94.0,62.0,73.0,67.38,67.5,2093.51,4034.8,3977.92,4029.18,18.59,35.82,35.32,35.77,1.0,94.0,87.53,89.0,
NVIDIA GeForce GTX 1080 Ti,dict1,0.0,0.0,0.0,0.0,90.0,91.0,90.22,90.0,59.0,60.0,59.89,60.0,2119.36,3994.66,3952.04,3994.66,18.82,35.46,35.09,35.46,9.0,93.0,88.8,92.0,
NVIDIA GeForce GTX 1080 Ti,dict3,78.0,79.0,78.22,78.0,93.0,93.0,93.0,93.0,70.0,71.0,70.67,71.0,1957.62,3906.52,3776.18,3799.58,17.38,34.68,33.52,33.73,1.0,94.0,87.11,89.0,
NVIDIA GeForce GTX 1080 Ti,dict4,78.0,78.0,78.0,78.0,93.0,94.0,93.33,93.0,69.0,72.0,70.72,71.0,1140.73,1140.73,1140.73,1140.73,10.13,10.13,10.13,10.13,51.0,51.0,51.0,51.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,79.0,79.0,79.0,79.0,87.0,88.0,87.69,88.0,73.0,76.0,74.54,75.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,2.0,2.0,2.0,2.0,66.0,68.0,67.0,67.0,61.0,61.0,61.0,61.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,66.0,73.0,67.11,66.0,62.0,62.0,62.0,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,77.0,77.0,77.0,77.0,85.0,86.0,85.28,85.0,77.0,84.0,81.44,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,76.0,77.0,76.44,76.0,85.0,87.0,85.33,85.0,78.0,83.0,80.89,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,65.0,71.0,66.38,66.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,79.0,79.0,79.0,79.0,86.0,88.0,87.44,88.0,72.0,75.0,73.89,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,133.0,133.0,133.0,133.0,89.0,90.0,89.17,89.0,66.0,69.0,67.67,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,2.0,2.0,2.0,2.0,67.0,67.0,67.0,67.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,66.0,66.0,66.0,66.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,156.0,157.0,156.67,157.0,87.0,88.0,87.39,87.0,67.0,71.0,69.39,69.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,156.0,157.0,156.72,157.0,86.0,88.0,87.28,87.0,68.0,71.0,69.5,69.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,79.0,82.0,79.88,79.0,60.0,61.0,60.88,61.0,,,,,,,,,,,,,
