GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,52.0,52.0,52.0,52.0,95.0,95.0,95.0,95.0,63.0,64.0,63.12,63.0,932.14,2873.44,2792.56,2873.44,8.28,25.51,24.79,25.51,0.0,94.0,84.03,88.0,
NVIDIA GeForce GTX 1080 Ti,dict1,0.0,0.0,0.0,0.0,90.0,91.0,90.61,91.0,59.0,60.0,59.5,59.5,1766.52,3641.23,3573.54,3641.17,15.68,32.33,31.73,32.33,6.0,95.0,86.67,90.0,
NVIDIA GeForce GTX 1080 Ti,dict3,78.0,78.0,78.0,78.0,93.0,94.0,93.06,93.0,71.0,73.0,72.72,73.0,2023.99,4158.22,3914.8,3962.39,17.97,36.92,34.75,35.18,2.0,97.0,88.36,91.0,
NVIDIA GeForce GTX 1080 Ti,dict4,78.0,79.0,78.06,78.0,93.0,94.0,93.11,93.0,72.0,73.0,72.67,73.0,2748.12,2748.12,2748.12,2748.12,24.4,24.4,24.4,24.4,95.0,95.0,95.0,95.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,79.0,80.0,79.38,79.0,87.0,88.0,87.62,88.0,72.0,75.0,73.77,74.0,328.73,328.73,328.73,328.73,4.01,4.01,4.01,4.01,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,0.0,1.0,0.89,1.0,79.0,80.0,79.06,79.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,65.0,66.0,65.61,66.0,61.0,61.0,61.0,61.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,77.0,77.0,77.0,77.0,85.0,86.0,85.11,85.0,74.0,78.0,76.22,76.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,77.0,77.0,77.0,77.0,85.0,86.0,85.17,85.0,75.0,79.0,77.06,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,65.0,66.0,65.67,66.0,61.0,61.0,61.0,61.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,80.0,80.0,80.0,80.0,87.0,88.0,87.89,88.0,72.0,74.0,72.89,73.0,353.51,353.51,353.51,353.51,4.32,4.32,4.32,4.32,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,combinator,157.0,158.0,157.31,157.0,87.0,89.0,87.38,87.0,61.0,65.0,63.23,63.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,1.0,2.0,1.44,1.0,79.0,83.0,79.33,79.0,53.0,55.0,54.0,54.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,65.0,83.0,67.67,66.0,54.0,55.0,54.5,54.5,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,1.0,1.0,1.0,1.0,
