GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict3,38.0,39.0,38.94,39.0,93.0,94.0,93.28,93.0,70.0,72.0,71.28,71.0,2085.89,4111.27,3935.34,3952.26,18.52,36.5,34.94,35.09,0.0,99.0,93.21,95.0,
NVIDIA GeForce GTX 1080 Ti,dict4,38.0,39.0,38.11,38.0,93.0,94.0,93.33,93.0,70.0,72.0,71.0,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,35.0,36.0,35.15,35.0,88.0,89.0,88.08,88.0,70.0,72.0,71.62,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,1.0,1.0,1.0,1.0,66.0,79.0,67.67,67.0,62.0,62.0,62.0,62.0,353.51,353.51,353.51,353.51,4.32,4.32,4.32,4.32,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,64.0,67.0,65.06,65.0,62.0,62.0,62.0,62.0,339.51,339.51,339.51,339.51,4.14,4.14,4.14,4.14,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,38.0,38.0,38.0,38.0,85.0,86.0,85.06,85.0,75.0,78.0,76.94,77.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,38.0,38.0,38.0,38.0,85.0,85.0,85.0,85.0,75.0,79.0,77.72,78.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,65.0,81.0,70.0,65.5,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,35.0,35.0,35.0,35.0,88.0,89.0,88.12,88.0,70.0,72.0,71.12,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,66.0,66.0,66.0,66.0,89.0,90.0,89.23,89.0,64.0,67.0,66.0,66.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict1,0.0,1.0,0.39,0.0,78.0,80.0,79.11,79.0,58.0,59.0,58.89,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,79.0,80.0,79.11,79.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,66.0,66.0,66.0,66.0,89.0,90.0,89.22,89.0,65.0,68.0,66.67,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,66.0,67.0,66.72,67.0,88.0,91.0,89.39,89.0,65.0,69.0,66.94,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,79.0,80.0,79.25,79.0,58.0,59.0,58.75,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,66.0,67.0,66.12,66.0,89.0,89.0,89.0,89.0,65.0,66.0,65.62,66.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,115.0,115.0,115.0,115.0,88.0,88.0,88.0,88.0,79.0,82.0,80.69,81.0,539.17,2675.34,2600.02,2675.34,2.19,10.89,10.58,10.89,0.0,91.0,79.88,82.0,
NVIDIA GeForce RTX 3090,dict1,1.0,1.0,1.0,1.0,78.0,79.0,78.06,78.0,73.0,73.0,73.0,73.0,540.61,2609.34,2540.42,2609.34,2.2,10.62,10.34,10.62,0.0,89.0,78.13,81.0,
NVIDIA GeForce RTX 3090,dict2,0.0,0.0,0.0,0.0,77.0,78.0,77.83,78.0,73.0,73.0,73.0,73.0,541.36,2609.78,2539.96,2609.66,2.2,10.62,10.34,10.62,0.0,85.0,78.76,82.0,
NVIDIA GeForce RTX 3090,dict3,118.0,120.0,118.88,119.0,90.0,93.0,91.82,92.0,82.0,83.0,82.41,82.0,540.61,2609.34,2520.99,2609.34,2.2,10.62,10.26,10.62,0.0,92.0,79.34,81.0,
NVIDIA GeForce RTX 3090,dict4,119.0,121.0,120.06,120.0,90.0,96.0,92.17,92.0,81.0,83.0,82.33,82.0,727.77,3159.23,2944.18,3135.27,2.96,12.85,11.98,12.76,0.0,95.0,82.24,83.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,76.0,77.0,76.88,77.0,73.0,73.0,73.0,73.0,688.27,2852.55,2747.67,2827.35,2.8,11.61,11.18,11.5,3.0,92.0,86.07,91.0,
