GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,25.0,25.0,25.0,25.0,92.0,93.0,92.38,92.0,60.0,60.0,60.0,60.0,2047.37,4204.69,4078.35,4204.69,18.18,37.33,36.21,37.33,2.0,96.0,87.64,92.0,
NVIDIA GeForce GTX 1080 Ti,dict1,0.0,0.0,0.0,0.0,85.0,86.0,85.16,85.0,60.0,61.0,60.74,61.0,1964.95,3984.85,3904.91,3977.35,17.44,35.38,34.67,35.31,2.0,93.0,86.02,92.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,71.0,73.0,72.39,72.0,47.0,48.0,47.22,47.0,2163.2,4167.0,4094.14,4167.0,19.2,36.99,36.35,36.99,4.0,93.0,85.87,92.0,
NVIDIA GeForce GTX 1080 Ti,dict3,39.0,39.0,39.0,39.0,94.0,95.0,94.94,95.0,70.0,72.0,71.17,71.0,1143.66,3150.46,3074.77,3150.46,10.15,27.97,27.3,27.97,0.0,95.0,87.32,92.0,
NVIDIA GeForce GTX 1080 Ti,dict4,39.0,39.0,39.0,39.0,94.0,95.0,94.89,95.0,70.0,72.0,71.17,71.0,1143.48,3152.71,3076.98,3152.71,10.15,27.99,27.32,27.99,0.0,95.0,87.38,92.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,70.0,72.0,71.0,71.0,48.0,48.0,48.0,48.0,1141.81,3213.96,3071.47,3212.46,10.14,28.53,27.27,28.52,0.0,92.0,83.73,91.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,14.0,14.0,14.0,14.0,88.0,89.0,88.78,89.0,52.0,52.0,52.0,52.0,2168.07,4242.81,4104.67,4242.81,19.25,37.67,36.44,37.67,0.0,95.0,84.67,92.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,39.0,39.0,39.0,39.0,90.0,91.0,90.77,91.0,72.0,75.0,73.92,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,0.0,0.0,0.0,0.0,78.0,83.0,79.22,79.0,62.0,62.0,62.0,62.0,338.56,2314.46,2193.71,2314.46,4.13,28.25,26.78,28.25,0.0,80.0,73.94,79.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,70.0,71.0,70.11,70.0,62.0,62.0,62.0,62.0,338.56,2314.46,2195.95,2314.46,4.13,28.25,26.81,28.25,0.0,81.0,68.78,78.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,38.0,38.0,38.0,38.0,88.0,89.0,88.94,89.0,76.0,82.0,79.83,80.5,338.56,2314.46,2193.87,2314.46,4.13,28.25,26.78,28.25,0.0,90.0,77.98,80.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,38.0,38.0,38.0,38.0,89.0,89.0,89.0,89.0,78.0,81.0,79.78,80.0,338.56,2314.46,2193.53,2314.46,4.13,28.25,26.78,28.25,0.0,90.0,77.49,80.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,69.0,71.0,70.0,70.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,39.0,39.0,39.0,39.0,90.0,91.0,90.5,90.5,71.0,73.0,72.38,72.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,77.0,77.0,77.0,77.0,90.0,91.0,90.46,90.0,67.0,70.0,68.31,68.0,356.11,2448.07,2338.0,2448.07,4.35,29.88,28.54,29.88,0.0,90.0,80.3,83.0,
NVIDIA GeForce RTX 3070,dict1,0.0,1.0,0.5,0.5,84.0,87.0,84.17,84.0,60.0,60.0,60.0,60.0,356.11,2382.07,2315.66,2382.07,4.35,29.08,28.27,29.08,0.0,86.0,78.44,83.0,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,79.0,80.0,79.06,79.0,61.0,61.0,61.0,61.0,356.11,2382.07,2315.66,2382.07,4.35,29.08,28.27,29.08,0.0,87.0,76.7,83.0,
NVIDIA GeForce RTX 3070,dict3,77.0,77.0,77.0,77.0,90.0,91.0,90.39,90.0,67.0,70.0,68.78,69.0,356.11,2382.07,2315.66,2382.07,4.35,29.08,28.27,29.08,0.0,91.0,80.79,83.0,
NVIDIA GeForce RTX 3070,dict4,77.0,77.0,77.0,77.0,90.0,91.0,90.22,90.0,67.0,70.0,68.78,69.0,356.11,2382.07,2315.66,2382.07,4.35,29.08,28.27,29.08,0.0,91.0,81.18,83.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,77.0,78.0,77.5,77.5,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,77.0,77.0,77.0,77.0,90.0,91.0,90.38,90.0,67.0,68.0,67.5,67.5,495.57,2587.53,2466.88,2587.53,6.05,31.59,30.11,31.59,0.0,91.0,81.67,86.0,
NVIDIA GeForce RTX 3090,combinator,116.0,116.0,116.0,116.0,91.0,91.0,91.0,91.0,80.0,82.0,81.08,81.0,540.61,2763.34,2648.42,2763.34,2.2,11.24,10.78,11.24,0.0,94.0,82.88,87.0,
NVIDIA GeForce RTX 3090,dict1,1.0,1.0,1.0,1.0,82.0,83.0,82.72,83.0,74.0,74.0,74.0,74.0,540.61,2697.34,2594.69,2697.34,2.2,10.98,10.56,10.98,0.0,90.0,81.78,87.0,
NVIDIA GeForce RTX 3090,dict2,0.0,0.0,0.0,0.0,76.0,77.0,76.06,76.0,74.0,74.0,74.0,74.0,514.56,2670.55,2569.51,2670.55,2.09,10.87,10.46,10.87,0.0,89.0,77.08,83.0,
NVIDIA GeForce RTX 3090,dict3,118.0,119.0,118.5,118.5,93.0,93.0,93.0,93.0,81.0,83.0,82.5,83.0,537.73,2697.34,2594.64,2697.34,2.19,10.98,10.56,10.98,0.0,94.0,83.79,88.0,
NVIDIA GeForce RTX 3090,dict4,118.0,119.0,118.61,119.0,93.0,95.0,93.67,93.0,81.0,83.0,82.17,82.0,700.72,2861.7,2758.98,2861.7,2.85,11.64,11.23,11.64,0.0,94.0,83.33,88.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,73.0,74.0,73.75,74.0,73.0,74.0,73.25,73.0,651.09,2880.63,2789.04,2876.63,2.65,11.72,11.35,11.71,3.0,94.0,87.58,94.0,
NVIDIA GeForce RTX 3090,hybrid,116.0,116.0,116.0,116.0,90.0,91.0,90.25,90.0,79.0,80.0,79.62,80.0,,,,,,,,,,,,,
NVIDIA RTX A4000,combinator,72.0,74.0,73.31,73.0,90.0,91.0,90.77,91.0,80.0,85.0,82.69,83.0,743.42,2845.39,2751.33,2845.39,4.54,17.38,16.8,17.38,0.0,98.0,88.73,94.0,
NVIDIA RTX A4000,dict1,0.0,0.0,0.0,0.0,81.0,85.0,83.39,84.0,74.0,74.0,74.0,74.0,743.42,2779.39,2721.24,2779.39,4.54,16.97,16.62,16.97,1.0,95.0,90.23,94.0,
NVIDIA RTX A4000,dict2,0.0,0.0,0.0,0.0,76.0,82.0,78.56,79.0,74.0,75.0,74.11,74.0,743.39,2779.36,2721.21,2779.36,4.54,16.97,16.62,16.97,0.0,95.0,89.09,94.0,
