GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,19.0,19.0,19.0,19.0,92.0,92.0,92.0,92.0,56.0,56.0,56.0,56.0,2060.81,4096.11,3997.64,4096.11,18.3,36.36,35.49,36.36,2.0,95.0,82.77,86.0,
NVIDIA GeForce GTX 1080 Ti,dict1,0.0,0.0,0.0,0.0,83.0,85.0,83.67,84.0,59.0,60.0,59.11,59.0,1973.93,3992.16,3885.2,3942.57,17.52,35.44,34.49,35.0,2.0,87.0,81.08,86.0,
NVIDIA GeForce GTX 1080 Ti,dict3,31.0,31.0,31.0,31.0,94.0,95.0,94.56,95.0,71.0,73.0,72.5,73.0,1145.81,3114.46,3023.68,3114.46,10.17,27.65,26.84,27.65,0.0,95.0,82.03,85.0,
NVIDIA GeForce GTX 1080 Ti,dict4,31.0,31.0,31.0,31.0,94.0,95.0,94.39,94.0,71.0,73.0,72.39,72.5,1142.23,3111.96,3021.08,3111.96,10.14,27.63,26.82,27.63,0.0,95.0,81.91,85.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,68.0,69.0,68.38,68.0,47.0,48.0,47.25,47.0,1142.16,3180.9,3108.16,3180.9,10.14,28.24,27.59,28.24,0.0,98.0,78.18,84.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,12.0,12.0,12.0,12.0,93.0,94.0,93.11,93.0,51.0,52.0,51.89,52.0,2169.45,4208.12,4098.93,4208.0,19.26,37.36,36.39,37.36,0.0,95.0,80.38,85.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,31.0,31.0,31.0,31.0,90.0,90.0,90.0,90.0,72.0,75.0,73.69,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,1.0,1.0,1.0,1.0,70.0,71.0,70.83,71.0,62.0,62.0,62.0,62.0,338.56,2286.46,2223.64,2286.46,4.13,27.91,27.14,27.91,0.0,83.0,66.13,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,53.0,73.0,60.94,58.5,61.0,62.0,61.22,61.0,338.56,2286.46,2223.64,2286.46,4.13,27.91,27.14,27.91,0.0,77.0,67.11,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,30.0,30.0,30.0,30.0,88.0,88.0,88.0,88.0,78.0,82.0,80.39,81.0,338.56,2286.46,2193.72,2286.46,4.13,27.91,26.78,27.91,0.0,90.0,70.4,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,30.0,30.0,30.0,30.0,88.0,89.0,88.11,88.0,78.0,83.0,81.39,82.0,338.56,2286.46,2223.64,2286.46,4.13,27.91,27.14,27.91,0.0,89.0,71.94,68.0,
