GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,399.0,401.0,400.25,400.5,91.0,92.0,91.5,91.5,49.0,49.0,49.0,49.0,2298.0,4253.18,4044.77,4246.8,20.4,37.76,35.91,37.7,0.0,97.0,78.07,95.0,
NVIDIA GeForce GTX 1080 Ti,dict1,7.0,7.0,7.0,7.0,83.0,84.0,83.78,84.0,58.0,59.0,58.11,58.0,2237.0,4117.74,3956.77,4117.74,19.86,36.56,35.13,36.56,7.0,97.0,71.09,77.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,75.0,77.0,75.5,75.0,47.0,48.0,47.78,48.0,960.21,2837.17,2671.6,2837.17,8.52,25.19,23.72,25.19,0.0,90.0,68.47,79.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1157.0,1175.0,1162.94,1161.0,96.0,97.0,96.11,96.0,82.0,86.0,83.72,83.5,1103.23,2982.02,2816.55,2982.02,9.79,26.47,25.0,26.47,0.0,96.0,79.82,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1142.0,1161.0,1148.72,1147.0,95.0,96.0,95.78,96.0,82.0,86.0,83.67,83.5,1143.66,3026.09,2864.56,3026.09,10.15,26.87,25.43,26.87,0.0,97.0,79.79,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,72.0,78.0,76.0,76.0,44.0,44.0,44.0,44.0,1146.35,3092.02,1876.76,1288.02,10.18,27.45,16.66,11.43,0.0,96.0,23.91,0.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,405.0,407.0,406.22,406.0,91.0,96.0,92.33,92.0,49.0,50.0,49.44,49.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,1538.0,1573.0,1550.77,1548.0,89.0,90.0,89.85,90.0,86.0,87.0,86.31,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,11.0,12.0,11.94,12.0,57.0,76.0,63.33,62.0,59.0,60.0,59.89,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,57.0,77.0,62.17,59.0,60.0,60.0,60.0,60.0,338.56,2186.46,2001.73,2186.46,4.13,26.69,24.44,26.69,0.0,80.0,63.33,68.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,1415.0,1464.0,1431.0,1426.5,87.0,89.0,88.0,88.0,86.0,90.0,88.11,88.0,338.56,2186.46,2063.3,2186.46,4.13,26.69,25.19,26.69,0.0,89.0,73.87,88.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1384.0,1441.0,1404.39,1400.0,87.0,88.0,87.94,88.0,86.0,89.0,87.22,87.0,338.56,2186.46,2059.05,2186.46,4.13,26.69,25.13,26.69,0.0,89.0,73.28,88.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,57.0,68.0,61.88,61.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1493.0,1510.0,1500.25,1499.5,89.0,90.0,89.12,89.0,84.0,85.0,84.88,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,1552.0,1557.0,1553.67,1553.5,90.0,92.0,90.42,90.0,66.0,71.0,68.83,69.0,356.11,2320.07,2137.07,2320.07,4.35,28.32,26.09,28.32,0.0,89.0,71.56,86.0,
NVIDIA GeForce RTX 3070,dict1,12.0,12.0,12.0,12.0,54.0,77.0,59.17,55.5,49.0,51.0,50.11,50.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,1.0,1.0,1.0,1.0,54.0,79.0,61.56,57.0,53.0,54.0,53.61,54.0,356.11,2254.07,2064.34,2254.07,4.35,27.52,25.2,27.52,0.0,82.0,60.13,69.5,
NVIDIA GeForce RTX 3070,dict3,1540.0,1546.0,1543.12,1543.0,90.0,91.0,90.12,90.0,72.0,77.0,74.88,75.0,356.11,2254.07,2126.24,2254.07,4.35,27.52,25.96,27.52,0.0,90.0,72.6,87.0,
NVIDIA GeForce RTX 3070,dict4,1531.0,1537.0,1535.06,1535.0,90.0,91.0,90.06,90.0,72.0,78.0,75.56,76.0,356.11,2254.07,2064.64,2254.07,4.35,27.52,25.2,27.52,0.0,93.0,73.63,87.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,54.0,78.0,62.5,57.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1560.0,1568.0,1563.38,1563.0,90.0,90.0,90.0,90.0,64.0,67.0,65.88,66.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,2560.0,2573.0,2566.0,2566.0,88.0,89.0,88.85,89.0,75.0,79.0,77.38,78.0,541.8,2637.97,2396.22,2637.84,2.2,10.73,9.75,10.73,0.0,96.0,74.12,91.0,
NVIDIA GeForce RTX 3090,dict1,11.0,12.0,11.06,11.0,48.0,78.0,55.67,51.0,64.0,66.0,65.17,65.0,541.8,2571.97,2436.61,2571.84,2.2,10.47,9.91,10.46,0.0,78.0,61.3,68.0,
NVIDIA GeForce RTX 3090,dict2,1.0,1.0,1.0,1.0,49.0,77.0,59.78,54.0,68.0,69.0,68.61,69.0,541.8,2571.97,2436.72,2571.97,2.2,10.47,9.92,10.47,0.0,77.0,57.83,63.5,
NVIDIA GeForce RTX 3090,dict3,2472.0,2500.0,2486.5,2486.5,91.0,95.0,91.72,91.0,85.0,86.0,85.83,86.0,541.8,2571.97,2375.58,2571.84,2.2,10.47,9.67,10.46,0.0,94.0,76.68,91.0,
NVIDIA GeForce RTX 3090,dict4,2515.0,2540.0,2520.78,2517.5,91.0,94.0,92.06,92.0,83.0,85.0,84.06,84.0,1094.24,3121.85,2925.65,3121.85,4.45,12.7,11.9,12.7,0.0,93.0,74.23,91.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,49.0,78.0,60.56,56.0,62.0,63.0,62.89,63.0,,,,,,,,,,,,,
