GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,80.0,82.0,80.94,81.0,52.0,52.0,52.0,52.0,2126.63,4158.48,3937.88,4020.79,18.88,36.92,34.96,35.7,0.0,90.0,76.98,81.0,
NVIDIA GeForce GTX 1080 Ti,dict3,352.0,357.0,353.89,353.5,95.0,95.0,95.0,95.0,82.0,85.0,83.67,84.0,1108.04,3016.02,2915.26,3012.02,9.84,26.78,25.88,26.74,0.0,95.0,78.4,76.5,
NVIDIA GeForce GTX 1080 Ti,dict4,351.0,357.0,353.22,353.0,94.0,97.0,95.06,95.0,81.0,86.0,83.67,83.5,1145.62,3056.27,2946.53,3055.4,10.17,27.13,26.16,27.13,0.0,95.0,78.34,77.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,568.0,578.0,572.46,572.0,92.0,94.0,92.31,92.0,84.0,87.0,85.62,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,4.0,4.0,4.0,4.0,59.0,71.0,69.39,70.0,59.0,60.0,59.94,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,68.0,71.0,69.94,70.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict3,550.0,570.0,557.72,556.5,91.0,92.0,91.72,92.0,85.0,90.0,87.06,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,474.0,497.0,481.61,479.5,91.0,96.0,91.83,91.0,85.0,89.0,87.56,88.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,66.0,72.0,69.75,70.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,573.0,578.0,575.5,575.5,92.0,93.0,92.25,92.0,84.0,86.0,85.38,86.0,2251.51,2251.51,2251.51,2251.51,27.48,27.48,27.48,27.48,67.0,67.0,67.0,67.0,
