GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,2514.0,2556.0,2527.5,2523.0,94.0,94.0,94.0,94.0,65.0,65.0,65.0,65.0,2183.82,4094.86,3916.14,4090.49,19.39,36.35,34.77,36.31,0.0,97.0,76.36,96.0,
NVIDIA GeForce GTX 1080 Ti,dict1,21.0,21.0,21.0,21.0,72.0,73.0,72.44,72.0,60.0,60.0,60.0,60.0,2240.57,4085.3,3945.59,4080.68,19.89,36.27,35.03,36.23,7.0,85.0,71.96,83.0,
NVIDIA GeForce GTX 1080 Ti,dict2,1.0,1.0,1.0,1.0,76.0,78.0,77.06,77.0,49.0,49.0,49.0,49.0,960.34,2800.98,2603.83,2800.98,8.53,24.87,23.12,24.87,0.0,83.0,66.46,82.0,
NVIDIA GeForce GTX 1080 Ti,dict3,3718.0,3809.0,3745.89,3739.5,96.0,97.0,96.11,96.0,82.0,88.0,83.94,83.0,1105.38,2946.02,2741.7,2946.02,9.81,26.15,24.34,26.15,0.0,96.0,75.3,96.0,
NVIDIA GeForce GTX 1080 Ti,dict4,3717.0,3792.0,3743.06,3738.0,96.0,97.0,96.06,96.0,82.0,86.0,84.0,84.0,1147.91,2990.09,2792.82,2990.09,10.19,26.55,24.79,26.55,0.0,96.0,76.07,96.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,75.0,76.0,75.78,76.0,45.0,45.0,45.0,45.0,1145.48,3052.65,2828.11,3052.4,10.17,27.1,25.11,27.1,0.0,83.0,61.35,81.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1198.0,1200.0,1199.5,1200.0,92.0,93.0,92.5,92.5,49.0,49.0,49.0,49.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,combinator,4636.0,4737.0,4675.0,4669.0,90.0,90.0,90.0,90.0,84.0,86.0,85.54,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,12.0,13.0,12.89,13.0,57.0,76.0,63.89,59.0,59.0,59.0,59.0,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,3.0,4.0,3.11,3.0,57.0,76.0,63.78,58.5,61.0,61.0,61.0,61.0,338.56,2158.46,2006.84,2158.46,4.13,26.35,24.5,26.35,0.0,79.0,62.0,66.5,
