GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,360.0,360.0,360.0,360.0,94.0,94.0,94.0,94.0,52.0,53.0,52.5,52.5,2061.5,4021.3,3881.05,4013.46,18.3,35.7,34.46,35.63,1.0,96.0,75.27,79.5,
NVIDIA GeForce GTX 1080 Ti,dict1,6.0,7.0,6.39,6.0,75.0,80.0,76.61,76.0,61.0,61.0,61.0,61.0,1654.58,3505.23,3396.74,3505.23,14.69,31.12,30.16,31.12,2.0,77.0,66.23,74.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,78.0,80.0,78.22,78.0,52.0,52.0,52.0,52.0,2182.17,4062.68,3883.5,4049.7,19.37,36.07,34.48,35.95,0.0,82.0,64.43,74.0,
NVIDIA GeForce GTX 1080 Ti,dict3,1023.0,1046.0,1030.44,1028.0,94.0,95.0,94.33,94.0,83.0,86.0,83.72,83.5,1107.66,2956.02,2850.42,2956.02,9.83,26.24,25.31,26.24,0.0,94.0,74.63,94.0,
NVIDIA GeForce GTX 1080 Ti,dict4,1020.0,1049.0,1028.44,1026.0,94.0,95.0,94.39,94.0,81.0,86.0,83.67,83.0,1147.91,3000.09,2889.77,3000.09,10.19,26.63,25.65,26.63,0.0,95.0,73.97,94.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,78.0,79.0,78.56,79.0,48.0,48.0,48.0,48.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,355.0,355.0,355.0,355.0,94.0,95.0,94.62,95.0,52.0,52.0,52.0,52.0,1133.48,3054.21,2122.0,1276.21,10.06,27.11,18.84,11.33,0.0,95.0,34.62,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,1439.0,1468.0,1452.15,1452.0,93.0,93.0,93.0,93.0,84.0,86.0,85.31,85.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,14.0,14.0,14.0,14.0,58.0,77.0,62.56,60.0,58.0,58.0,58.0,58.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,1.0,1.0,1.0,1.0,59.0,78.0,68.5,69.5,61.0,62.0,61.67,62.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,1331.0,1383.0,1350.0,1346.0,91.0,91.0,91.0,91.0,85.0,89.0,87.12,87.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,1237.0,1289.0,1252.22,1247.0,91.0,92.0,91.5,91.5,87.0,88.0,87.83,88.0,338.56,338.56,338.56,338.56,4.13,4.13,4.13,4.13,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,59.0,62.0,59.56,59.0,57.0,58.0,57.78,58.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,1455.0,1470.0,1461.88,1462.5,93.0,93.0,93.0,93.0,83.0,86.0,84.75,85.0,338.56,2234.46,1231.32,456.46,4.13,27.28,15.03,5.57,0.0,93.0,34.32,0.0,
NVIDIA GeForce RTX 3070,combinator,1406.0,1411.0,1408.54,1409.0,93.0,93.0,93.0,93.0,67.0,73.0,70.15,70.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,14.0,15.0,14.67,15.0,56.0,78.0,62.67,59.5,52.0,53.0,52.56,53.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,1.0,1.0,1.0,1.0,56.0,81.0,59.5,58.0,60.0,60.0,60.0,60.0,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,2.0,2.0,2.0,2.0,
NVIDIA GeForce RTX 3070,dict3,1382.0,1391.0,1387.33,1388.0,93.0,93.0,93.0,93.0,79.0,83.0,81.61,82.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,dict4,1378.0,1386.0,1383.89,1386.0,93.0,94.0,93.11,93.0,80.0,84.0,82.0,82.0,357.09,357.09,357.09,357.09,4.36,4.36,4.36,4.36,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,force,0.0,0.0,0.0,0.0,56.0,59.0,57.88,58.0,53.0,53.0,53.0,53.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,1413.0,1415.0,1414.0,1414.0,93.0,93.0,93.0,93.0,66.0,69.0,67.62,68.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,combinator,2091.0,2104.0,2095.31,2094.0,85.0,87.0,85.62,86.0,76.0,81.0,78.85,79.0,499.66,2538.33,2327.52,2538.33,2.03,10.33,9.47,10.33,0.0,91.0,70.45,77.0,
NVIDIA GeForce RTX 3090,dict1,8.0,9.0,8.61,9.0,51.0,81.0,62.06,54.5,67.0,69.0,68.06,68.0,499.91,2472.58,2353.06,2472.58,2.03,10.06,9.57,10.06,0.0,82.0,60.0,65.0,
NVIDIA GeForce RTX 3090,dict2,1.0,1.0,1.0,1.0,52.0,79.0,62.28,53.0,74.0,75.0,74.17,74.0,499.22,2471.89,2297.91,2471.89,2.03,10.06,9.35,10.06,0.0,82.0,58.59,63.0,
NVIDIA GeForce RTX 3090,dict3,1954.0,1976.0,1962.28,1961.5,88.0,93.0,89.89,90.0,84.0,86.0,85.28,85.0,541.8,2515.97,2325.1,2515.97,2.2,10.24,9.46,10.24,0.0,91.0,72.39,88.0,
NVIDIA GeForce RTX 3090,dict4,2061.0,2111.0,2081.0,2075.0,90.0,97.0,93.18,93.0,83.0,83.0,83.0,83.0,952.62,2934.95,2788.42,2925.23,3.88,11.94,11.35,11.9,0.0,96.0,74.9,90.0,
NVIDIA GeForce RTX 3090,force,0.0,0.0,0.0,0.0,52.0,78.0,63.38,61.5,67.0,68.0,67.5,67.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,2102.0,2115.0,2107.0,2106.0,85.0,86.0,85.12,85.0,74.0,77.0,75.88,76.0,558.03,2596.7,2352.17,2596.7,2.27,10.57,9.57,10.57,3.0,95.0,69.72,76.0,
NVIDIA RTX A4000,combinator,1297.0,1315.0,1304.92,1305.0,92.0,94.0,93.15,93.0,72.0,80.0,76.69,77.0,743.42,2681.39,1984.76,2681.39,4.54,16.37,12.12,16.37,0.0,93.0,47.69,69.0,
NVIDIA RTX A4000,dict1,14.0,14.0,14.0,14.0,55.0,63.0,58.83,59.0,63.0,66.0,65.0,65.0,743.42,2615.39,2508.47,2615.39,4.54,15.97,15.32,15.97,0.0,77.0,65.0,73.0,
NVIDIA RTX A4000,dict2,1.0,1.0,1.0,1.0,56.0,64.0,59.89,58.5,75.0,75.0,75.0,75.0,743.39,2615.36,2508.44,2615.36,4.54,15.97,15.32,15.97,0.0,79.0,65.09,73.0,
NVIDIA RTX A4000,dict3,1157.0,1187.0,1173.82,1177.0,87.0,88.0,87.82,88.0,86.0,90.0,88.47,89.0,772.19,2655.55,1797.68,2642.17,4.72,16.22,10.98,16.13,3.0,97.0,44.21,9.0,
NVIDIA RTX A4000,dict4,1152.0,1181.0,1168.72,1170.5,88.0,89.0,88.06,88.0,87.0,90.0,88.89,89.0,793.7,2665.66,2544.65,2665.66,4.85,16.28,15.54,16.28,3.0,97.0,76.0,96.0,
NVIDIA RTX A4000,force,0.0,0.0,0.0,0.0,54.0,63.0,59.12,59.5,65.0,66.0,65.75,66.0,743.73,2681.7,1913.99,2681.7,4.54,16.38,11.69,16.38,0.0,96.0,40.08,68.0,
