GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,49.0,50.0,49.25,49.0,92.0,95.0,93.12,93.0,62.0,63.0,62.38,62.0,2135.38,4178.11,4050.2,4167.55,18.96,37.09,35.96,37.0,1.0,95.0,84.94,87.0,
NVIDIA GeForce GTX 1080 Ti,dict1,0.0,0.0,0.0,0.0,85.0,88.0,85.5,85.0,59.0,60.0,59.39,59.0,1698.84,3689.73,3531.9,3679.43,15.08,32.76,31.36,32.67,0.0,93.0,77.28,79.0,
NVIDIA GeForce GTX 1080 Ti,dict2,0.0,0.0,0.0,0.0,68.0,73.0,71.89,72.0,49.0,49.0,49.0,49.0,2189.43,4186.29,4039.65,4122.48,19.44,37.17,35.86,36.6,1.0,95.0,82.07,86.0,
NVIDIA GeForce GTX 1080 Ti,dict3,78.0,79.0,78.39,78.0,94.0,96.0,94.78,95.0,70.0,72.0,71.5,72.0,1103.04,3111.52,2948.83,3111.52,9.79,27.62,26.18,27.62,0.0,95.0,78.65,85.0,
NVIDIA GeForce GTX 1080 Ti,dict4,78.0,78.0,78.0,78.0,94.0,95.0,94.94,95.0,71.0,73.0,72.11,72.0,1143.48,1143.48,1143.48,1143.48,10.15,10.15,10.15,10.15,54.0,54.0,54.0,54.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,70.0,73.0,71.25,71.0,45.0,45.0,45.0,45.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,28.0,28.0,28.0,28.0,89.0,90.0,89.25,89.0,47.0,48.0,47.5,47.5,1133.48,3172.21,2082.12,1276.21,10.06,28.16,18.48,11.33,0.0,95.0,36.41,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,79.0,80.0,79.54,80.0,90.0,91.0,90.92,91.0,70.0,73.0,71.85,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,2.0,2.0,2.0,2.0,71.0,72.0,71.94,72.0,61.0,61.0,61.0,61.0,327.78,2275.68,1343.32,445.68,4.0,27.78,16.4,5.44,0.0,72.0,33.36,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,56.0,76.0,71.78,74.0,61.0,62.0,61.89,62.0,,,,,,,,,,,,,
