GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,20.0,20.0,20.0,20.0,91.0,92.0,91.62,92.0,57.0,58.0,57.75,58.0,2120.71,4176.74,4058.16,4155.8,18.83,37.08,36.03,36.89,0.0,96.0,84.12,86.5,
NVIDIA GeForce GTX 1080 Ti,dict3,31.0,31.0,31.0,31.0,94.0,95.0,94.44,94.0,71.0,73.0,72.5,73.0,1104.73,3074.02,2983.15,3074.02,9.81,27.29,26.48,27.29,0.0,95.0,82.11,85.0,
NVIDIA GeForce GTX 1080 Ti,dict4,31.0,31.0,31.0,31.0,94.0,95.0,94.39,94.0,72.0,73.0,72.67,73.0,1149.44,3118.09,3027.23,3118.09,10.2,27.68,26.88,27.68,0.0,95.0,82.03,85.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,31.0,31.0,31.0,31.0,90.0,90.0,90.0,90.0,71.0,73.0,72.31,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict1,1.0,1.0,1.0,1.0,70.0,71.0,70.22,70.0,59.0,60.0,59.28,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,54.0,74.0,63.39,65.0,61.0,61.0,61.0,61.0,338.56,2286.46,2223.64,2286.46,4.13,27.91,27.14,27.91,0.0,77.0,66.79,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,30.0,30.0,30.0,30.0,88.0,88.0,88.0,88.0,74.0,77.0,75.94,76.0,338.56,2286.46,2193.73,2286.46,4.13,27.91,26.78,27.91,0.0,89.0,69.54,67.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,30.0,30.0,30.0,30.0,88.0,88.0,88.0,88.0,79.0,83.0,81.61,82.0,338.56,2286.46,2223.64,2286.46,4.13,27.91,27.14,27.91,0.0,89.0,70.95,67.0,
NVIDIA GeForce RTX 2080 SUPER,force,0.0,0.0,0.0,0.0,72.0,75.0,73.62,73.5,59.0,59.0,59.0,59.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,31.0,31.0,31.0,31.0,90.0,90.0,90.0,90.0,70.0,72.0,71.12,71.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,61.0,61.0,61.0,61.0,90.0,90.0,90.0,90.0,65.0,68.0,66.62,67.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict1,0.0,0.0,0.0,0.0,84.0,86.0,84.28,84.0,57.0,58.0,57.5,57.5,365.09,365.09,365.09,365.09,4.46,4.46,4.46,4.46,1.0,1.0,1.0,1.0,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,79.0,82.0,80.06,80.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
