GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,dict4,38.0,38.0,38.0,38.0,92.0,94.0,93.33,93.0,71.0,73.0,72.28,72.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict2,0.0,0.0,0.0,0.0,64.0,66.0,65.0,65.0,62.0,62.0,62.0,62.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,38.0,38.0,38.0,38.0,85.0,86.0,85.06,85.0,78.0,82.0,80.67,81.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict2,0.0,0.0,0.0,0.0,79.0,80.0,79.22,79.0,60.0,60.0,60.0,60.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict3,66.0,66.0,66.0,66.0,89.0,90.0,89.11,89.0,67.0,70.0,68.56,68.5,356.11,356.11,356.11,356.11,4.35,4.35,4.35,4.35,0.0,0.0,0.0,0.0,
NVIDIA GeForce RTX 3070,dict4,66.0,66.0,66.0,66.0,89.0,89.0,89.0,89.0,67.0,70.0,68.89,69.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,dict2,0.0,0.0,0.0,0.0,76.0,77.0,76.39,76.0,74.0,75.0,74.5,74.5,541.8,2611.97,2542.13,2611.84,2.2,10.63,10.34,10.63,0.0,88.0,79.0,82.0,
NVIDIA GeForce RTX 3090,dict3,116.0,119.0,117.67,118.0,91.0,92.0,91.5,91.5,82.0,84.0,82.67,83.0,541.8,2611.97,2543.78,2611.97,2.2,10.63,10.35,10.63,0.0,94.0,79.15,80.0,
NVIDIA GeForce RTX 3090,dict4,119.0,120.0,119.06,119.0,90.0,92.0,91.22,91.0,80.0,83.0,81.44,81.5,1094.52,3161.85,3092.23,3161.85,4.45,12.87,12.58,12.87,0.0,93.0,80.27,82.0,
NVIDIA RTX A4000,dict2,0.0,0.0,0.0,0.0,77.0,80.0,78.83,79.0,75.0,75.0,75.0,75.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict3,62.0,64.0,63.24,63.0,88.0,90.0,89.71,90.0,80.0,87.0,84.24,84.0,,,,,,,,,,,,,
NVIDIA RTX A4000,dict4,62.0,64.0,63.0,63.0,88.0,91.0,89.72,90.0,81.0,88.0,84.72,85.0,,,,,,,,,,,,,
Radeon RX Vega,dict2,0.0,0.0,0.0,0.0,14.0,88.0,80.06,86.0,71.0,72.0,71.83,72.0,,,,,,,,,,,,,
Radeon RX Vega,dict3,60.0,60.0,60.0,60.0,24.0,91.0,84.61,90.0,73.0,74.0,73.67,74.0,,,,,,,,,,,,,
Radeon RX Vega,dict4,60.0,60.0,60.0,60.0,24.0,91.0,84.22,90.0,73.0,74.0,73.56,74.0,7049.61,7049.61,7049.61,7049.61,43.2,43.2,43.2,43.2,0,0,0,0,
