GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,3480.0,3484.0,3481.62,3481.5,97.0,97.0,97.0,97.0,66.0,68.0,67.0,67.0,1973.32,9468.91,8596.56,9325.6,17.52,84.06,76.32,82.79,1.0,99.0,79.43,97.0,
NVIDIA GeForce GTX 1080 Ti,dict1,27.0,28.0,27.94,28.0,63.0,78.0,76.0,77.0,57.0,58.0,57.89,58.0,1635.77,8971.92,8119.22,8964.42,14.52,79.65,72.08,79.58,3.0,86.0,69.58,84.5,
NVIDIA GeForce GTX 1080 Ti,dict2,2.0,3.0,2.17,2.0,66.0,81.0,78.0,78.5,55.0,56.0,55.22,55.0,1534.58,8866.16,8017.93,8863.23,13.62,78.71,71.18,78.69,0.0,85.0,69.04,84.0,
NVIDIA GeForce GTX 1080 Ti,force,0.0,0.0,0.0,0.0,72.0,74.0,72.62,72.5,55.0,55.0,55.0,55.0,1149.44,8540.27,5306.58,8540.27,10.2,75.82,47.11,75.82,0.0,98.0,41.89,66.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,1703.0,1707.0,1705.75,1706.0,96.0,97.0,96.38,96.0,61.0,61.0,61.0,61.0,1136.91,8532.21,5014.96,8532.21,10.09,75.75,44.52,75.75,0.0,99.0,41.45,0.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,3112.0,3134.0,3121.54,3120.0,64.0,68.0,65.62,66.0,80.0,84.0,82.85,83.0,327.78,7251.68,4169.71,7251.68,4.0,88.52,50.9,88.52,0.0,85.0,43.61,63.0,
NVIDIA GeForce RTX 2080 SUPER,dict1,47.0,47.0,47.0,47.0,58.0,62.0,59.61,59.5,58.0,59.0,58.94,59.0,327.78,7185.68,4595.08,7185.68,4.0,87.72,56.09,87.72,0.0,67.0,35.17,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict2,4.0,4.0,4.0,4.0,57.0,61.0,59.17,59.0,61.0,61.0,61.0,61.0,338.56,7196.46,6339.3,7196.46,4.13,87.85,77.38,87.85,0.0,74.0,53.25,59.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,5295.0,5582.0,5389.12,5365.0,95.0,96.0,95.88,96.0,87.0,88.0,87.53,88.0,338.56,7196.46,6625.01,7196.46,4.13,87.85,80.87,87.85,0.0,93.0,79.29,92.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,4786.0,4983.0,4842.61,4823.0,92.0,93.0,92.06,92.0,88.0,88.0,88.0,88.0,338.56,7196.46,6373.59,7196.46,4.13,87.85,77.8,87.85,0.0,93.0,76.28,92.0,
