GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,263414415.0,274479760.0,269879455.25,270693222.0,92.0,93.0,92.5,92.5,60.0,61.0,60.38,60.0,2235.23,5271.69,4761.68,5262.31,19.84,46.8,42.27,46.72,1.0,97.0,75.11,95.0,
NVIDIA GeForce GTX 1080 Ti,dict3,36621526.0,36863570.0,36742548.0,36742548.0,32.0,32.0,32.0,32.0,68.0,68.0,68.0,68.0,1711.65,2803.13,2486.87,2791.88,15.2,24.89,22.08,24.79,3.0,32.0,19.43,27.0,
NVIDIA GeForce GTX 1080 Ti,dict4,32101982.0,32189688.0,32135418.22,32127232.5,12.0,17.0,15.39,15.0,61.0,62.0,61.39,61.0,1145.81,2230.46,2082.79,2230.46,10.17,19.8,18.49,19.8,0.0,34.0,18.59,16.0,
NVIDIA GeForce GTX 1080 Ti,force,49904854.0,251823845.0,224390334.0,241609366.5,79.0,94.0,92.86,94.0,57.0,59.0,58.57,59.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,133884941.0,142042698.0,136479595.82,135374422.0,42.0,96.0,82.09,95.0,55.0,55.0,55.0,55.0,1146.19,4172.84,3297.27,4172.84,10.18,37.05,29.27,37.05,0.0,97.0,41.73,31.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,863793587.0,889940451.0,872794711.62,871225031.0,85.0,86.0,85.08,85.0,82.0,85.0,83.92,84.0,327.78,3333.68,2098.3,3333.68,4.0,40.69,25.61,40.69,0.0,75.0,38.65,57.5,
NVIDIA GeForce RTX 2080 SUPER,dict3,42998646.0,42998646.0,42998646.0,42998646.0,24.0,24.0,24.0,24.0,55.0,55.0,55.0,55.0,338.56,2070.46,1220.32,1251.46,4.13,25.27,14.9,15.28,0.0,30.0,15.17,20.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,103674295.0,112398978.0,108649053.86,109520741.0,29.0,34.0,31.29,32.0,63.0,68.0,65.57,65.0,338.56,2070.46,1670.94,2070.46,4.13,25.27,20.4,25.27,0.0,34.0,21.77,27.0,
NVIDIA GeForce RTX 2080 SUPER,force,109880989.0,1019697996.0,917054303.94,998306828.5,63.0,95.0,87.67,94.0,73.0,86.0,82.28,84.0,338.56,3344.46,2304.64,3344.46,4.13,40.83,28.13,40.83,0.0,90.0,49.86,71.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,603661487.0,979383522.0,883637397.0,909814838.5,43.0,89.0,80.19,89.0,67.0,84.0,79.5,83.0,338.56,3344.46,2179.87,3344.46,4.13,40.83,26.61,40.83,0.0,90.0,37.92,20.0,
NVIDIA GeForce RTX 3070,combinator,1314542291.0,1336977186.0,1324947100.0,1326770620.0,87.0,90.0,88.0,87.0,75.0,81.0,78.46,79.0,356.11,3378.07,2263.19,3378.07,4.35,41.24,27.63,41.24,0.0,88.0,48.81,81.5,
NVIDIA GeForce RTX 3070,dict4,222276476.0,225358697.0,223817586.5,223817586.5,23.0,27.0,25.0,25.0,63.0,63.0,63.0,63.0,356.11,2058.07,1420.08,2058.07,4.35,25.12,17.33,25.12,0.0,31.0,16.75,21.5,
NVIDIA GeForce RTX 3070,force,388523229.0,1502988468.0,1396694145.18,1497921298.0,77.0,92.0,88.82,90.0,69.0,77.0,73.88,74.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,830937049.0,1454811117.0,1156949732.75,1189010007.5,33.0,91.0,69.25,76.5,65.0,73.0,68.88,68.5,453.36,3474.34,2022.67,2045.84,5.53,42.41,24.69,24.97,0.0,99.0,33.86,5.0,
NVIDIA GeForce RTX 3090,combinator,853474591.0,974615712.0,908233872.31,912735884.0,36.0,64.0,58.38,60.0,80.0,83.0,82.08,82.0,499.16,3621.83,3101.53,3621.83,2.03,14.74,12.62,14.74,0.0,86.0,60.72,73.5,
NVIDIA GeForce RTX 3090,dict4,252223907.0,255107218.0,253665562.5,253665562.5,27.0,27.0,27.0,27.0,75.0,75.0,75.0,75.0,537.73,3553.34,2692.35,3553.34,2.19,14.46,10.96,14.46,0.0,27.0,10.0,12.0,
NVIDIA GeForce RTX 3090,force,654509910.0,2471392975.0,2277418764.15,2454380316.0,88.0,93.0,90.08,90.0,78.0,84.0,81.69,82.0,725.0,3846.34,2500.89,3846.34,2.95,15.65,10.18,15.65,0.0,99.0,42.29,25.5,
NVIDIA GeForce RTX 3090,hybrid,10468809.0,2309450433.0,1487555547.21,2240579190.0,4.0,93.0,66.58,92.0,69.0,83.0,77.84,80.0,516.32,3638.99,2357.72,3638.99,2.1,14.81,9.59,14.81,2.0,68.0,26.64,14.0,
NVIDIA RTX A4000,combinator,1210529036.0,1235678602.0,1222146904.62,1221876988.0,88.0,89.0,88.54,89.0,81.0,86.0,83.77,84.0,998.33,4042.86,2959.54,4028.42,6.1,24.69,18.07,24.6,0.0,96.0,56.26,94.0,
NVIDIA RTX A4000,dict4,209972131.0,214844371.0,211596211.0,209972131.0,26.0,26.0,26.0,26.0,71.0,71.0,71.0,71.0,822.24,2598.21,2154.47,2598.21,5.02,15.87,13.16,15.87,0.0,30.0,17.25,25.0,
NVIDIA RTX A4000,force,71186360.0,1295877930.0,1200120721.65,1289461094.0,63.0,96.0,90.06,92.0,78.0,86.0,83.0,83.0,743.73,3793.7,2681.63,3793.7,4.54,23.17,16.38,23.17,0.0,95.0,50.76,90.0,
NVIDIA RTX A4000,hybrid,997075467.0,1327055686.0,1224868162.15,1255144576.0,39.0,93.0,85.23,92.0,78.0,85.0,81.85,82.0,1083.9,4156.06,3049.01,4142.75,6.62,25.38,18.62,25.3,0.0,97.0,42.58,8.5,
Radeon RX Vega,combinator,226617546.0,227637000.0,226921077.0,226789834.0,16.0,43.0,36.54,39.0,65.0,67.0,66.23,66.0,9100.0,10383.3,9914.37,10358.83,55.8,63.7,60.78,63.5,0,0,0,0,
Radeon RX Vega,dict3,14950102.0,15236611.0,15095247.29,15087368.0,0.0,31.0,5.0,0.0,69.0,70.0,69.14,69.0,4571.28,5897.19,5505.84,5895.46,28.0,36.2,33.73,36.1,0,0,0,0,
Radeon RX Vega,dict4,18498936.0,18830689.0,18590081.72,18555547.5,0.0,18.0,1.61,0.0,70.0,71.0,70.06,70.0,6920.14,8274.48,7942.85,8256.37,42.4,50.7,48.69,50.6,0,0,0,0,
Radeon RX Vega,force,121507913.0,388713370.0,373363209.17,386325306.5,1.0,95.0,64.17,79.5,63.0,70.0,67.62,68.0,7065.62,8730.62,8303.57,8715.61,43.3,53.5,50.89,53.4,0,0,0,0,
