GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,467279.0,502894.0,487375.62,490855.0,95.0,96.0,95.62,96.0,69.0,78.0,72.62,70.5,2149.32,7155.74,4653.0,4652.07,19.08,63.53,41.31,41.3,0.0,98.0,32.83,0.5,
NVIDIA GeForce GTX 1080 Ti,dict2,153.0,153.0,153.0,153.0,56.0,56.0,56.0,56.0,54.0,54.0,54.0,54.0,2155.27,7098.66,4973.71,7074.6,19.13,63.02,44.16,62.81,1.0,97.0,39.0,3.0,
NVIDIA GeForce GTX 1080 Ti,dict3,555138.0,585242.0,564547.83,563826.5,97.0,98.0,97.22,97.0,81.0,89.0,87.22,88.5,1142.23,6077.52,5628.89,6077.52,10.14,53.96,49.97,53.96,0.0,98.0,80.05,97.0,
NVIDIA GeForce GTX 1080 Ti,force,395277.0,519518.0,459429.22,456473.0,94.0,97.0,95.89,96.0,55.0,70.0,60.89,57.0,,,,,,,,,,,,,
NVIDIA GeForce GTX 1080 Ti,hybrid,402486.0,516947.0,465292.89,464879.0,92.0,97.0,95.56,96.0,57.0,73.0,63.11,59.0,1132.41,6133.77,5419.34,6133.77,10.05,54.45,48.11,54.45,0.0,98.0,69.43,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,602041.0,619817.0,608445.31,607615.0,95.0,95.0,95.0,95.0,85.0,89.0,86.92,87.0,327.78,5307.68,4521.48,5307.68,4.0,64.79,55.19,64.79,0.0,69.0,55.0,68.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,576448.0,609177.0,587541.0,585789.5,84.0,95.0,93.72,95.0,85.0,90.0,87.0,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,dict4,564960.0,598188.0,575992.67,573370.0,94.0,95.0,94.89,95.0,86.0,90.0,87.5,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,force,617039.0,626714.0,620986.56,620637.0,95.0,95.0,95.0,95.0,85.0,87.0,86.0,86.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,606155.0,621984.0,612606.5,612135.0,91.0,95.0,94.0,95.0,85.0,87.0,86.38,86.5,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,combinator,600730.0,604461.0,602334.36,602159.5,94.0,95.0,94.57,95.0,75.0,79.0,77.5,78.0,356.11,5338.07,4507.85,5338.07,4.35,65.16,55.03,65.16,0.0,94.0,75.5,93.0,
NVIDIA GeForce RTX 3070,dict3,562959.0,572863.0,566531.0,565725.0,49.0,95.0,89.89,95.0,70.0,78.0,75.39,76.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,dict4,602280.0,606592.0,603819.0,603526.5,94.0,96.0,94.94,95.0,71.0,78.0,75.22,75.5,356.11,5272.07,4630.94,5272.07,4.35,64.36,56.53,64.36,0.0,95.0,74.7,93.0,
NVIDIA GeForce RTX 3070,force,605310.0,609364.0,607463.25,608111.0,94.0,95.0,94.12,94.0,71.0,74.0,72.75,73.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3070,hybrid,606031.0,607375.0,606674.75,606691.0,94.0,96.0,95.0,95.0,74.0,76.0,75.12,75.0,495.0,5476.96,4710.58,5476.96,6.04,66.86,57.5,66.86,0.0,95.0,71.31,94.0,
NVIDIA GeForce RTX 3090,combinator,986299.0,993840.0,988790.85,988254.0,91.0,95.0,93.77,94.0,83.0,85.0,83.85,84.0,499.66,5580.33,4734.22,5580.33,2.03,22.71,19.26,22.71,0.0,77.0,52.17,70.0,
NVIDIA GeForce RTX 3090,dict3,920416.0,957831.0,929052.33,923621.0,48.0,96.0,87.89,95.0,82.0,86.0,84.5,85.0,542.01,5555.34,4901.48,5555.34,2.21,22.6,19.94,22.6,0.0,96.0,72.43,95.0,
NVIDIA GeForce RTX 3090,dict4,981963.0,1003485.0,989378.78,986399.5,94.0,96.0,95.11,95.0,82.0,85.0,83.61,84.0,1067.93,6081.27,5427.4,6081.27,4.35,24.74,22.08,24.74,0.0,96.0,76.74,95.0,
NVIDIA GeForce RTX 3090,force,995912.0,1002626.0,999260.38,999994.0,94.0,95.0,94.25,94.0,81.0,83.0,82.0,82.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 3090,hybrid,706720.0,721824.0,711672.56,709944.0,33.0,71.0,63.33,67.0,79.0,82.0,81.11,81.0,557.49,5638.16,4549.64,5638.16,2.27,22.94,18.51,22.94,3.0,95.0,64.0,92.0,
NVIDIA RTX A4000,combinator,309935.0,324442.0,314538.29,312943.0,55.0,62.0,56.57,56.0,85.0,87.0,86.29,86.5,743.42,5767.39,5209.28,5767.39,4.54,35.22,31.81,35.22,0.0,97.0,80.89,97.0,
NVIDIA RTX A4000,dict3,509302.0,520098.0,513678.89,512739.5,95.0,96.0,95.83,96.0,83.0,88.0,85.94,86.0,751.33,5714.05,5279.49,5709.3,4.59,34.89,32.24,34.86,3.0,97.0,80.13,97.0,
NVIDIA RTX A4000,dict4,514529.0,521642.0,517572.89,517089.5,92.0,96.0,95.67,96.0,80.0,87.0,83.83,84.0,826.76,5796.6,5143.68,5791.29,5.05,35.4,31.41,35.36,0.0,95.0,78.04,94.0,
NVIDIA RTX A4000,force,523592.0,526906.0,525283.0,525407.5,95.0,96.0,95.88,96.0,82.0,85.0,83.5,83.5,743.73,5767.7,4691.42,5767.7,4.54,35.22,28.65,35.22,0.0,97.0,62.43,97.0,
NVIDIA RTX A4000,hybrid,516991.0,521727.0,519379.38,519854.5,88.0,96.0,94.62,95.5,86.0,88.0,87.0,87.0,1380.86,6447.41,5341.66,6415.0,8.43,39.37,32.62,39.17,1.0,97.0,67.36,95.5,
Radeon RX Vega,combinator,393900.0,394619.0,394134.0,394023.0,15.0,95.0,83.92,94.0,67.0,69.0,68.54,69.0,5581.25,6876.91,6701.98,6876.27,34.2,42.2,41.1,42.2,0,0,0,0,
Radeon RX Vega,dict2,106.0,106.0,106.0,106.0,0.0,79.0,52.33,78.0,74.0,74.0,74.0,74.0,4661.82,5954.42,5547.06,5947.6,28.6,36.5,34.03,36.5,0,0,0,0,
Radeon RX Vega,dict3,386718.0,394632.0,389242.28,388446.0,15.0,96.0,79.28,94.0,74.0,75.0,74.94,75.0,5119.05,6501.75,6324.86,6477.96,31.4,39.9,38.78,39.7,0,0,0,0,
Radeon RX Vega,dict4,391613.0,394796.0,392207.78,391763.5,11.0,95.0,86.5,94.0,76.0,76.0,76.0,76.0,6670.85,8028.47,7850.45,8000.76,40.9,49.2,48.12,49.0,0,0,0,0,
Radeon RX Vega,force,393797.0,395569.0,394605.67,394287.0,23.0,96.0,81.89,95.0,68.0,69.0,68.67,69.0,8026.35,9419.09,8790.42,8642.32,49.2,57.7,53.89,53.0,0,0,0,0,
Radeon RX Vega,hybrid,392244.0,394454.0,393263.25,392738.0,15.0,95.0,77.25,94.0,65.0,68.0,66.75,67.0,8297.84,9923.16,9566.04,9914.41,50.9,60.8,58.65,60.8,0,0,0,0,
