GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,453998.0,469351.0,462450.25,463513.0,95.0,96.0,95.88,96.0,70.0,74.0,71.62,70.5,1591.6,6592.25,4093.02,4094.27,14.13,58.52,36.34,36.35,0.0,99.0,33.0,0.5,
NVIDIA GeForce GTX 1080 Ti,dict2,148.0,148.0,148.0,148.0,41.0,82.0,61.5,61.5,61.0,61.0,61.0,61.0,1657.49,6595.73,4479.01,6592.79,14.71,58.56,39.76,58.53,0.0,84.0,31.86,0.0,
NVIDIA GeForce GTX 1080 Ti,dict3,449233.0,470839.0,455648.78,454189.0,28.0,98.0,94.06,98.0,80.0,90.0,86.06,86.5,1142.23,6070.59,5312.43,6070.59,10.14,53.89,47.16,53.89,0.0,98.0,72.08,97.0,
NVIDIA GeForce GTX 1080 Ti,force,389100.0,505690.0,452830.44,457513.0,95.0,97.0,96.33,97.0,61.0,77.0,67.33,63.0,1148.1,6150.09,5435.61,6150.09,10.19,54.6,48.26,54.6,0.0,98.0,73.21,97.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,374113.0,503979.0,438468.11,431557.0,95.0,97.0,96.11,96.0,57.0,73.0,62.56,59.0,1146.19,6146.84,5432.47,6146.84,10.18,54.57,48.23,54.57,0.0,98.0,69.71,97.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,471654.0,484288.0,476037.79,475007.5,82.0,82.0,82.0,82.0,86.0,90.0,86.86,87.0,327.78,5307.68,4477.8,5307.68,4.0,64.79,54.66,64.79,0.0,81.0,63.17,80.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,556424.0,568688.0,560252.33,558604.0,89.0,95.0,93.0,95.0,87.0,92.0,88.83,87.5,338.56,5252.46,4611.95,5252.46,4.13,64.12,56.3,64.12,1.0,95.0,79.65,95.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,528038.0,553421.0,535078.67,532865.0,95.0,95.0,95.0,95.0,87.0,88.0,87.94,88.0,338.56,5252.46,4611.6,5252.46,4.13,64.12,56.29,64.12,0.0,95.0,79.57,95.0,
NVIDIA GeForce RTX 2080 SUPER,force,576849.0,590634.0,581939.67,579949.0,95.0,96.0,95.33,95.0,86.0,89.0,87.33,87.0,,,,,,,,,,,,,
NVIDIA GeForce RTX 2080 SUPER,hybrid,590337.0,607024.0,596743.88,596260.5,92.0,95.0,94.62,95.0,86.0,87.0,86.62,87.0,338.56,5318.46,4552.4,5318.46,4.13,64.92,55.57,64.92,0.0,82.0,56.08,79.0,
