GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,64748097.0,64834134.0,64786227.88,64797941.5,75.0,77.0,76.38,76.5,58.0,58.0,58.0,58.0,1577.98,6129.06,5360.38,6112.75,14.01,54.41,47.59,54.27,0.0,85.0,60.67,80.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,0.0,25096606.0,22803411.0,24823871.0,85.0,100.0,86.83,85.0,50.0,50.0,50.0,50.0,1144.25,5682.9,3988.43,5682.9,10.16,50.45,35.41,50.45,0.0,79.0,43.91,75.5,
NVIDIA GeForce RTX 2080 SUPER,combinator,77034353.0,86967153.0,82485996.0,82381526.0,66.0,70.0,68.54,69.0,72.0,75.0,73.92,74.0,327.78,4845.68,2761.48,4558.68,4.0,59.15,33.71,55.65,0.0,62.0,29.67,13.5,
NVIDIA GeForce RTX 2080 SUPER,hybrid,56744980.0,62216277.0,60761691.7,62033497.0,54.0,61.0,59.7,61.0,68.0,71.0,69.8,70.0,338.56,4856.46,3295.57,4856.46,4.13,59.28,40.23,59.28,0.0,68.0,35.08,58.0,
NVIDIA GeForce RTX 3070,combinator,128274627.0,132573900.0,130020658.0,129751346.0,76.0,83.0,77.85,77.0,71.0,73.0,72.23,72.0,356.11,4880.07,2910.52,4880.07,4.35,59.57,35.53,59.57,0.0,99.0,41.93,79.0,
NVIDIA GeForce RTX 3070,hybrid,128350265.0,130407970.0,128993510.89,128641741.0,77.0,81.0,79.11,79.0,70.0,71.0,70.56,71.0,490.25,5013.23,3005.44,5013.23,5.98,61.2,36.69,61.2,0.0,80.0,34.78,18.0,
NVIDIA GeForce RTX 3090,combinator,183972642.0,189025210.0,185575544.69,184606437.0,70.0,76.0,70.92,70.0,81.0,82.0,81.62,82.0,499.16,5121.83,4351.53,5121.83,2.03,20.84,17.71,20.84,0.0,81.0,56.06,72.0,
NVIDIA GeForce RTX 3090,hybrid,170651869.0,187718287.0,183914168.6,186176616.5,70.0,74.0,71.1,70.5,77.0,79.0,78.2,78.0,532.0,5153.34,2944.88,2970.34,2.16,20.97,11.98,12.09,0.0,72.0,30.47,10.5,
NVIDIA RTX A4000,combinator,120677094.0,125774467.0,123490510.0,124658123.0,76.0,78.0,77.15,77.0,81.0,85.0,83.15,83.0,744.04,5306.01,3501.49,5306.01,4.54,32.4,21.38,32.4,0.0,99.0,43.85,75.0,
NVIDIA RTX A4000,hybrid,110398104.0,122722212.0,118925682.67,122081630.0,51.0,77.0,72.78,75.0,79.0,82.0,80.89,81.0,1220.51,5838.98,3602.5,3626.4,7.45,35.66,22.0,22.14,1.0,87.0,34.62,17.0,
Radeon RX Vega,combinator,33831261.0,34113334.0,33963973.77,33943050.0,20.0,45.0,41.69,43.0,64.0,67.0,65.15,65.0,5685.23,6978.27,6548.67,6966.86,34.9,42.8,40.15,42.7,0,0,0,0,
Radeon RX Vega,hybrid,32279082.0,35550264.0,34666992.67,35038309.0,23.0,49.0,42.44,45.0,59.0,59.0,59.0,59.0,9025.59,10850.19,10076.42,9660.47,55.3,66.5,61.77,59.2,0,0,0,0,
