GPU,CONFIG,SPEED_MIN,SPEED_MAX,SPEED_MEAN,SPEED_MEDIAN,UTIL_MIN,UTIL_MAX,UTIL_MEAN,UTIL_MEDIAN,TEMP_MIN,TEMP_MAX,TEMP_MEAN,TEMP_MEDIAN,MEM_USED_MIN,MEM_USED_MAX,MEM_USED_MEAN,MEM_USED_MEDIAN,MEM_UTIL_MIN,MEM_UTIL_MAX,MEM_UTIL_MEAN,MEM_UTIL_MEDIAN,BUS_UTIL_MIN,BUS_UTIL_MAX,BUS_UTIL_MEAN,BUS_UTIL_MEDIAN
NVIDIA GeForce GTX 1080 Ti,combinator,54556939.0,54907951.0,54754965.88,54762979.5,93.0,94.0,93.38,93.0,66.0,67.0,66.38,66.0,2066.6,5093.25,4589.04,5093.25,18.35,45.22,40.74,45.22,1.0,95.0,71.17,93.5,
NVIDIA GeForce GTX 1080 Ti,dict3,5787607.0,5815613.0,5805500.44,5806622.0,23.0,32.0,27.61,28.0,64.0,66.0,64.56,64.5,1746.05,2941.02,2711.17,2833.16,15.5,26.11,24.07,25.15,0.0,33.0,18.0,19.0,
NVIDIA GeForce GTX 1080 Ti,dict4,22370067.0,23031169.0,22822576.94,22855973.0,53.0,75.0,70.61,73.5,64.0,65.0,64.28,64.0,1145.16,2235.4,2090.95,2232.46,10.17,19.85,18.56,19.82,0.0,45.0,33.39,41.0,
NVIDIA GeForce GTX 1080 Ti,force,48227240.0,55783445.0,51268426.93,50890373.0,94.0,98.0,95.0,95.0,55.0,59.0,56.73,56.0,1145.54,4176.09,3677.46,4176.09,10.17,37.07,32.65,37.07,0.0,99.0,67.11,94.0,
NVIDIA GeForce GTX 1080 Ti,hybrid,28048825.0,51270970.0,39151327.73,37336694.0,95.0,98.0,96.91,98.0,54.0,60.0,56.55,55.0,1144.04,4172.84,3694.83,4172.84,10.16,37.05,32.8,37.05,0.0,95.0,32.53,22.0,
NVIDIA GeForce RTX 2080 SUPER,combinator,133747628.0,136211163.0,134793461.85,134550426.0,91.0,92.0,91.23,91.0,72.0,77.0,75.46,76.0,327.78,3333.68,1252.22,445.68,4.0,40.69,15.29,5.44,0.0,92.0,22.95,0.0,
NVIDIA GeForce RTX 2080 SUPER,dict3,10497786.0,12893126.0,11299683.09,11131218.0,24.0,40.0,32.55,34.0,50.0,52.0,51.18,51.0,338.56,2072.46,1841.34,2072.46,4.13,25.3,22.48,25.3,1.0,38.0,21.47,18.0,
NVIDIA GeForce RTX 2080 SUPER,dict4,53144313.0,58954922.0,54949346.31,54460970.0,56.0,64.0,59.81,60.5,75.0,77.0,75.94,76.0,338.56,2072.46,1846.38,2072.46,4.13,25.3,22.54,25.3,0.0,37.0,24.91,28.0,
NVIDIA GeForce RTX 2080 SUPER,force,113346687.0,127194533.0,124443860.43,127110071.5,73.0,94.0,88.71,94.0,66.0,75.0,71.5,72.0,338.56,3344.46,1225.84,456.46,4.13,40.83,14.96,5.57,0.0,95.0,20.75,0.0,
NVIDIA GeForce RTX 2080 SUPER,hybrid,115688614.0,117628465.0,116359010.44,116422033.0,85.0,94.0,90.0,93.0,66.0,73.0,70.78,71.0,338.56,3344.46,1382.4,456.46,4.13,40.83,16.87,5.57,0.0,90.0,24.1,0.0,
NVIDIA GeForce RTX 3070,combinator,133436247.0,135425834.0,134205386.23,134046813.0,89.0,92.0,91.0,91.0,63.0,67.0,65.31,65.0,356.11,3378.07,1295.95,510.07,4.35,41.24,15.82,6.23,0.0,92.0,23.21,0.0,
NVIDIA GeForce RTX 3070,dict3,13615171.0,14470176.0,14079127.0,14104179.0,14.0,25.0,18.5,18.0,61.0,65.0,62.88,62.5,356.11,2064.07,1801.38,2064.07,4.35,25.2,21.99,25.2,0.0,26.0,13.77,15.0,
NVIDIA GeForce RTX 3070,dict4,61479366.0,63548809.0,62209122.36,62035600.0,42.0,69.0,54.14,55.0,66.0,68.0,67.5,68.0,356.11,2064.07,1794.5,2064.07,4.35,25.2,21.91,25.2,0.0,68.0,45.89,51.0,
NVIDIA GeForce RTX 3070,force,124028624.0,164719599.0,161307788.0,164538395.0,50.0,92.0,88.15,91.0,60.0,66.0,64.08,64.0,356.11,3378.07,1167.64,510.07,4.35,41.24,14.25,6.23,0.0,96.0,19.98,0.0,
NVIDIA GeForce RTX 3070,hybrid,135411319.0,139331272.0,136707746.33,136225238.0,64.0,94.0,89.56,93.0,62.0,65.0,63.67,64.0,446.8,3467.78,1472.17,599.78,5.45,42.33,17.97,7.32,0.0,94.0,22.42,0.0,
NVIDIA GeForce RTX 3090,combinator,229394882.0,231142811.0,230040514.23,229784825.0,91.0,92.0,91.54,92.0,76.0,79.0,77.85,78.0,499.16,3621.83,3102.05,3621.83,2.03,14.74,12.62,14.74,0.0,95.0,72.22,92.0,
NVIDIA GeForce RTX 3090,dict3,14359286.0,15848662.0,15258180.25,15380405.0,5.0,44.0,19.88,15.5,70.0,74.0,72.25,72.0,543.17,3561.84,2866.15,3561.84,2.21,14.49,11.66,14.49,0.0,40.0,10.54,9.0,
NVIDIA GeForce RTX 3090,dict4,16725271.0,20449296.0,18064829.17,17505944.5,12.0,53.0,25.22,21.0,68.0,74.0,70.83,70.0,540.61,3559.34,3165.72,3559.34,2.2,14.48,12.88,14.48,0.0,49.0,19.52,12.0,
NVIDIA GeForce RTX 3090,force,258435808.0,300593189.0,296258378.2,299337107.0,67.0,92.0,87.6,90.0,71.0,79.0,75.73,76.0,723.67,3846.34,1643.81,980.34,2.94,15.65,6.69,3.99,0.0,95.0,19.4,0.0,
NVIDIA GeForce RTX 3090,hybrid,253406657.0,271375295.0,256980854.45,254976791.0,51.0,93.0,85.82,92.0,73.0,77.0,75.09,75.0,513.45,3636.12,3224.22,3636.12,2.09,14.8,13.12,14.8,3.0,97.0,65.6,96.0,
NVIDIA RTX A4000,combinator,128855293.0,130479357.0,129377551.23,129131255.0,91.0,92.0,91.69,92.0,69.0,79.0,74.54,75.0,974.71,4024.68,1938.89,1136.68,5.95,24.58,11.84,6.94,0.0,99.0,24.75,0.0,
NVIDIA RTX A4000,dict3,13426498.0,14148106.0,13831445.0,13848263.0,14.0,26.0,19.25,18.0,73.0,77.0,74.75,74.5,622.8,2406.52,1080.96,784.77,3.8,14.7,6.6,4.79,0.0,66.0,4.59,0.0,
NVIDIA RTX A4000,dict4,58485175.0,61284758.0,59255895.93,58889043.0,46.0,68.0,55.93,58.5,82.0,84.0,82.57,82.5,727.91,2507.88,2275.88,2507.88,4.44,15.31,13.9,15.31,2.0,51.0,35.26,41.0,
NVIDIA RTX A4000,force,115279344.0,157874167.0,154048495.92,157398246.0,92.0,96.0,92.38,92.0,67.0,78.0,73.08,73.0,743.73,3793.7,1592.03,905.7,4.54,23.17,9.72,5.53,0.0,95.0,21.06,0.0,
NVIDIA RTX A4000,hybrid,130447181.0,133694925.0,131572921.2,131313669.0,50.0,94.0,85.3,93.0,69.0,76.0,73.0,73.0,979.39,4029.36,1956.66,1141.36,5.98,24.61,11.95,6.97,0.0,90.0,14.12,0.0,
Radeon RX Vega,combinator,65308655.0,65694074.0,65455742.46,65435403.0,14.0,43.0,37.92,40.0,65.0,67.0,66.15,66.0,9408.29,10883.83,10003.2,9759.9,57.7,66.7,61.32,59.8,0,0,0,0,
Radeon RX Vega,force,0.0,73921073.0,66571073.94,73826454.5,3.0,96.0,70.06,79.5,66.0,69.0,68.62,69.0,7171.2,9231.07,8396.08,7865.53,44.0,56.6,51.47,48.2,0,0,0,0,
Radeon RX Vega,hybrid,66793160.0,68372797.0,67425503.9,67218438.5,1.0,57.0,35.4,39.0,59.0,60.0,59.8,60.0,8424.6,10547.09,9439.11,9198.68,51.6,64.7,57.86,56.4,0,0,0,0,
